site name,latitude,longitude,number of nearby carwashes,distance from nearest carwash,rating of nearest carwash,user rating count for nearest carwash
"Gloss Car Wash , 5712 Lawrenceville Hwy , Lilburn , GA , 30047",33.8790359,-84.1665191,2,0.72 miles,N/A,N/A
"Go Clean Car Wash , 2315 Capital Cir NE , Tallahassee , FL , 32308",30.4830149,-84.2361662,2,0.03 miles,3.8,54
"Go Clean Car Wash Eufaula , 1 Veteran Blvd , Eufaula , AL , 36027",31.842735,-85.1676913,0,N/A,N/A,N/A
"Go Clean Mobile City , 6658 Mobile Hwy , Pensacola , FL , 32526",30.4763011,-87.3079223,1,0.23 miles,4.9,63
"Go Clean Monroe , 3218 N Monroe St , Tallahassee , FL , 32303",30.4864428,-84.3167069,0,N/A,N/A,N/A
"Go Clean Pensacola , 8897 Pensacola Blvd , Pensacola , FL , 32534",30.5263517,-87.2756117,4,0.02 miles,4.3,13
"Go Green N Clean , 196 Onix Dr , Kennett Square , PA , 19348",39.8606806,-75.6876881,1,0.28 miles,4.9,71
"Googie Anaheim , 1250 N Euclid St , Anaheim , CA , 92801",33.8514924,-117.9412685,9,0.03 miles,4,139
"Googie Whittier , 8016 Santa Fe Springs Rd. , Whittier , CA , 90602",33.967361,-118.041911,7,0.40 miles,4.4,32
"Grand Prix CW , 3080 San Pablo Dam Rd , San Pablo , CA , 94803",37.9596895,-122.3290075,4,0.21 miles,4,142
"Grand Prix Express , 4069 San Pablo Dam Rd , El Sobrante , CA , 94803",37.9659114,-122.3110667,3,0.00 miles,3.9,105
"Granite Falls , Riverbend Club Point , Granite Falls , NC , 28630",35.7892015,-81.3806659,0,N/A,N/A,N/A
"Grease Monkey 1116 , 5505 Bob Bullock Loop , Laredo , TX , 78041",27.548423,-99.450622,0,N/A,N/A,N/A
"Great North Auto Wash , 2701 N Lincoln Rd , Escanaba , MI , 49829",45.780323,-87.0842742,0,N/A,N/A,N/A
"Green Ocean Car Wash , 187 Teaticket Hwy , Falmouth , MA , 2536",41.565421,-70.5953527,0,N/A,N/A,N/A
"Greenbrier - S Broadview St , 98 S Broadview St , Greenbrier , AR , 72058",35.2228379,-92.3876296,1,0.60 miles,4.8,160
"Greenway Auto Wash , 3900 Owen Rd , Fenton , MI , 48430",42.7903703,-83.7454544,3,0.11 miles,4.6,288
"Grime Scene , 513 TX-114 , Levelland , TX , 79336",33.5944716,-102.3586622,3,0.63 miles,1,1
"Gwatzilla Car Wash , 1701 T P White Dr , Jacksonville , AR , 72076",34.8820519,-92.1105156,1,0.34 miles,3.3,30
"H2GLO CAR WASH , 1905 Electric Rd , Cave Spring , VA , 24018",37.2475657,-80.0346677,1,0.14 miles,3.9,32
"H2O AUTO SPA , 2545 HYLAN BLVD , STATEN ISLAND , NY , 10306",40.5696384,-74.1110283,7,0.46 miles,4.7,42
"HAMPTON AUTO WASH , 296 W Montauk Hwy , Hampton Bays , NY , 11946",40.866093,-72.5539726,0,N/A,N/A,N/A
"HIPPO CAR WASH , 510 W Bosanko Ave , Coeur d'Alene , ID , 83815",47.7115053,-116.7922251,6,0.25 miles,2.8,78
"HONDA WORLD , 1 Swope Autocenter Dr , Louisville , KY , 40299",38.216911,-85.581658,4,0.69 miles,4,271
"Hall of Fame Carwash , Gateway Blvd , Leland , NC , 28451",34.213539,-78.0197913,2,0.45 miles,4.6,950
"Hampstead , 38 Dan Owen Dr , Hampstead , NC , 28443",34.3656598,-77.7116709,1,0.07 miles,3.6,16
"Happy Car Wash , 3690 Murphy Canyon Rd , San Diego , CA , 92123",32.8082216,-117.1164101,1,0.03 miles,3.2,25
"Happy Car Wash Albany , 527 NW North Albany Rd , Albany , OR , 97321",44.6428313,-123.1126361,1,0.99 miles,N/A,N/A
"Harper , 381 Harper Ln , Saint Johns , FL , 32259",30.1035468,-81.5409773,1,0.06 miles,5,1
"Haverhill Street Lawrence , 469 Haverhill St , Lawrence , MA , 1841",42.7068855,-71.1756743,10,0.22 miles,5,5
"Hercules/Elite Care Auto , 1401 Lexington Ave , Mansfield , OH , 44907",40.72053,-82.5435665,3,0.00 miles,4.5,310
"Hernando , 2660 McIngvale Rd , Hernando , MS , 38632",34.8209976,-89.9712562,4,0.41 miles,4.6,760
"Heroes Car Wash Asheville , 2000 Hendersonville Rd , Asheville , NC , 28803",35.4858828,-82.5247986,6,0.85 miles,2.8,4
"Heroes Car Wash Taylors 2900 , 2900 Wade Hampton Blvd , Taylors , SC , 29687",34.9035057,-82.3325737,2,0.66 miles,3.8,62
"Heroes Cary , 1370 NW Maynard Rd , Cary , NC , 27513",35.7870715,-78.8092484,1,0.61 miles,4.7,258
"Heroes Express 6050 , 6050 Wade Hampton Blvd , Taylors , SC , 29687",34.9354072,-82.2761998,3,0.00 miles,4.8,464
"Heroes Express Pleasantburg , 3107 N Pleasantburg Dr , Greenville , SC , 29609",34.8869993,-82.3956837,6,0.23 miles,2.9,62
"Heroes Express Salisbury , 1420 E Innes St , Salisbury , NC , 28146",35.6543588,-80.4565091,6,0.12 miles,3.4,71
"Heroes Express Woodruff , 1405 Woodruff Rd , Greenville , SC , 29607",34.8218855,-82.2836758,6,0.09 miles,4.3,485
"Hitech CP , 1675 Ave Victor M Labiosa , San Juan , FL , 926",18.4153108,-66.0593509,3,0.88 miles,4.9,13
"Homestead , 33513 S Dixie Hwy , Homestead , FL , 33034",25.45618,-80.4744618,8,0.03 miles,N/A,N/A
"Horn Lake , 1690 Goodman Rd , Horn Lake , MS , 38637",34.963144,-90.0194491,4,0.26 miles,2.8,44
"Howell 2 , 4550 E Grand River Ave , Howell , MI , 48843",42.5818921,-83.8629198,0,N/A,N/A,N/A
"Huntsville , 1020 Pear Drive , Huntsville , TX , 77320",30.7189698,-95.5677495,5,0.36 miles,3.9,362
"Huntsville , 1624 Old Monrovia Rd NW , Huntsville , AL , 35806",34.7575337,-86.6793608,1,0.77 miles,4.4,1717
"Huzzy's Car Wash , 24005 Telegraph Rd , Flat Rock , MI , 48134",42.1298537,-83.2710371,1,0.64 miles,3.1,17
"I-91 Express Wash , 168 Bridge St , East Windsor , CT , 6088",41.9312928,-72.606885,3,0.00 miles,4.5,42
"IKO Car Wash , 4450 S Pine Island Rd , Davie , FL , 33328",26.0657739,-80.2595962,0,N/A,N/A,N/A
"Imperial Car Wash , 8795 Little Rd , New Port Richey , FL , 34654",28.2847944,-82.6765486,4,0.25 miles,N/A,N/A
"In and Out , 1430 N U.S. Hwy 41 , Ruskin , FL , 33570",27.7311395,-82.4344133,1,0.97 miles,3.6,8
"In-N-Out Car Wash , 12883 US-68 , Kenton , OH , 43326",40.6332275,-83.6155622,1,0.88 miles,4.2,31
"Indian Harbour , 600 E Eau Gallie Blvd , Indian Harbour , FL , 32937",28.1389437,-80.5905792,4,0.07 miles,4.3,568
"Indianola , 1807 N Jefferson Way , Indianola , IA , 50125",41.379244,-93.559496,3,0.16 miles,2.8,12
"International Auto Spa , 4975 Clark Rd , Sarasota , FL , 34233",27.2695201,-82.4685487,4,0.29 miles,3,8
"International Golf , 100 Vlg Cmns Dr , St. Augustine , FL , 32092",29.9637967,-81.4884146,0,N/A,N/A,N/A
"Intracoastal Car Wash , 2966 St Stephens Rd , Mobile , AL , 36612",30.7458019,-88.1110534,2,0.10 miles,5,1
"Irvine , 4550 Barranca Pkwy , Irvine , CA , 92604",33.6783624,-117.8014834,6,0.02 miles,4,126
"JC AUTO WASH , 701 S Dewey St , North Platte , NE , 69101",41.127653,-100.762632,3,0.46 miles,4.4,303
"JJ Express Car Wash , 2185 US-70 , Thatcher , AZ , 85552",32.8380212,-109.7363483,1,0.67 miles,4,302
"JJ's Car Wash Dickinson , 404 FM 517 W , Dickinson , TX , 77539",29.4452705,-95.0838394,6,0.15 miles,N/A,N/A
"JJ's Car Wash Friendswood , 2221 W Parkwood Ave , Friendswood , TX , 77546",29.4855535,-95.2153615,0,N/A,N/A,N/A
"JJ's Car Wash League City , 121 Maple Leaf Dr , League City , TX , 77573",29.4890155,-95.1606585,0,N/A,N/A,N/A
"Jallo - Land O Lakes , 15474 State Rd 52 , Land O' Lakes , FL , 34638",28.330187,-82.5597081,2,0.72 miles,1,8
"Jallo - Tarpon Springs , 38652 US Hwy 19 N , Tarpon Springs , FL , 34689",28.0029467,-82.7294505,0,N/A,N/A,N/A
"Jammin Car Wash , 21356 Walmart Way , Lutz , FL , 33548",28.1769847,-82.4647521,2,0.42 miles,4.9,33
"Jet Express Carwash , 1501 S Main St , Blacksburg , VA , 24060",37.213749,-80.3998376,1,0.62 miles,5,74
"Jet Express Franklin , 1121 Georgia Rd , Franklin , NC , 28734",35.158971,-83.392801,1,0.31 miles,4,70
"Jets Car Wash II , 9489 Sheridan St , Hollywood , FL , 33024",26.0309986,-80.2672069,1,0.00 miles,3.1,65
"Jim Wood Washland , 1925 Silver City Hwy NW , Deming , NM , 88030",32.282669,-107.759936,1,0.97 miles,3.8,39
"Jimmy Suds Car Wash , 935 S Kipling Pkwy , Lakewood , CO , 80226",39.69975,-105.1106933,3,0.04 miles,2.4,49
"Joe's Premium Car Wash , 1905 E Robertson Blvd , Chowchilla , CA , 93610",37.126561,-120.2444694,3,0.66 miles,3.4,26
"John's Auto Spa Mishawaka , 2315 Grape Rd , Mishawaka , IN , 46545",41.680805,-86.1872678,4,0.50 miles,4.2,120
"John's Auto Spa Nappanee , 2000 E. Market St , Nappanee , IN , 46550",41.4430698,-85.9784108,0,N/A,N/A,N/A
"Jones , 5730 S Jones Blvd , Las Vegas , NV , 89118",36.0846355,-115.2246242,5,0.83 miles,4.9,90
"Juan Tabo , 1520 Juan Tabo Blvd NE , Albuquerque , NM , 87112",35.097171,-106.5149878,5,0.19 miles,4,16
"Jules Car Wash Brandon , 654 W Brandon Blvd , Brandon , FL , 33511",27.9381615,-82.2933112,4,0.23 miles,3.4,714
"Jules Car Wash Fish Hawk , 16529 Fishhawk Blvd , Lithia , FL , 33547",27.855934,-82.2038929,2,0.47 miles,4.3,7
"Jules Car Wash Riverview , 10060 US-301 , Riverview , FL , 33569",27.8538664,-82.3261299,4,0.46 miles,4,98
"Jungerman , 4001 Old Hwy 94 S , St. Peters , MO , 63304",38.7431915,-90.5924381,2,0.69 miles,4.4,84
"Jupiter Galaxy Car Wash , 6751 W Indiantown Rd , Jupiter , FL , 33458",26.935105,-80.1371285,5,0.01 miles,2.2,50
"KUHNSVILLE CAR WASH , 5627 Tilghman St , Allentown , PA , 18104",40.5927909,-75.5866384,2,0.51 miles,5,6
"KWIK CAR WASH , 4000 Catnip Hill Rd , Nicholasville , KY , 40356",37.9290658,-84.5501918,3,0.03 miles,4.6,8
"KYLOU_CaneRun , 4860 Cane Run Rd , Louisville , KY , 40216",38.1806517,-85.8589994,0,N/A,N/A,N/A
"KYWIN_Codella , 160 Codella Dr , Winchester , KY , 40391",37.9897787,-84.2095068,2,0.38 miles,4.6,176
"Kennesaw , 1585 Crater Lake Dr , Kennesaw , GA , 30152",33.9969501,-84.5907868,9,0.36 miles,4.9,240
"Kernan , 11991 Atlantic Blvd , Jacksonville , FL , 32225",30.3206622,-81.4902356,1,1.00 miles,2.9,8
"Kind Car Wash , 3106 N National Rd , Columbus , IN , 47201",39.2295427,-85.9051615,2,0.24 miles,3.9,239
"King Street Littleton , 25 King St , Littleton , MA , 1460",42.5387544,-71.5097587,0,N/A,N/A,N/A
"King's Car Wash , 1116 W Corbett Ave , Swansboro , NC , 28584",34.7019676,-77.148783,1,0.01 miles,1,1
"Kiwi Car Wash Vero , 4915 20th St , Vero Beach , FL , 32966",27.6381073,-80.4367945,0,N/A,N/A,N/A
"Klemm Express , 4 Mall Road , Salem , NH , 3079",42.7693178,-71.2293634,1,0.46 miles,4.6,315
"Klemm Express Inbay , 4 Mall Road , Salem , NH , 3079",42.7693327,-71.2293089,1,0.46 miles,4.6,315
"Koala Car Wash , 1560 Lexington Rd , Athens , GA , 30605",33.946133,-83.352455,5,0.21 miles,5,2
"LA Xpress Car Wash , 444 North Franklin Street , Lancaster , PA , 17602",40.0472073,-76.2929647,1,0.99 miles,3.6,172
"LEXINGTON AUTO SPA , 1124 Winchester Rd , Lexington , KY , 40505",38.0419236,-84.4628169,3,0.09 miles,3.9,157
"LINDSTROM CAR WASH , 3003 E Indian School Rd , Phoenix , AZ , 85016",33.4946586,-112.0169618,2,0.18 miles,4.5,683
"LOUISVILLE , 1670 Alliant Ave , Louisville , KY , 40299",38.218812,-85.538056,0,N/A,N/A,N/A
"Lafayette , 2142 N Main St , LaFayette , GA , 30728",34.7403079,-85.2723458,1,0.25 miles,2.3,3
"Lake Charles Toyota , 3905 Gerstner Memorial Dr , Lake Charles , LA , 70607",30.185938,-93.1790044,2,0.26 miles,4.5,365
"Lake Effect , 145 George St , Oswego , NY , 13126",43.4624732,-76.4847243,3,0.01 miles,4.7,3
"Lake Havasu Express , 108 N Lake Havasu Ave , Lake Havasu City , AZ , 86403",34.4768692,-114.3462105,3,0.08 miles,1.4,37
"Lake Mead , 505 W Lake Mead Pkwy , Henderson , NV , 89015",36.0352994,-114.9970326,6,0.16 miles,4.1,204
"Lake Wales , 2043 State Road 60 E , Lake Wales , FL , 33859",27.9031047,-81.6223701,0,N/A,N/A,N/A
"Lakes Edge , 7916 Bradley Long Dr , Sherrills Ford , NC , 28673",35.5832605,-80.9887544,1,0.18 miles,2.3,3
"Lakeside Auto Wash , 617 N Mitchell St , Cadillac , MI , 49601",44.2553229,-85.4038692,4,0.43 miles,2.6,17
"Lancaster Car Wash , 6025 Lancaster Ave , Philadelphia , PA , 19151",39.9834389,-75.2424246,1,0.04 miles,4,229
"Las Vegas , 2608 7th St #Nm-518 , Las Vegas , NM , 87701",35.6210093,-105.224725,0,N/A,N/A,N/A
"Lathrop Arco Car Wash , 2050 Crestwood Ave , Manteca , CA , 95336",37.8259388,-121.2203074,1,0.74 miles,4.2,475
"Launch Car Wash #2 , 6510 E 71st St , Tulsa , OK , 74133",36.0606057,-95.9035719,3,0.08 miles,5,16
"Launch Car Wash , 7919 E 101 St , Tulsa , OK , 74133",36.0178791,-95.887783,4,0.66 miles,4.2,157
"Legacy Express Wash , 2583 E 5th Ave , Columbus , NE , 68601",41.4412727,-97.3205261,3,0.21 miles,1,1
"Lightning Express Car Wash , 100 W Whittier Blvd , La Habra , CA , 90631",33.9386969,-117.9465533,2,0.26 miles,N/A,N/A
"Lightning Fast , 2045 W Oaklawn Rd , Pleasanton , TX , 78064",28.940437,-98.5105038,1,0.18 miles,4.2,158
"Liquid Sunshine , 4132 Southside Blvd , Jacksonville , FL , 32256",30.272996,-81.559814,2,0.01 miles,3.3,22
"Little Rock - Geyer Springs Rd , 9020 Geyer Springs Rd , Little Rock , AR , 72209",34.6677524,-92.3447963,3,0.63 miles,5,5
"Local Car Wash , 331 W Loudon St , Chambersburg , PA , 17201",39.9361714,-77.667148,7,0.01 miles,5,2
"Lomas , 5101 Lomas Blvd NE , Albuquerque , NM , 87110",35.0879021,-106.5884248,3,0.17 miles,4.1,452
"Lonestar Suds 34th , 3602 Milwaukee Ave , Lubbock , TX , 79407",33.5602906,-101.9574118,1,0.15 miles,N/A,N/A
"Lonestar Suds Express Car Wash 2 , 12606 Indiana Ave , Lubbock , TX , 79423",33.4800796,-101.8882675,2,0.07 miles,N/A,N/A
"Long Street , 1315 Long St , Charlottesville , VA , 22901",38.0360301,-78.4611043,4,0.38 miles,N/A,N/A
"Los Lunas , 250 Main Street NE , Los Lunas , NM , 87031",34.8070818,-106.7335652,1,0.69 miles,3.5,97
"Loveland CO , 125 Knobcone Dr , Loveland , CO , 80538",40.4391632,-105.0768342,1,0.08 miles,5,2
"Lowell Road Hudson , 215 Lowell Rd , Hudson , NH , 3051",42.7332558,-71.4259764,0,N/A,N/A,N/A
"MEGA CAR WASH , 7170 N Pecos St , Denver , CO , 80221",39.8269329,-105.0056752,4,0.05 miles,N/A,N/A
"MENDHAM CAR WASH , 104 E Main St , Mendham , NJ , 7945",40.783297,-74.5860538,1,0.01 miles,4.2,38
"MONKEY SHINE , 2518 Bob Bullock Loop , Laredo , TX , 78045",27.6139336,-99.4674955,3,0.21 miles,4.8,521
"MR. SUDS HANDWASH , 80 Old Shore Rd , Port Washington , NY , 11050",40.839179,-73.703626,1,0.61 miles,5,38
"MURRAY AUTO SPA , 1530 HWY 121 N BYPASS , MURRAY , KY , 42071",36.588976,-88.29729,0,N/A,N/A,N/A
"MZX SUPERIOR CAR WASH & LUBE , 5614 Hwy 6 N , Houston , TX , 77084",29.8602223,-95.6444756,5,0.02 miles,1,1
"Mableton , 5402 Floyd Rd SW , Mableton , GA , 30126",33.8182285,-84.5761596,7,0.23 miles,4.3,307
"Madison , 155 Plaza Blvd , Madison , AL , 35758",34.7099342,-86.7423193,2,0.01 miles,N/A,N/A
"Magic City Car Wash , 619 N Broadway , Minot , ND , 58703",48.2427558,-101.2970504,1,0.98 miles,2.8,4
"Magic Hillsboro , 1455 N High St , Hillsboro , OH , 45133",39.227106,-83.610754,1,0.39 miles,3.3,170
"Magnus Car Wash , Kendall Dr , San Bernardino , CA , 92407",34.1743506,-117.3269762,3,0.64 miles,4.7,1030
"Main Street Tewksbury , 2221 Main St , Tewksbury , MA , 1876",42.5822156,-71.1966311,1,0.03 miles,3.8,101
"Maricamp , 125 Bahia Ave Ct , Ocala , FL , 34472",29.113887,-82.021699,4,0.13 miles,4.8,304
"Marshalltown , 2401 S Center St , Marshalltown , IA , 50158",42.0174381,-92.9132424,3,0.22 miles,4.2,46
"Maumelle - Audubon Dr , 117 Audubon Dr , Maumelle , AR , 72113",34.8516173,-92.4055153,3,0.06 miles,4.8,223
"Max Leggett , 15765 Max Leggett Pkwy , Jacksonville , FL , 32218",30.4902066,-81.6261415,2,0.11 miles,3.6,77
"McKinney , 6211 West University Drive , McKinney , TX , 75071",33.2174366,-96.6979106,2,0.84 miles,N/A,N/A
"Mega Shine Wash , 18282 E Thirteen Mile Rd , Roseville , MI , 48066",42.5241106,-82.9324804,4,0.60 miles,2.9,57
"Melbourne East , 10 W New Haven Ave , Melbourne , FL , 32901",28.0790416,-80.6220572,0,N/A,N/A,N/A
"Menaul , 7509 Menaul Blvd NE , Albuquerque , NM , 87110",35.1096477,-106.5605327,1,0.52 miles,4.3,447
"Menifee , 27503 McCall Blvd , Menifee , CA , 92585",33.7156677,-117.1796426,5,0.16 miles,4,77
"Miami Executive Car Wash , 13501 SW 137th Ave , Miami , FL , 33186",25.6419551,-80.4142643,7,0.00 miles,3.7,34
"Mid River , 3300 Mid Rivers Mall Dr , St. Peters , MO , 63376",38.7724934,-90.6247126,4,0.13 miles,4.1,154
"Mint Carwash , 3751 Frankford Rd , Dallas , TX , 75287",32.9974829,-96.8487039,9,0.00 miles,4,373
"Mint Express Houston , 8640 Barker Cypress Rd , Houston , TX , 77095",29.904087,-95.6847305,2,0.48 miles,4.9,390
"Mint Express Katy , 23040 Morton Ranch Rd , Katy , TX , 77449",29.8176415,-95.7728997,4,0.34 miles,4.8,2812
"Mistic Express Car Wash , 2650 EAST WHIPP ROAD , CENTERVILLE , OH , 45440",39.6599145,-84.1104932,3,0.01 miles,4.1,162
"Moby's Car Wash , 421 E Martintown Rd , North Augusta , SC , 29841",33.4957275,-81.95777,4,0.39 miles,4,93
"Mojo Xpress Hopkins Center , 141 Hopkins Corner Dr , Waynesboro , GA , 30830",33.1062462,-82.0253351,1,0.42 miles,4.1,26
"Mojo Xpress Wash , 332 South Green St , Swainsboro , GA , 30401",32.5899945,-82.3302568,1,0.36 miles,4.2,99
"Monkey Shine Car Wash , 2270 Camden Ave , Campbell , CA , 95008",37.2664834,-121.9418309,1,0.70 miles,4.7,51
"Monster Car wash AZ , 6640 N Viewpoint Dr , Prescott Valley , AZ , 86315",34.6376297,-112.3364188,0,N/A,N/A,N/A
"Monster Express Car Wash , 2160 NW Federal Hwy , Stuart , FL , 34994",27.2314661,-80.267833,2,0.41 miles,3.9,35
"Monster Wash , 7020 U.S.Highway 181 N , Floresville , TX , 78114",29.2311555,-98.245306,0,N/A,N/A,N/A
"Montana , 11680 Montana Ave , El Paso , TX , 79936",31.803138,-106.28622,4,0.83 miles,5,52
"Montgomeryville , 739 Bethlehem Pike , Montgomeryville , PA , 18936",40.2460184,-75.242858,0,N/A,N/A,N/A
"Moreno Valley , 22330 Cactus Ave , Moreno Valley , CA , 92553",33.9105707,-117.2737697,5,0.16 miles,4.1,143
"Morrilton - E Harding St , 1803 E Harding St , Morrilton , AR , 72110",35.1704143,-92.719885,1,0.83 miles,4.2,64
"Mountain Edge , 200 E Commonwealth Dr , Wytheville , VA , 24382",36.9600105,-81.0960388,3,0.04 miles,3.6,163
"Mountain Express #1 , 226 Old Chimney Rock Rd , Hendersonville , NC , 28792",35.3457861,-82.4322737,0,N/A,N/A,N/A
"Mountain Express #2 , 821 Shepherd St , Hendersonville , NC , 28792",35.2989673,-82.4359153,4,0.09 miles,3.9,75
"Moyka 441 , 1955 S State Rd 7 , Davie , FL , 33317",26.0960333,-80.2016322,4,0.67 miles,5,44
"Mr Clean Adairsville , 18 Commerce Pkwy , Adairsville , GA , 30103",34.3773881,-84.9284817,1,0.73 miles,4.1,12
"Mr Clean Blairsville , 262 GA-515 , Blairsville , GA , 30512",34.8794923,-83.9556608,2,0.42 miles,4.3,245
"Mr Clean Canton , 220 Riverstone Pkwy , Canton , GA , 30114",34.2440227,-84.488294,4,0.11 miles,3.6,75
"Mr Clean Cumming , 3320 Buford Hwy , Cumming , GA , 30041",34.1289056,-84.0974496,0,N/A,N/A,N/A
"Mr Clean Dahlonega , 45 Morrison Moore Pkwy W , Dahlonega , GA , 30533",34.5257347,-83.9789743,2,0.32 miles,3.7,79
"Mr Clean DeBary , 215 N Charles Richard Beall Blvd , DeBary , FL , 32713",28.8994251,-81.3049194,0,N/A,N/A,N/A
"Mr Clean Duluth , 988 Duluth Hwy #120 , Lawrenceville , GA , 30043",33.9684687,-84.027639,3,0.48 miles,4.9,197
"Mr Clean Holcomb , 2904 Holcomb Bridge Rd , Alpharetta , GA , 30022",33.9896384,-84.2761391,0,N/A,N/A,N/A
"Mr Clean Jimmy Carter , 4175 Jimmy Carter Blvd , Norcross , GA , 30093",33.8711015,-84.1875649,2,0.28 miles,5,2
"Mr Clean Leesburg , 1396 W N Blvd , Leesburg , FL , 34748",28.8277769,-81.8866092,1,0.20 miles,N/A,N/A
"Mr Clean Loganville , 4840 Atlanta Hwy , Loganville , GA , 30052",33.8331639,-83.8811731,2,0.86 miles,4,154
"Mr Clean Ocala , 3020 S Pine Ave , Ocala , FL , 34471",29.157772,-82.130722,1,0.87 miles,N/A,N/A
"Mr Clean Orange Park , 890 Blanding Blvd , Orange Park , FL , 32065",30.1418889,-81.7681268,4,0.10 miles,4.3,128
"Mr Clean Oxford , 11822 US-301 , Oxford , FL , 34484",28.9285765,-82.0378868,1,0.15 miles,5,1
"Mr Clean Pleasant Hill , 1382 Pleasant Hill Rd , Lawrenceville , GA , 30044",33.9385038,-84.1203103,4,0.49 miles,3.2,31
"Mr Clean Shallowford , 3950 Shallowford Rd , Marietta , GA , 30062",34.0304941,-84.4358519,4,0.62 miles,5,27
"Mr Clean Sharpsburg , 18 Bailey Station Dr , Sharpsburg , GA , 30277",33.4081197,-84.6736447,1,0.48 miles,3.4,192
"Mr D Car Wash , 525 E Sumner St , Hartford , WI , 53027",43.3168236,-88.3718484,3,0.01 miles,4.2,6
"Mr. B's Car Wash - Sumiton , 878 Hwy 78 , Sumiton , AL , 35148",33.7450899,-87.0469626,0,N/A,N/A,N/A
"Mr. Suds Car Wash , 989 Sunrise Hwy , Bay Shore , NY , 11706",40.7309913,-73.2734195,6,0.03 miles,4.1,46
"My Wash , 3804 S Western , Marion , IN , 46953",40.523313,-85.6753078,2,0.38 miles,4.2,339
"NCGOL_N.Berkeley , 508 N Berkeley Blvd , Goldsboro , NC , 27534",35.3745497,-77.9443943,5,0.35 miles,3.9,215
"NCHOL_GrandHill , 301 Grand Hill Pl , Holly Springs , NC , 27540",35.6656692,-78.8438361,2,0.52 miles,2.3,14
"Naples Car Wash , 10101 Tamiami Trail N , Naples , FL , 34108",26.132201,-81.77354,2,0.49 miles,4,235
"Nellis , 421 N Nellis Blvd , Las Vegas , NV , 89110",36.1707834,-115.0625915,6,0.27 miles,4.1,108
"Neptune Beach , 835 Atlantic Blvd , Atlantic Beach , FL , 32233",30.3249512,-81.4103422,2,0.62 miles,4.4,119
"New Day Car Wash , 4740 Cahaba River Rd , Birmingham , AL , 35243",33.431474,-86.7357679,1,0.40 miles,4,2
"New Shackle Island , 271 New Shackle Island Rd , Hendersonville , TN , 37075",36.3184762,-86.6253516,3,0.27 miles,3.5,272
"Newport Auto Spa , 1461 Superior Ave , Newport Beach , CA , 92663",33.6278015,-117.9326119,5,0.41 miles,5,2
"Nocatee , 2545 Palm Vly Rd , Ponte Vedra Beach , FL , 32081",30.1236976,-81.3973992,0,N/A,N/A,N/A
"Norco Auto Spa , 996 Mountain Ave , Norco , CA , 92860",33.8977638,-117.5644794,8,0.02 miles,3.4,13
"North Deland , 104 E International Speedway Blvd , DeLand , FL , 32724",29.0539905,-81.3026516,4,0.00 miles,4.4,938
"North Lauderdale , 1250 S State Rd 7 , North Lauderdale , FL , 33068",26.2121667,-80.2035139,4,0.43 miles,4.7,16
"North Lauderdale , 1821 S State Rd 7 , North Lauderdale , FL , 33068",26.204705,-80.204662,5,0.05 miles,4.2,48
"North Little Rock - JFK BLVD , 5116 JFK BLVD , NORTH LITTLE ROCK , AR , 72116",34.7893827,-92.2601544,4,0.42 miles,N/A,N/A
"North Port CW , 14164 Tamiami Trail , North Port , FL , 34287",27.043727,-82.2395995,0,N/A,N/A,N/A
"OBXpress , 4011 N Croatan Hwy , Kitty Hawk , NC , 27949",36.071219,-75.6958696,0,N/A,N/A,N/A
"OCTOPUS CAR WASH , 1050 W Beta St , Green Valley , AZ , 85614",31.9024319,-110.9867705,2,0.30 miles,4,317
"Oakleaf , 8215 Old Middleburg Rd S , Jacksonville , FL , 32222",30.1979196,-81.822658,2,0.24 miles,2.1,68
"Oasis Auto Spa , 5001 Collin McKinney Pkwy , McKinney , TX , 75070",33.1496963,-96.681427,3,0.02 miles,N/A,N/A
"Ocala -Silver Springs , 4956 E Silver Springs Blvd , Ocala , FL , 34470",29.2100496,-82.0658882,0,N/A,N/A,N/A
"Ocala Pine Ave , 815 S Pine Ave , Ocala , FL , 34471",29.1799686,-82.1398339,4,0.47 miles,5,4
"Ocean Express , 9640 Federal Blvd , Federal Heights , CO , 80260",39.8715564,-105.0241903,8,0.24 miles,5,6
"Ocean State Car Wash , 2313 Post Rd , Warwick , RI , 2886",41.7194532,-71.4433887,1,0.15 miles,N/A,N/A
"Octopus Express , 510 W State Rd 434 , Winter Springs , FL , 32708",28.6986111,-81.3107744,1,0.01 miles,4.6,838
"Ogeechee , 5909 Ogeechee Rd , Savannah , GA , 31419",31.997541,-81.2525169,1,0.43 miles,N/A,N/A
"Old St Augustine , 11533 Old St Augustine Rd , Jacksonville , FL , 32258",30.163302,-81.5997163,2,0.73 miles,3.3,30
"Old Town , 2100 Central Ave SW , Albuquerque , NM , 87104",35.0948372,-106.6719013,0,N/A,N/A,N/A
"Ollie Wash Henderson , 2700 US Hwy. 41 N , Henderson , KY , 42420",37.8755239,-87.5672191,1,0.89 miles,3.5,52
"Ollie Wash Owensboro , 3850 Frederica St , Owensboro , KY , 42301",37.7343692,-87.1206966,3,0.71 miles,4.9,234
"Orange City , 1310 S Volusia Ave , Orange City , FL , 32763",28.9337218,-81.2984532,2,0.10 miles,N/A,N/A
"Orbit Car Wash , 1205 Old Peachtree Rd NW , Suwanee , GA , 30024",34.0031419,-84.083148,1,0.63 miles,2.7,40
