full_site_address,Latitude,Longitude,new_latitude,new_longitude,carwash_name_in_image,accessibility_score,rationale
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,40.2614149,-80.17475019999999,All Washed Up Auto Spa,6,"The car-wash sits on a small triangular parcel wedged between two busy roads (Morganza Rd, a multi-lane arterial, and Weavertown Rd, a two-lane city connector) but does not front directly on either one. Instead it has a single, dedicated curb cut onto Old Pike St, a lower-volume side street one block south of the Morganza/Weavertown signal. Vehicles approaching on Morganza must first turn south onto Weavertown then immediately turn again onto Old Pike to reach the site; likewise to return to Morganza, a two-turn maneuver is required. Left turns from eastbound Morganza are prevented by a median, forcing drivers to detour through the signalized Morganza/Weavertown corner. The Old Pike entrance is clearly defined and free of shared conflicts at the curb cut, but that unsignalized side-street T‐intersection can back up under peak traffic and the car-wash signage is not visible until after leaving the arterial. Surrounded by a dense commercial node (coffee shops, fast food, pharmacy), cross‐traffic volumes at the nearby intersections further delays turning movements. Taken together—single‐point access off a secondary street, required two‐turn approach from the arterial, and potential queuing at side-street T‐intersection—the site earns a ‘moderate accessibility’ rating under the rubric (score 6)."
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,41.120557999999996,-78.758646,All Washed Up Auto Spa,8,"The car wash fronts a four-lane arterial with a continuous two-way left-turn lane, so drivers can make direct right- and left-turn maneuvers in and out of the property without long detours or U-turns. A single curb cut dedicated to the car wash is immediately adjacent to the road and paired with a tall on-site sign, making it highly visible from both directions. There is no raised median to block access. The only minor downside is that the asphalt lot is shared with an adjoining restaurant—two curb cuts sit within a short distance of one another—which can lead to slight driver confusion and turning conflicts during peak periods. Overall, entry and exit are direct and well defined, meriting a score of 8 for good accessibility."
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,40.5336038,-79.8458897,All Washed Up Auto Spa,7,"The site fronts directly on Freeport Road, a four-lane arterial with clear curb cuts for entry and exit that are dedicated solely to the car wash. The main entrance and exit driveways are highly visible from the road and do not require navigating through adjacent lots. There is no restrictive raised median preventing left turns, although the absence of a dedicated turn-pocket and the fact that Freeport Road carries steady commercial traffic means left-turn movements can be awkward during peak times. The surrounding environment is a busy retail/hospital corridor—cross-traffic from adjacent businesses can cause occasional delays. Overall, access is straightforward and intuitive, with only minor congestion-related drawbacks, placing this site in the ‘good’ accessibility range."
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,40.281186,-78.8627293,All Washed Up Auto Spa,7,"The car-wash sits directly on Scalp Avenue, which is a four-lane arterial road with a continuous center turn lane rather than a raised median. Customers can make a simple left or right turn into the property from either direction without detours. The entry is shared with the adjacent AutoZone auto-parts store via a single curb cut, so while the driveway is clearly paved and visible, it is not fully dedicated to the car-wash and can become congested by both businesses. The facility is highly visible from the road, but the dense commercial corridor—fast-food drive-thrus, retail lots and their own curb cuts—creates cross-traffic that can delay turns during peak periods. Overall, access is direct and intuitive, but the shared driveway and busy surroundings prevent top-tier scoring."
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,40.4096318,-79.8993024,All Washed Up Auto Spa,5,"All Washed Up Auto Spa sits on E 8th Avenue, a four-lane arterial with a painted center turn lane rather than a raised median.  Drivers approaching from either direction can make a single direct turn into the dedicated car-wash entry, and the driveway is clearly marked and not shared with adjacent businesses.  Visibility of the entry off E 8th is good, but turning left across two moving lanes – especially under peak traffic – introduces moderate delay and risk.  The exit, however, does not return to E 8th Avenue directly: customers must follow the one-way wash exit northward onto William Marks Drive, then navigate around to rejoin the main road, adding indirect routing.  The site is in a busy commercial corridor so side-street traffic and curb cuts nearby can also slow inbound and outbound movements.  Taken together, the direct but potentially difficult turn-in and the indirect exit path yield a moderate overall accessibility score."
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,39.9105773,-79.7474519,All Washed Up Auto Spa,4,"From the widest view the site sits immediately behind a Sheetz convenience store on U.S. 40, a multi-lane arterial, but the car-wash site itself actually fronts only New Salem Road (T-926), a two-lane side road. There is no clearly defined curb cut or dedicated driveway visible at the red-circled location — any future access would almost certainly be shared with the adjacent Sheetz/strip center lot. Approaching westbound on U.S. 40 you cannot turn directly into New Salem Road without using the signalized intersection, and a median on U.S. 40 would force indirect turns or U-turns for customers coming from the opposite direction. The site is set back behind the gas station, reducing entrance visibility, and is flanked by high-traffic uses (fuel pumps, fast-food drive-thru) that will generate cross-traffic conflicts. Taken together, access is functional but has significant drawbacks, so it rates a 4 (moderate accessibility)."
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,40.7441566,-96.7249173,Soapatopia Car Wash,5,"The car wash sits on a multi-lane arterial (W Denton Rd) but has no dedicated curb cut on that frontage. Instead, customers must turn off W Denton Rd onto either S 1st St or W Amaranth Ln (via a nearby roundabout), enter the shared drive serving a U-Stop convenience store and Phillips 66, then weave through the lot to reach the wash. This shared entrance reduces visibility and creates conflict with gas-station customers, and the building is set back behind a grassy buffer so signage and the entry point aren’t obvious from the main road. Although access via the secondary roads is functional and left turns are permitted, the detours and shared drive introduce inconvenience. In a busy commercial corridor with additional cross-traffic from a casino/residential complex, entering and exiting are workable but carry significant drawbacks, meriting a moderate score of 5."
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,35.5195152,-78.3146416,American Pride Xpress Car Wash,8,"The car wash sits directly on US-301/N Brightleaf Blvd, a four-lane arterial with no raised median, so drivers from both directions can turn in and out at the dedicated curb cut without having to navigate secondary roads or complex intersections. The driveway is clearly marked and entirely separate from the adjacent McDonald’s entrance, and the building frontage and signage along the main road give excellent visibility. Because the road carries heavy commercial traffic, left-turn maneuvers into or out of the site can require a gap in oncoming vehicles during peak periods, but there are no physical barriers (medians) blocking access and no shared driveways to cause confusion. Overall this delivers good, largely direct access with only minor delays at busy times."
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,34.197131299999995,-84.79212989999999,Aqua Breeze Car Wash,8,"The car wash sits immediately on E Felton Road, a multi‐lane commercial arterial with a continuous two-way left-turn lane rather than a rigid median. Its primary entrance is a single, well-painted curb cut directly from Felton Road, allowing drivers from both directions to pull safely into the turn lane before entering. No secondary roads or convoluted routing are required. While the drive aisle is part of a shared access arrangement with the attached BBQ building (and cross-access connects to the adjoining Checkers lot), the curb cut itself is dedicated and clearly visible. The surrounding dense retail corridor generates heavy cross-traffic and numerous nearby curb cuts, which can slow left-turn movements in peak hours, but there are no major physical barriers forcing awkward U-turns or detours. Overall, ingress and egress are direct, intuitive, and well supported by the center turn lane, meriting a good accessibility rating."
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,40.340223099999996,-76.4568065,AutoSuds West Car Wash,8,"The property sits immediately off US-422 (a four-lane, divided arterial) and also has a driveway on the quieter N 25th St.  From the broad views we see a clearly cut curb opening in the median directly in front of the car wash, so drivers on 422 can make a single, un-signalized left or right turn into the lot without threading through other lots.  In addition, there is a separate, very visible driveway on N 25th St. that provides an alternate entry/exit.  Both curb cuts are dedicated to the car wash (there is no confusing, shared mall driveway), and the openings are obvious at typical vehicle speed on the main road.  Surrounding uses are all commercial/industrial, so while 422 can be busy at peak times, there are no closely abutting drive-thrus or high-intensity retail entrances immediately next to the car wash that would force customers into merge conflicts or stacking on the street.  In short, access is straightforward and intuitive from both directions on the main road (thanks to the median break) and from the side street, so only minor peak-hour left-turn waits keep us from a near-perfect score."
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",36.3328772,-78.4411117,36.332877200000006,-78.4411117,"AutoBrite Car Washes, Inc.",8,"Primary Road Access & Visibility: The site sits directly on N Cooper Drive, a two-lane commercial arterial/frontage road running parallel to I-85. It offers a painted two-way left-turn lane rather than a raised barrier, so customers can easily slow down and make either right- or left-turns without detouring to an intersection. The car wash’s single driveway is plainly visible from both north- and south-bound traffic on N Cooper Drive.  Entrance & Exit Complexity: There is one dedicated curb cut serving only the car wash; it is not shared with the adjacent hotel or retail center. Access consists of a straightforward single turn in and turn out, with no hidden lanes, roundabouts or confusing weaving through a parking lot.  Surrounding Environment & Potential for Conflict: Although the wash is located in a busy retail corridor – which can lead to short delays when turning across moderate cross-traffic – the direct driveway location and the presence of a center turn lane keep entry and exit intuitive.  Overall, the site provides largely unimpeded, highly visible access from both directions of the main road, warranting a score of 8 (Good Accessibility)."
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",38.7887778,-94.9270292,38.7887778,-94.92702919999999,Autosoak Car Wash,6,"The site sits on the northeast corner of the busy S Gardner Road/W 187th Terrace intersection but has no direct curb cut to Gardner. Instead, all vehicles must turn off Gardner into one of the two arterial legs (either eastbound on 187th Terrace then north on Vivian Street, or northbound on Gardner into the 187th/side-street crossing), then swing into the car wash’s private driveway on Vivian. The entrance is clearly defined and dedicated to the wash (no shared driveway), and the building is visible from Gardner once you pass the sidewalk and grass buffer. However, the need for two separate turns—first off the multi-lane median-divided arterial, then onto a smaller side street—adds complexity, and peak-hour queues at the adjacent Taco Bell and hardware store intersection can back up the leg you need to use for ingress/egress. Overall it is functional but not seamless access, placing it in the moderate-accessibility range."
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",32.549643,-84.9331716,32.549963,-84.9328761,Autosport Wash,9,"The car‐wash sits on a major four‐lane arterial (Whittlesey Blvd) at a fully signalized intersection, and the only driveway is a dedicated curb cut immediately adjacent to the corner.  From both eastbound and westbound directions you have a direct, single‐turn into and out of the site via the signal’s median break (full directional access with no additional detour or back‐tracking required).  The entrance is highly visible at the light, unshared with other businesses and clearly defined with pavement markings.  While the surrounding corridor is a dense, high‐volume commercial strip (Academy Sports, Outback, Old Chicago, etc.) and peak‐period queues can occasionally delay turns, the net result is exceptionally intuitive and convenient ingress/egress, meriting an overall score of 9."
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",28.257958,-81.485298,28.258311199999998,-81.4856547,Waters Car Wash,5,"The car wash sits on the southeast corner of a busy signalized intersection between a four-lane north–south arterial (S Poinciana Blvd) and a high‐volume two-lane east–west highway (Old Tampa Hwy). The single driveway is cut into the corner radius along Old Tampa Hwy, so eastbound traffic on Old Tampa Hwy has an easy right‐turn ingress/egress. However, westbound drivers cannot turn left into the site due to a raised median just beyond the corner and must either overshoot and U-turn or circle through the main intersection. There is no direct curb cut on S Poinciana Blvd, so southbound or northbound vehicles must first turn onto Old Tampa Hwy before re-entering the property. Although the driveway is dedicated to this car wash (no shared lot) and highly visible at the corner, the median restrictions and requirement to navigate the busy signal create noticeable detours and driver confusion. These factors place the site into the moderate accessibility range."
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",36.8263159,-108.0119144,36.826274,-108.01207199999999,Champion Xpress Carwash,5,"The car wash sits on W Aztec Blvd, a busy four-lane arterial with a raised or channelized median that breaks only at intersections. There are two mid-block curb cuts shared between Sonic Drive-In, Roadrunner Car Wash and Champion Xpress, so Champion has no dedicated, single driveway directly serving its building—drivers must first enter the joint lot and then navigate around to the Champion bays. Because of the continuous median, customers cannot make direct left-in or left-out maneuvers mid-block; they must use nearby intersections to U-turn for half of their trips, adding time and complexity. The surrounding corridor is densely commercial and heavily trafficked, which further increases conflict potential. Overall access is functional via right-turns but hampered by median restrictions and shared driveways, earning a moderate score of 5."
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",31.8038311,-94.1867481,31.8038127,-94.18675759999999,Express Car Wash,8,"The car wash sits immediately off State Highway 87 (Tenaha St), a two-lane, undivided arterial with no raised median—so customers can turn in and out from both directions without having to make U-turns or navigate a center barrier. The single driveway serving the wash is dedicated to that use (it is not shared with an adjacent building) and is pulled just far enough south of the nearby Childs Street intersection to be highly visible to passing traffic. While there are other driveways and businesses along the corridor, the lot entrance stands out and there are no unusual channelization or turn-lane requirements. Traffic volumes on this stretch appear moderate, so left-turn ingress/egress is straightforward. Altogether, this yields a high level of ease for typical customers entering and exiting the site."
"BDP's Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",32.6101385,-114.6549997,32.6085717,-114.6537479,B.D.P 's Kwapa Kar Wash,6,"Primary Road Access & Visibility: The car wash sits immediately west of US-95, a high-speed, four-lane arterial, but its curb cut is not directly on the highway – it lies one parcel back on County 15th Street at the signalized intersection. A driver on US-95 must turn onto the cross street and then almost immediately into the site, so access is straightforward but indirect. The corner location and signal make the driveway reasonably visible once you’re stopped at the light, but it could be missed by someone unfamiliar with the property.

Entrance & Exit Complexity: There is a single, well-defined curb cut serving the entire gas-and-car wash site, so there’s no confusing shared lot with multiple businesses. Physical barriers such as the highway median do not block the site entrance since all movements occur via the side street, though southbound US-95 travelers must execute a right then left in quick succession and northbound traffic a left then right. All turns are controlled by a signal, mitigating safety concerns but still requiring two maneuvers from the main road.

Surrounding Environment & Potential for Conflict: The immediate surroundings are a mix of empty desert to the west and a busy casino/resort entrance a few hundred feet to the south. While the driveway itself is free of adjacent cross-traffic, overall intersection delays can be pronounced during peak casino hours. Heavy turning movements off and onto US-95 can back up the side street, adding to the inconvenience for some customers.

Overall, the site is fully functional and clearly defined but hampered by indirect access from the primary highway and potential congestion at the signalized corner, placing it squarely in the moderate accessibility range."
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",42.55114,-71.7638088,42.55114,-71.76380879999999,Big Steve's $5 Car Wash,8,"The car wash sits directly on N Main St (Route 12), a multi-lane arterial with a continuous two-way left-turn lane rather than a raised median. The site benefits from:  
• Direct, single-turn access from both northbound and southbound traffic via the center turn lane.  
• A dedicated driveway serving only the car wash, making the entry and exit easily identifiable.  
• High visibility from the main road, with no need to navigate secondary streets or complex intersections.  
The surrounding commercial corridor is busy—there are multiple driveways and cross-traffic from adjacent fast-food and retail sites—which can slow turns during peak periods. However, the presence of the center turn lane and the standalone nature of the driveway keep access straightforward. These factors support a score of 8, indicating good overall accessibility."
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",31.0378299,-97.3912928,31.0378299,-97.3912928,Bella Stone Car Wash,9,"The Bella Stone Car Wash sits directly on W Farm-to-Market 93, a multi-lane arterial road with a continuous center left-turn lane rather than a raised median. A clearly defined, dedicated driveway serves only the car wash (the church and nearby buildings have separate access points), so drivers don’t have to navigate a shared or confusing lot. Left turns in and out are straightforward thanks to the center turn lane and there are no physical barriers forcing U-turns or circuitous detours. Visibility is excellent from both directions on FM-93, and although there is a secondary access from S 31st St., most customers will use the easily spotted FM-93 entrance. The surrounding area is low-density commercial/residential with no high-volume conflicting drive-thrus or retail entries immediately adjacent, further minimizing turn-in/turn-out conflict. Overall, access is exceptionally easy and intuitive."
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",32.0285169,-81.2226747,32.028541499999996,-81.222659,LUV Car Wash,5,"The car wash sits behind a major four-lane divided highway (US-17) with no direct curb cut onto the main road. Customers must exit US-17 at the signalized cross street (Cottonvale Road), then navigate a shared two-way frontage road serving multiple auto businesses (Express Oil Change, Goodyear, the credit union, etc.). The primary road is a high-speed arterial with a median preventing direct left-turn ingress or egress. The facility’s single driveway is shared among adjacent tenants, reducing clarity and increasing potential conflicts during busy periods. Overall, access is functional via a simple turn off the frontage road, but the lack of a dedicated entry on the highway itself, the shared drive, and required use of secondary roads make it only moderately accessible."
"Big Dan's Crystal River , 517 NE 5th St , Crystal River , FL , 34429",28.8986604,-82.5859672,28.8986687,-82.5859507,Big Dan's Car Wash,5,"The site sits directly on NE 5th Street (US 98), a busy multi-lane arterial with a central median. The car wash has its own clearly defined driveway on the north side of the road, so visual visibility and signage are good for right‐turn movements. However, the continuous median east of the signalized intersection immediately to the west prevents direct left‐in or left‐out access. Customers approaching from the east must pass the driveway, perform a U-turn at the intersection, then circle back for a right-in, and westbound drivers are forced into right-out maneuvers only. Surrounding uses (Wawa, Taco Bell, CVS, Walgreens, etc.) generate high cross traffic and frequent turning activity at the adjacent intersection, adding delay and complexity. These factors keep access functional but with significant inconvenience for one-direction customers, meriting a score of 5 (Moderate Accessibility)."
"Big Dan's Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",33.5396761,-84.5776059,33.5396551,-84.57759899999999,Big Dan's Car Wash,6,"The car wash sits one block off Senoia Road – a signalized, multi-lane arterial – on Peachtree Landing Circle. From the northbound direction it’s a very simple right-turn off Senoia Road onto Peachtree Landing, then an immediate left into the site’s dedicated driveway, which is highly visible at the intersection. From the southbound direction, however, there is no direct median opening or left-turn bay to the car wash driveway; a motorist must either make a nonstandard immediate turn off the intersection or proceed through, U-turn, and re-approach. The driveway itself is clearly defined and not shared with other users, but the high surrounding cross-traffic at the busy corner and the slight indirectness of one approach introduce modest complexity. Overall, access is entirely functional but carries enough directional and visibility drawbacks to land in the midrange of our scale."
"Big Dan's Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",33.9019157,-84.77816,33.9017261,-84.7769062,Big Dan's Car Wash,6,"Big Dan’s Car Wash sits just off US-278, a multi-lane arterial with a high-speed median. Vehicular access is achieved via a shared driveway/slip-lane immediately east of a RaceTrac station. Drivers coming from the west on 278 can make a simple right-in/right-out movement directly into the shared lot, but drivers approaching from the east cannot turn left across three lanes and instead must continue to the next median break (at Bill Carruth Parkway), execute a U-turn, and then turn right into the lot. The entrance and exit are therefore fairly visible and straightforward for one direction of travel, but forced U-turns for the opposite direction introduce a clear inconvenience. In addition, ingress and egress are shared with the adjacent gas station, creating potential for minor traffic conflicts, especially during peak hours. Overall, the site has functional, mostly direct access but is hampered by a restrictive median and shared curb cut, placing it in the moderate accessibility range."
"Big Dan's Lady Lake , 135 US-441 , Lady Lake , FL , 32159",28.9187793,-81.9229062,28.9187894,-81.9229058,Big Dan's Car Wash,8,"The site sits on the east side of US-441, a multi-lane arterial, at the signalized intersection with W Guava Street. All customer access is via a dedicated driveway just east of the signal, either by turning onto W Guava and then immediately right into the wash or by using the right‐turn slip‐lane off the highway that doubles as the car-wash entrance. This single, well-marked curb cut is exclusive to Big Dan’s and is highly visible to passing traffic. The median on US-441 does not block access because vehicles use the existing turn lanes at the intersection rather than a mid-block cut. Surrounding businesses generate typical commercial cross traffic, but there is no shared driveway or confusing circulation; the one-turn access is straightforward. The only minor drawback is that northbound drivers must either use the slip lane or make a left at the light and then a right into the site, which can require patience during peak flows. Overall, entrance and exit are clear, direct, and fully signaled, earning a ‘good’ accessibility rating of 8."
"Big Dan's Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",34.5655692,-83.29788,34.5655579,-83.29792599999999,Big Dan's Car Wash,8,"Big Dan’s Car Wash sits directly on a busy two‐lane (plus center turn lane) commercial arterial (GA-17A), giving it high visibility and a direct curb cut onto the main road. Cars approaching eastbound or westbound can use the painted center turn lane for lefts, so there is no restrictive median forcing long detours or U-turns. The driveway appears dedicated to the car wash (not shared), clearly marked at the roadside, and only a very short distance from the small side‐street intersection, which slightly elevates conflict potential but does not materially impede access. While the surrounding high-traffic retail corridor and the close proximity of adjacent driveways can create turn delays during peak periods, entry and exit remain straightforward and intuitive from both directions on 17A, meriting a good (7-8) accessibility rating. Given the minor conflict points but overall ease of access, an 8 is appropriate."
"Big Dan's Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",34.1195579,-84.5192049,34.1198494,-84.52051759999999,Big Dan's Car Wash,5,"Big Dan’s Car Wash sits on Ridgewalk Parkway, a four-lane divided arterial, with two well-defined driveways that allow easy right-in/right-out from either direction. Visibility from the main road is excellent, but a continuous raised median prevents any direct left-turn ingress or egress, forcing drivers coming or going in one direction to detour to signalized intersections and perform U-turns. Both driveways are shared with adjacent businesses (a bottle shop to the west and oil-change service to the east), which can create turning conflicts during peak periods. While access is straightforward via right turns, the median restrictions and shared access points in a busy retail corridor impose significant drawbacks, yielding a moderate accessibility score."
"Big Dan's Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",34.086258,-84.466738,34.086503,-84.466657,Big Dan's Car Wash,8,"The car wash sits one block south of a four-lane divided arterial (GA-92) but uses a single dedicated curb cut on the adjacent two-lane Claremore Drive. Customers coming from either direction on GA-92 simply turn onto Claremore Drive at the signalized intersection and then make one more turn into the driveway—no weaving through secondary streets or complex routing is required. The entrance and exit are clearly defined, there is no shared driveway or obstructing median, and the building is highly visible from the highway. Although peak-hour volumes on Claremore Drive can occasionally back up to the driveway, overall ingress and egress are straightforward, earning the site a strong 8/10 accessibility rating."
