full_site_address,Latitude,Longitude,display_name,actual_latitude,actual_longitude,rating,rating_count,business_status,monday_operational_hours,tuesday_operational_hours,wednesday_operational_hours,thursday_operational_hours,friday_operational_hours,saturday_operational_hours,sunday_operational_hours
"Fusion Express CarWash , 760 Benetook Ave , Mildura , VIC , 3500",-34.2202301,142.1504211,Fusion Express Car Wash,-34.2202301,142.1504211,4.4,63,OPERATIONAL,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM
"GAWOO_Eagle , 2907 Eagle Dr , Woodstock , GA , 30189",34.113012,-84.5571699,Zips Car Wash,34.1130157,-84.556991,4.2,385,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,10:00 AM – 7:00 PM
"Galesburg , 334 E Carl Sandburg Dr , Galesburg , IL , 61401",40.9761518,-90.3654388,Champion Xpress Carwash,40.9761562,-90.3654212,4.2,615,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM
"Gallo Car Wash , 3020 NW 13th St , Gainesville , FL , 32609",29.680709,-82.339722,Gallo Car Wash 13th Street,29.680709000000004,-82.339722,4.6,266,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Gallup 49 , 1060 US-491 , Gallup , NM , 87301",35.5382265,-108.7581009,Champion Xpress Carwash,35.5382314,-108.7581575,4.2,520,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM
"Gallup 66 , 1300 E Historic Hwy 66 , Gallup , NM , 87301",35.529778,-108.7220066,Champion Xpress Carwash,35.5295108,-108.7227721,4.4,268,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM
"Gardendale , 420 Fieldstown Rd , Gardendale , AL , 35071",33.6522172,-86.8173304,Mach-1 Express Wash Gardendale,33.652252,-86.81738469999999,4.2,87,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,10:00 AM – 6:00 PM
"Georgetown , 20945 N Dupont Blvd , Georgetown , DE , 19947",38.6892922,-75.3972612,Mach-1 Express Wash Georgetown,38.68936780000001,-75.3974607,3.8,48,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,10:00 AM – 6:00 PM
"Glacier Express 24th St , 90 24th St W , Billings , MT , 59102",45.771781,-108.5766853,Glacier Express Car Wash,45.771781,-108.5766853,4.4,39,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,9:00 AM – 6:00 PM
"Glacier Express King Ave , 1832 King Ave W , Billings , MT , 59102",45.7546524,-108.5632064,Glacier Express Car Wash,45.7546524,-108.5632064,4.4,410,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,9:00 AM – 6:00 PM
"Gloss Car Wash , 5712 Lawrenceville Hwy , Lilburn , GA , 30047",33.8790359,-84.1665191,Gloss Car Wash,33.8790359,-84.1665191,4.6,479,OPERATIONAL,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,9:00 AM – 7:00 PM
"Go Clean Car Wash , 2315 Capital Cir NE , Tallahassee , FL , 32308",30.4830149,-84.2361662,Go Clean Car Wash,30.483014899999997,-84.2361662,4.4,209,OPERATIONAL,8:00 AM – 7:30 PM,8:00 AM – 7:30 PM,8:00 AM – 7:30 PM,8:00 AM – 7:30 PM,8:00 AM – 7:30 PM,8:00 AM – 7:30 PM,8:00 AM – 7:30 PM
"Go Clean Car Wash Eufaula , 1 Veteran Blvd , Eufaula , AL , 36027",31.842735,-85.1676913,Go Clean Car Wash,31.842734999999998,-85.1676913,4.3,213,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM
"Go Clean Mobile City , 6658 Mobile Hwy , Pensacola , FL , 32526",30.4763011,-87.3079223,Go Clean Car Wash,30.476301099999997,-87.3079223,4.3,136,OPERATIONAL,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM
"Go Clean Monroe , 3218 N Monroe St , Tallahassee , FL , 32303",30.4864428,-84.3167069,Shell,30.4803226,-84.3038935,3.6,119,OPERATIONAL,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
"Go Clean Pensacola , 8897 Pensacola Blvd , Pensacola , FL , 32534",30.5263517,-87.2756117,Go Clean Car Wash,30.5263517,-87.2756117,4.4,339,OPERATIONAL,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM
"Go Green N Clean , 196 Onix Dr , Kennett Square , PA , 19348",39.8606806,-75.6876881,Go Green 'N' Clean Car Wash,39.860680599999995,-75.6876881,4.4,197,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,9:00 AM – 5:00 PM
"Googie Anaheim , 1250 N Euclid St , Anaheim , CA , 92801",33.8514924,-117.9412685,The Wave Euclid,33.8513242,-117.9412347,4.3,248,OPERATIONAL,7:00 AM – 7:30 PM,7:00 AM – 7:30 PM,7:00 AM – 7:30 PM,7:00 AM – 7:30 PM,7:00 AM – 7:30 PM,7:00 AM – 7:30 PM,7:00 AM – 7:30 PM
"Googie Whittier , 8016 Santa Fe Springs Rd. , Whittier , CA , 90602",33.967361,-118.041911,Googie Car Wash,33.967361,-118.04191100000001,4.5,628,OPERATIONAL,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM
"Grand Prix CW , 3080 San Pablo Dam Rd , San Pablo , CA , 94803",37.9596895,-122.3290075,Grand Prix Car Wash,37.9597443,-122.32897039999999,3.7,426,OPERATIONAL,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM
"Grand Prix Express , 4069 San Pablo Dam Rd , El Sobrante , CA , 94803",37.9659114,-122.3110667,Speedway,37.9659106,-122.31107970000001,3.7,23,OPERATIONAL,9:00 AM – 6:30 PM,9:00 AM – 6:30 PM,9:00 AM – 6:30 PM,9:00 AM – 6:30 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM
"Granite Falls , Riverbend Club Point , Granite Falls , NC , 28630",35.7892015,-81.3806659,Caliber Car Wash,35.7789669,-81.39449979999999,4.8,697,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 7:00 PM
"Grease Monkey 1116 , 5505 Bob Bullock Loop , Laredo , TX , 78041",27.548423,-99.450622,Ninja Carwash,27.526280999999997,-99.44187199999999,N/A,N/A,OPERATIONAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Great North Auto Wash , 2701 N Lincoln Rd , Escanaba , MI , 49829",45.780323,-87.0842742,Great North Auto Wash,45.780322999999996,-87.08427420000001,4.6,149,OPERATIONAL,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,8:00 AM – 6:00 PM,9:00 AM – 5:30 PM
"Green Ocean Car Wash , 187 Teaticket Hwy , Falmouth , MA , 2536",41.565421,-70.5953527,Green Ocean Car Wash,41.565421,-70.59535269999999,4.6,105,OPERATIONAL,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM
"Greenbrier - S Broadview St , 98 S Broadview St , Greenbrier , AR , 72058",35.2228379,-92.3876296,Splash Car Wash,35.2228078,-92.38773959999999,4,171,OPERATIONAL,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,10:00 AM – 7:00 PM
"Greenway Auto Wash , 3900 Owen Rd , Fenton , MI , 48430",42.7903703,-83.7454544,Greenway Auto Wash,42.7903703,-83.7454544,3.9,328,OPERATIONAL,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 6:00 PM
"Grime Scene , 513 TX-114 , Levelland , TX , 79336",33.5944716,-102.3586622,Grime Scene Car Wash Levelland,33.5944716,-102.3586622,4,47,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,10:00 AM – 6:00 PM
"Gwatzilla Car Wash , 1701 T P White Dr , Jacksonville , AR , 72076",34.8820519,-92.1105156,Gwatzilla Wash-N-Lube,34.8820519,-92.1105156,4.5,575,OPERATIONAL,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,9:00 AM – 7:00 PM
"H2GLO CAR WASH , 1905 Electric Rd , Cave Spring , VA , 24018",37.2475657,-80.0346677,H2Glo carwash,37.247565699999996,-80.0346677,4.2,172,OPERATIONAL,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,10:00 AM – 5:00 PM
"H2O AUTO SPA , 2545 HYLAN BLVD , STATEN ISLAND , NY , 10306",40.5696384,-74.1110283,H2O Auto Spa,40.569638399999995,-74.11102830000002,4.3,423,OPERATIONAL,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 5:00 PM
"HAMPTON AUTO WASH , 296 W Montauk Hwy , Hampton Bays , NY , 11946",40.866093,-72.5539726,Hampton AutoWash,40.866093,-72.5539726,4.2,244,OPERATIONAL,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 4:30 PM
"HIPPO CAR WASH , 510 W Bosanko Ave , Coeur du0027Alene , ID , 83815",47.7115053,-116.7922251,Hippo Car Wash,47.7112153,-116.7931344,4.5,636,OPERATIONAL,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM
"HONDA WORLD , 1 Swope Autocenter Dr , Louisville , KY , 40299",38.216911,-85.581658,Whistle Express Car Wash,38.216350899999995,-85.5911545,4.4,1159,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM
"Hall of Fame Carwash , Gateway Blvd , Leland , NC , 28451",34.213539,-78.0197913,Hall of Fame Car Wash,34.213539,-78.0197913,4.9,310,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,9:00 AM – 6:00 PM
"Hampstead , 38 Dan Owen Dr , Hampstead , NC , 28443",34.3656598,-77.7116709,Caliber Car Wash,34.3656375,-77.7116896,4.9,1869,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 7:00 PM
"Happy Car Wash , 3690 Murphy Canyon Rd , San Diego , CA , 92123",32.8082216,-117.1164101,Happy Car Wash,32.808221599999996,-117.1164101,4.5,283,OPERATIONAL,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 6:00 PM
"Happy Car Wash Albany , 527 NW North Albany Rd , Albany , OR , 97321",44.6428313,-123.1126361,Happy's Drive Thru Car Wash,44.642831300000005,-123.11263609999999,4.5,385,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM
"Harper , 381 Harper Ln , Saint Johns , FL , 32259",30.1035468,-81.5409773,LUV Car Wash,30.103520999999997,-81.54098789999999,4.8,1563,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Haverhill Street Lawrence , 469 Haverhill St , Lawrence , MA , 1841",42.7068855,-71.1756743,Haffner's Car Wash,42.706809,-71.1757397,4.2,116,OPERATIONAL,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 6:00 PM
"Hercules/Elite Care Auto , 1401 Lexington Ave , Mansfield , OH , 44907",40.72053,-82.5435665,Hercules Express Wash,40.72053,-82.5435665,4.9,211,OPERATIONAL,8:30 AM – 6:30 PM,8:30 AM – 6:30 PM,8:30 AM – 6:30 PM,8:30 AM – 6:30 PM,8:30 AM – 6:30 PM,8:30 AM – 5:30 PM,Closed
"Hernando , 2660 McIngvale Rd , Hernando , MS , 38632",34.8209976,-89.9712562,Century Express Carwash,34.8207136,-89.9716014,4.9,8,OPERATIONAL,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM
"Heroes Car Wash Asheville , 2000 Hendersonville Rd , Asheville , NC , 28803",35.4858828,-82.5247986,Heroes Car Wash,35.4858828,-82.5247986,4.9,1202,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,9:00 AM – 6:00 PM
"Heroes Car Wash Taylors 2900 , 2900 Wade Hampton Blvd , Taylors , SC , 29687",34.9035057,-82.3325737,Hurricane Express Wash,34.903530499999995,-82.3325358,4.9,608,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Heroes Cary , 1370 NW Maynard Rd , Cary , NC , 27513",35.7870715,-78.8092484,Heroes Car wash,35.787113399999996,-78.8092753,4.8,668,OPERATIONAL,8:00 AM – 6:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,9:00 AM – 6:00 PM
"Heroes Express 6050 , 6050 Wade Hampton Blvd , Taylors , SC , 29687",34.9354072,-82.2761998,Car Wash Heroes,34.935462,-82.2762695,N/A,N/A,OPERATIONAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Heroes Express Pleasantburg , 3107 N Pleasantburg Dr , Greenville , SC , 29609",34.8869993,-82.3956837,Hurricane Express Wash,34.8869867,-82.39566599999999,4.8,874,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Heroes Express Salisbury , 1420 E Innes St , Salisbury , NC , 28146",35.6543588,-80.4565091,Heroes Car Wash,35.654358699999996,-80.45650909999999,4.9,1228,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,9:00 AM – 6:00 PM
"Heroes Express Woodruff , 1405 Woodruff Rd , Greenville , SC , 29607",34.8218855,-82.2836758,Hurricane Express Wash,34.821906999999996,-82.2837031,4.8,396,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Hitech CP , 1675 Ave Victor M Labiosa , San Juan , FL , 926",18.4153108,-66.0593509,La Uno Car Wash,18.4271171,-66.0543829,4,14,OPERATIONAL,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,10:00 AM – 5:00 PM
"Homestead , 33513 S Dixie Hwy , Homestead , FL , 33034",25.45618,-80.4744618,LUV Car Wash,25.4562051,-80.4747999,4.5,1563,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Horn Lake , 1690 Goodman Rd , Horn Lake , MS , 38637",34.963144,-90.0194491,Century Express Carwash - Horn Lake,34.9630991,-90.01968819999999,4.6,255,OPERATIONAL,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM
"Howell 2 , 4550 E Grand River Ave , Howell , MI , 48843",42.5818921,-83.8629198,Drip Car Wash,42.5823284,-83.8630898,4.4,227,OPERATIONAL,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,8:00 AM – 6:00 PM
"Huntsville , 1020 Pear Drive , Huntsville , TX , 77320",30.7189698,-95.5677495,Clean Car Wash,30.718950800000002,-95.56773749999999,4.4,202,OPERATIONAL,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,9:00 AM – 6:00 PM
"Huntsville , 1624 Old Monrovia Rd NW , Huntsville , AL , 35806",34.7575337,-86.6793608,Mach-1 Express Wash of Huntsville,34.7574913,-86.6793781,4.4,106,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,10:00 AM – 6:00 PM
"Huzzyu0027s Car Wash , 24005 Telegraph Rd , Flat Rock , MI , 48134",42.1298537,-83.2710371,Huzzy's Car Wash,42.1298621,-83.27110259999999,4.4,381,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 7:00 PM
"I-91 Express Wash , 168 Bridge St , East Windsor , CT , 6088",41.9312928,-72.606885,Optimo Car Wash,41.931286899999996,-72.6068701,4.6,11,OPERATIONAL,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM
"IKO Car Wash , 4450 S Pine Island Rd , Davie , FL , 33328",26.0657739,-80.2595962,Iko Car Wash,26.0657739,-80.25959619999999,4.4,283,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM
"Imperial Car Wash , 8795 Little Rd , New Port Richey , FL , 34654",28.2847944,-82.6765486,Imperial Car Wash,28.2847944,-82.67654859999999,4.9,1191,OPERATIONAL,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,8:00 AM – 8:00 PM
"In and Out , 1430 N U.S. Hwy 41 , Ruskin , FL , 33570",27.7311395,-82.4344133,In & Out Express Carwash,27.7311247,-82.434417,N/A,N/A,OPERATIONAL,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:30 AM – 8:00 PM
"In-N-Out Car Wash , 12883 US-68 , Kenton , OH , 43326",40.6332275,-83.6155622,IN-N-OUT Car Wash,40.6332275,-83.61556220000001,4.1,25,OPERATIONAL,9:00 AM – 7:00 PM,9:00 AM – 7:00 PM,9:00 AM – 7:00 PM,9:00 AM – 7:00 PM,9:00 AM – 7:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM
"Indian Harbour , 600 E Eau Gallie Blvd , Indian Harbour , FL , 32937",28.1389437,-80.5905792,Caliber Car Wash,28.1389437,-80.5905792,4.7,451,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 7:00 PM
"Indianola , 1807 N Jefferson Way , Indianola , IA , 50125",41.379244,-93.559496,Champion Xpress Carwash,41.379244,-93.559496,4.8,325,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM
"International Auto Spa , 4975 Clark Rd , Sarasota , FL , 34233",27.2695201,-82.4685487,International Auto Spa of Sarasota,27.269520099999998,-82.4685487,4.3,420,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,9:00 AM – 5:00 PM
"International Golf , 100 Vlg Cmns Dr , St. Augustine , FL , 32092",29.9637967,-81.4884146,Gate Express Car Wash,29.9640199,-81.4884125,4.3,210,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Intracoastal Car Wash , 2966 St Stephens Rd , Mobile , AL , 36612",30.7458019,-88.1110534,Intracoastal Car Wash,30.7458019,-88.11105340000002,4.1,52,CLOSED_TEMPORARILY,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Irvine , 4550 Barranca Pkwy , Irvine , CA , 92604",33.6783624,-117.8014834,Shell,33.6783667,-117.801488,3.5,32,OPERATIONAL,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
"JC AUTO WASH , 701 S Dewey St , North Platte , NE , 69101",41.127653,-100.762632,J C's Autowash & Quick Lube,41.127652999999995,-100.762632,4.6,209,OPERATIONAL,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 4:00 PM,Closed
"JJ Express Car Wash , 2185 US-70 , Thatcher , AZ , 85552",32.8380212,-109.7363483,J J Express Car Wash,32.8380212,-109.73634829999999,3.5,133,OPERATIONAL,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,7:00 AM – 7:00 PM,8:00 AM – 5:00 PM
"JJu0027s Car Wash Dickinson , 404 FM 517 W , Dickinson , TX , 77539",29.4452705,-95.0838394,JJ’s Car Wash - Dickinson,29.445270500000003,-95.0838394,4.6,228,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,9:00 AM – 6:00 PM
"JJu0027s Car Wash Friendswood , 2221 W Parkwood Ave , Friendswood , TX , 77546",29.4855535,-95.2153615,"JJ's Car Wash - Friendswood, TX",29.485937499999995,-95.2148473,4.7,440,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,9:00 AM – 6:00 PM
"JJu0027s Car Wash League City , 121 Maple Leaf Dr , League City , TX , 77573",29.4890155,-95.1606585,JJ's Car Wash,29.488964,-95.16053769999999,4.7,201,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,9:00 AM – 6:00 PM
"Jallo - Land O Lakes , 15474 State Rd 52 , Land Ou0027 Lakes , FL , 34638",28.330187,-82.5597081,Links Car Wash,28.329926999999998,-82.560508,4.7,153,OPERATIONAL,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM
