full_site_address,Latitude,Longitude,new_latitude,new_longitude,carwash_name_in_image,manualClassification,classification,justification,
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,38.6808632,-87.5201897,All American Car Wash and Express Lube,Corner,Corner,"The car wash 'All American Car Wash and Express Lube' is located at the intersection of N 7th St and College Ave, clearly meeting the criteria for a Corner Lot. There are two main roads that intersect near the car wash, forming a visible corner adjacent to the lot. The lot has access directly from these roads, and the surrounding area includes features indicative of major roads such as labeled lanes and buildings. This aligns with the definition of a Corner Lot as provided.",
"All American Kitty Hawk , 1024 Kitty Hawk Rd , Universal City , TX , 78148",29.5453319,-98.3168978,29.5452666,-98.3172903,All American Car Wash,Inside,Corner,"Based on the images provided, the 'All American Car Wash' is situated at a clear intersection of two major roads, Kitty Hawk Rd and another road from the left side. This intersection is visible in the images and forms a distinct corner. The car wash lot has road access from multiple sides, which meets the criteria for being classified as a Corner Lot. Moreover, the visible lane markings, road labels, and overall road setup confirm the roads are major roads and intersect at a corner.",
"All American O'Connor , 11331 O'Connor Rd , San Antonio , TX , 78233",29.560052,-98.3636131,29.560052,-98.3636131,,,ERROR,Another non-200-range status code was received: 400,
I,29.5147542,-98.5357639,29.5147561,-98.5353007,All American Car Wash,Inside,Corner,"The 'All American Car Wash' is located at the intersection of Vance Jackson Rd and another road that continues to the left, forming a corner. The car wash has road access from Vance Jackson Rd and is situated in a corner lot configuration visible from the satellite images.",
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,40.2614149,-80.1747502,All Washed Up Auto Spa,,Corner,"The car wash location 'All Washed Up Auto Spa' is positioned at the intersection of Morgana Rd, Weavertown Rd, and Old Pike St, which are visibly connected to each other forming a clear corner. The presence of visible major roads, lane markings, and intersection features classify this location as a Corner Lot. Multiple roads provide clear access to the lot, and the location is adjacent to an intersection fulfilling the criteria for a corner lot.",
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,41.120558,-78.758646,All Washed Up Auto Spa,,Corner,"The car wash 'All Washed Up Auto Spa' is located adjacent to an intersection of two roads that are visibly wide and have proper markings. The lot can be accessed from at least one of these roads, and the layout clearly forms a corner lot conforming to the criteria specified.",
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,40.5336038,-79.8458897,All Washed Up Auto Spa,,Corner,"The car wash 'All Washed Up Auto Spa' is located at the juncture of Freeport Rd and an unnamed connecting road. Observing the satellite images, it is clear that the location is at an intersection of two roads forming a visible corner lot shape. Access is available on both Freeport Rd and the connecting road. Additionally, Freeport Rd is a major road as evidenced by lane markings, its width, and labeled name. This analysis aligns perfectly with the rules defining a Corner Lot, and thus the car wash is classified accordingly.",
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,40.281186,-78.8627293,All Washed Up Auto Spa,,Corner,"The car wash 'All Washed Up Auto Spa' is situated at the intersection of Scalp Ave and Constable Ave, establishing it as a corner lot. It has clear access points on Scalp Ave and is visibly bounded by roads on multiple sides defining a corner scenario. Observational clues such as wide roads and layout suggest it fulfills the Corner Lot criteria.",
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,40.4096318,-79.8993024,All Washed Up Auto Spa,,Corner,"Analyzing the three provided images, the car wash location 'All Washed Up Auto Spa' appears to be situated at the intersection of William Marks Dr and E 8th Ave, with visible access to at least two main roads forming the corner. This qualifies the location as a Corner Lot based on criteria such as road importance and lot accessibility from multiple roads.",
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,39.9105773,-79.7474519,All Washed Up Auto Spa,,Corner,"The car wash 'All Washed Up Auto Spa' is situated adjacent to an intersection where two main roads meet, New Salem Road and another road with visible connectivity and traffic. The corner formation is visible, fulfilling the criteria for being a Corner Lot.",
"Aloha Car Wash Bothell , 17818 Bothell Everett Hwy , Bothell , WA , 98012",47.8359328,-122.2121577,47.8359328,-122.2121577,Aloha Car Wash Company,,Corner,"The car wash 'Aloha Car Wash Company' is located adjacent to two roads that meet at a visible corner. These roads appear to be main roads, judging by their labeling and width. The presence of access points from both roads suggests that this is a Corner Lot.",
"Aloha Car Wash Woodinville , 13001 NE 177th Pl , Woodinville , WA , 98072",47.7553696,-122.1661391,47.7553696,-122.1661391,Aloha Car Wash Company,,Corner,"The provided images show that 'Aloha Car Wash Company' is located at the intersection of two major roads, 131st Ave NE and Little Bear Creek Pkwy. The visible corner is formed by these roads with adequate width and markings, classifying this as a corner lot.",
"Alpine Wash , 250 S Denton Tap Rd , Coppell , TX , 75019",32.9641433,-96.9930085,32.9641433,-96.9930085,Alpine Car Wash,,Corner,"The Alpine Car Wash is located adjacent to the intersection of S Denton Tap Rd and another road that's visible forming an edge at the lot. The satellite images confirm it is placed at this junction, indicating it is indeed a corner lot as defined.",
"Alton Town Center , 5200 Donald Ross Rd , Palm Beach Gardens , FL , 33418",26.8819403,-80.1164588,26.8819403,-80.1164588,,,Inside,"Upon analyzing the images provided, the car wash location appears to be situated mid-block among other properties, without any visible road intersection adjacent to the lot. The location is primarily surrounded by parking areas and other establishments, and access to the lot comes from within a larger complex rather than directly from a main road or an intersection. Furthermore, there are no features indicating the lot is at a corner where two major roads intersect.",
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,40.7441566,-96.7249173,Soapatopia Car Wash,,Corner,The images show the Soapatopia Car Wash located adjacent to an intersection where W Amaranth Ln and W Denton Rd meet. There are clear visible corner features with access from two main roads surrounding the property. This matches the criteria for a Corner Lot as it is situated at a road intersection and accessible from the roads.,
"American Pride Garner , 1421 US-70 , Garner , NC , 27529",35.722175,-78.64549,35.722175,-78.64549,American Pride Xpress Car Wash,,Corner,"The location of 'American Pride Xpress Car Wash' appears to satisfy the criteria for being a corner lot. It is situated at the intersection of two major roads, clearly visible in the images, with Highway 70 E running parallel to the car wash lot and another major road junction present. The car wash has road access from multiple sides, incorporating features characteristic of a corner lot setup. The roads are wide and prominent, affirming their major status. Therefore, the lot should indeed be considered a corner lot.",
"American Pride Newbern , 3810 New Bern Ave , Raleigh , NC , 27610",35.79766,-78.5752657,35.79766,-78.5752657,American Pride Car Wash,,Corner,"The car wash is located adjacent to New Bern Ave and an access point leading off Beacon Lake Drive. Clearly, it forms a corner as it is visible from both sides where New Bern Ave intersects with another connecting route near the property's boundary. The wider roads and the lot's design confirm it as a corner lot.",
"American Pride Six Forks , 8909 Six Forks Rd , Raleigh , NC , 27615",35.9021523,-78.6532466,35.9021523,-78.6532466,American Pride Xpress Carwash,,Corner,"The American Pride Xpress Carwash is located at the intersection of Baileywick Rd and Six Forks Rd, which are clearly main roads. The lot is positioned at a corner as indicated by the adjacent roads forming an intersection. The car wash facility has access at least from Six Forks Rd, visibly through marked driveways. These features confirm the lot as a Corner Lot.",
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,35.5195152,-78.3146416,American Pride Xpress Car Wash,,Corner,"The 'American Pride Xpress Car Wash' location is situated at the intersection of two noticeable roads—one being major and visible with lane markings and the other a connecting road. Based on the images provided, there are two streets directly adjacent to the lot, forming a clear corner. The lot has accessibility points from both streets, signifying its classification as a Corner Lot.",
"Anna's Car Wash , 2332 Legacy Circle , Elizabeth , CO , 80107",39.3604653,-104.6205128,39.3604844,-104.6204657,Anna's Car and Dog Wash,,Inside,"The satellite images of Anna's Car and Dog Wash show the location being situated mid-block, with access from a single main road and surrounded by other properties to its sides. It is not situated at an intersection of two roads, nor does it form an evident corner with multiple road access points. Thus, based on the criteria, this site is classified as an Inside Lot.",
"Apple W&L , 22355 Bellaire Blvd , Richmond , TX , 77407",29.6913423,-95.7670162,29.6913972,-95.7668121,Apple Car Wash & Lube Center,,Corner,"The car wash 'Apple Car Wash & Lube Center' is located at the intersection of Bellaire Blvd and Parkway Lake Ct, establishing it as a corner lot. It clearly has accessibility from both roads, and the roads are visibly wide and marked as major streets.",
"Aqua Blue , 85 Peachtree Industrial Blvd , Sugar Hill , GA , 30518",34.0762511,-84.0602463,34.0762009,-84.0603566,Aqua Blue Car Wash,,Inside,"Based on the provided images, the 'Aqua Blue Car Wash' is located mid-block alongside Peachtree Industrial Blvd. It doesn't appear to be positioned at a road intersection or meet another main road adjacent to the lot. It has access only from Peachtree Industrial Blvd, with no visible corner formed by two intersecting roads. The images show the car wash surrounded by other properties without forming a corner lot configuration.",
"Aqua Blue Duluth , 1097 Duluth Hwy , Lawrenceville , GA , 30043",33.9686995,-84.0368456,33.9686995,-84.0368456,Aqua Blue Car Wash,,Corner,"The 'Aqua Blue Car Wash' is situated at the intersection of two major roads, as evidenced by the crossing of Highway 120 and Riverside Parkway near its location. Its lot appears adjacent to these two roads and can be accessed from both. The satellite images clearly show a corner lot configuration with visible road access and intersection proximity along with significant lane markings present on both roads.",
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,34.1971313,-84.7921299,Aqua Breeze Car Wash,,Corner,"The satellite images show that the Aqua Breeze Car Wash is located near the intersection of E Felton Rd and Felton Pl, which are the two main roads that meet near the property and form a visible corner. This is evident from the visibility of both roads adjacent to the property. Additionally, the car wash has clear access from E Felton Rd, further reinforcing it as a Corner Lot.",
"Aqua Bubble Car Wash , 5860 Bethelview Rd , Cumming , GA , 30040",34.1666588,-84.177562,34.1666588,-84.177562,Aqua Bubble Car Wash,,Corner,"The Aqua Bubble Car Wash is located at the intersection of Bethelview Rd and Parkway N Dr, where two major roads meet. Its lot is adjacent to both roads, forming a visible corner with access points directly connected to them. The satellite images show lane markings and the configuration of the lot satisfies the 'Corner Lot' criteria.",
"Arco Wash , 4433 Lancaster Dr NE , Salem , OR , 97305",44.9834269,-122.9838017,44.9836135,-122.9840862,Splash wash,,Corner,"The satellite images provided show the Splash Car Wash located on a lot adjacent to the intersection of Lancaster Dr NE and Ward Dr NE. Both roads are major roads as evidenced by their width, lane markings, and traffic features. The car wash lot is accessible from both roads forming a visible corner. This adheres to the criteria established for Corner Lot classification.",
"Atlantic Blvd , 8714 Atlantic Blvd , Jacksonville , FL , 32211",30.3135949,-81.565618,30.3136024,-81.5656197,LUV Car Wash,,Corner,"From the images, 'LUV Car Wash' appears to be situated adjacent to Atlantic Blvd, which is a main road. The lot is positioned near the intersection of Atlantic Blvd and another access driveway or road leading to surrounding properties, forming a corner-like setting. This alignment with a major road and the placement near an intersection with observable lot access qualifies it under the definition of a Corner Lot.",
"Atlantic Express , 7700 Atlantic Ave , Cudahy , CA , 90201",33.9654069,-118.1865354,33.9653476,-118.186444,Atlantic Express Car Wash,,Corner,"The Atlantic Express Car Wash is located at the intersection of two major roads: Atlantic Ave and Clara St. Both roads are visible in the satellite images and meet at a corner, indicating the presence of a corner lot. Furthermore, the car wash lot is accessible from both these roads and is positioned prominently at this intersection, meeting the criteria for a corner lot.",
"Auto Paradise Car Wash , 1402 E Vine St , Kissimmee , FL , 34744",28.30373,-81.388079,28.30373,-81.388079,Auto Paradise Car Wash,,Inside,"The car wash named 'Auto Paradise Car Wash' is located in the middle of a lot that has access from one major road (US 192). There is no visible road intersection immediately adjacent to the lot. Hence, the location qualifies as an Inside Lot as per the provided criteria.",
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,40.3402231,-76.4568065,AutoSuds West Car Wash,,Corner,"The provided satellite images show that AutoSuds West Car Wash is situated at the intersection of two major roads, N 25th St and 422 (Franklin Hwy). This matches the criteria for a Corner Lot as the property is adjacent to the corner formed by these roads and has access points to the streets. The roads visible exhibit features such as lane markings and wide paths, further solidifying their identification as major roads.",
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",36.3328772,-78.4411117,36.3328772,-78.4411117,"AutoBrite Car Washes, Inc.",,Corner,"AutoBrite Car Washes is located at the intersection of two roads, N Cooper Dr and another road near an off-ramp, confirming its corner location. The images show that the car wash is accessible from roads on two adjacent sides, and it meets at least one side at an intersection of wide roads. This setup matches the criteria for a Corner Lot as per the definition provided.",
"Autobahn Auto Care Center , 3928 W Clearwater Ave , Kennewick , WA , 99336",46.21267,-119.1737336,46.21267,-119.1737336,Autobahn Auto Care Center,,Corner,"The Autobahn Auto Care Center is located at the intersection of two major roads: W Clearwater Ave and N Quillan St. These roads have visible lane markings and considerable width, indicating they are main roads. Additionally, the lot clearly has access on both W Clearwater Ave and N Quillan St, supporting the classification as a Corner Lot.",
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",38.7887778,-94.9270292,38.7887778,-94.9270292,Autosoak Car Wash,,Corner,"The Autosoak Car Wash is located at the corner formed by South Gardner Road and Vivian Street. The satellite images show the car wash positioned to access directly these two roads, which are notable roads marked with labels and showing visible intersections and lane markings. This meets the criteria to classify it as a Corner Lot.",
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",32.549643,-84.9331716,32.549963,-84.9328761,Autosport Wash,,Corner,"The car wash, Autosport Wash, is visibly situated at the intersection of two major roads as evident from the lane markings and crosswalk patterns in the provided satellite images. The lot has road access along two sides, confirming its corner lot classification.",
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",28.257958,-81.485298,28.2583112,-81.4856547,Waters Car Wash,,Corner,"Waters Car Wash is situated at the intersection of S Poinciana Blvd and Old Tampa Hwy, indicating it is located on a corner lot according to the definition. The images show the location adjacent to these two main roads, clearly visible as a corner lot with road access on multiple sides.",
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",36.8263159,-108.0119144,36.826274,-108.012072,Champion Xpress Carwash,,Corner,"The 'Champion Xpress Carwash' location is situated adjacent to the intersection of two major roads, West Aztec Blvd and Simonds Rd, as visible in the provided images. Clear road markers, the visible road labels, and the accessibility on two sides of the lot classify this as a corner lot.",
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",31.8038311,-94.1867481,31.8038127,-94.1867576,Express Car Wash,,Corner,"The satellite images show that the 'Express Car Wash' is located where Tenaha Street and Childs Street intersect, forming a visible corner. The lot has at least two roads adjacent to it, satisfying the corner lot criteria. Tenaha Street is a major road evidenced by its markings and the connection with Childs Street, further substantiating the roads' importance.",
"BBCW , 6603 Jog Rd , Boca Raton , FL , 33496",26.4084521,-80.1469143,26.4085025,-80.1468811,Cool Clean Car Wash,,Corner,"The provided images show that the Cool Clean Car Wash is situated at the intersection between two major roads, Clint Moore Rd and S Jog Rd. The roads meet visibly to form a corner, and the car wash has direct access to Clint Moore Rd. These visual evidences classify the car wash as being on a Corner Lot based on the outlined criteria.",
"BDP's Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",32.6101385,-114.6549997,32.6101385,-114.6549997,B.D.P 's Kwapa Kar Wash,,Corner,"The car wash is situated adjacent to two roads that visibly intersect, forming a corner. This satisfies the criteria for being a Corner Lot: access is provided from multiple sides, and the location clearly appears to be at a junction of major roads based on the visual satellite data.",
"BELMONT CAR WASH , 5594 E Belmont Ave , Fresno , CA , 93727",36.7500846,-119.7007336,36.7500846,-119.7007336,Belmont Car Wash & Marketplace,,Corner,"Based on the provided satellite images, Belmont Car Wash & Marketplace is located adjacent to the intersection of two major roads: Belmont Avenue and North Clovis Avenue. The lot has access directly from both roads, which are visibly significant due to their width and lane markings. This satisfies the criteria for a 'Corner Lot' classification.",
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",42.55114,-71.7638088,42.55114,-71.7638088,Big Steve's $5 Car Wash,,Inside,"The car wash 'Big Steve's $5 Car Wash' is situated along North Main Street but not at an intersection or corner with another major road. The adjacent area does not show a road meeting or forming a corner, and the property is positioned between other objects or lots along North Main Street.",
"BUCKEYE CAR WASH , 4521 KENNY RD , COLUMBUS , OH , 43220",40.0523949,-83.0503492,40.0523949,-83.0503492,Buckeye Car Wash,,Inside,"The Buckeye Car Wash is situated between other properties along W Henderson Rd, and while Kenny Rd intersects nearby, the car wash itself is not directly at the intersection or forming a visible corner with access from multiple roads. It is accessed exclusively from one main road and does not meet the criteria for a corner lot.",
"Balboa , 7959 Balboa Ave , San Diego , CA , 92111",32.8214387,-117.1518383,32.8214378,-117.1518768,LUV Car Wash,,Inside,"The provided images of 'LUV Car Wash' show that the car wash is located mid-block along Balboa Avenue, with no visible intersection adjacent to the lot where two main roads meet. It has access from Balboa Avenue only, and there is no corner formation or intersection evident in the images. Thus, based on the criteria, this location qualifies as an Inside Lot.",
"Bamboo Carwash , 240 Marketplace Blvd , Dawsonville , GA , 30534",34.3494093,-84.050791,34.3494093,-84.050791,BamBoo Car Wash,,Corner,"Based on the satellite images, the 'BamBoo Car Wash' is situated at the corner where Marketplace Blvd and Dawson Mkt Wy intersect. The car wash has direct access to both main roads forming a visible corner, and these roads are notably wide, marked as major roads based on visible lane markings and traffic designs. Thus, this location qualifies as a Corner Lot according to the defined criteria.",
"Baymeadows , 9491 Baymeadows Rd , Jacksonville , FL , 32256",30.2220392,-81.5612917,30.2220447,-81.5613266,LUV Car Wash,,Inside,"Based on the satellite images, the car wash location 'LUV Car Wash' is situated mid-block along Paseo Dr S, between other commercial properties. There is no visible intersection of major roads directly adjacent to the lot. Therefore, it fits the criteria of an Inside Lot.",
"Beach Bum Express , 7602 El Camino Real , Carlsbad , CA , 92009",33.0875427,-117.2684842,33.0875427,-117.2684842,Beach Bum Car Wash,,Inside,"After analyzing the images, the car wash does not appear to be located at a road intersection or corner where two major roads meet; it seems to be situated mid-block along a single major road, El Camino Real. There is no evidence of it being at a corner or intersection with another road meeting the criteria for a Corner Lot.",
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",31.0378299,-97.3912928,31.0378299,-97.3912928,Bella Stone Car Wash,,Corner,"Bella Stone Car Wash is located at the intersection of W Farm to Market 93 and South 31st Street, which are visibly main roads at a wide intersection. The lot has access points directly from these roads and appears positioned at a visible corner with road connections at two adjacent sides. These observations satisfy the criteria for classifying it as a Corner Lot.",
"Benton - Congo Rd , 2620 Congo Rd , Benton , AR , 72019",34.5891943,-92.5698083,34.5891062,-92.5697851,Splash Car Wash & 10-Minute Oil Change,,Corner,"The car wash is located at the intersection of two major roads, Shenandoah Rd and Congo Rd, as visible in the images. Both roads are clearly labeled and show wide lanes, indicating their significance. Furthermore, the lot itself is accessible from these roads and visibly forms a corner structure relative to the intersection. Based on the rules provided, this qualifies as a Corner Lot.",
"Bentonville - S Walton Blvd , 1005 S Walton Blvd , Bentonville , AR , 72712",36.361368,-94.21604,36.361368,-94.21604,Splash Car Wash,,Corner,"The provided images show the Splash Car Wash located near the intersection of SW Cerics Ln and SW Walton Blvd. The car wash has visible road access on multiple sides and is situated at the corner where these roads meet, confirming it is a Corner Lot based on the presence of an intersection and road accessibility criteria.",
"Bentonville - SW Regional Airport Rd , 1907 SW Regional Airport Blvd , Bentonville , AR , 72712",36.3357334,-94.2349041,36.3355424,-94.2351736,Splash Car Wash,,Corner,"The Splash Car Wash is located at the intersection of SW Bright Rd and SW Regional Dr/12, making it a corner lot. The adjacent roads are both main roads, as evident from the road labels and markings. The lot has accessibility from these roads, confirming the corner classification.",
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",32.0285169,-81.2226747,32.0285415,-81.222659,LUV Car Wash,,Corner,"The 'LUV Car Wash' appears to be located at the intersection of two main roads, with one major road (labelled as '25') on one side and another road (possibly less major but still significant) crossing near its location as visible in the images at multiple zoom levels. The layout and connectivity strongly suggest it is a corner lot. There is a visible corner formed where the roads meet, and the layout provides accessibility from the road boundaries.",
"Big Dan's Bradenton 14th St , 6310 14th St W , Bradenton , FL , 34207",27.4289973,-82.5762552,27.4289973,-82.5762552,,,Corner,"The car wash is located at the intersection of 63rd Ave W and Pine St N, as evident from the images provided. The lot is accessible from these two roads, which form a corner. Moreover, the presence of additional main road indicators such as adjacent commercial buildings and relatively wide roads with visible markings confirms its classification as a Corner Lot as per the criteria.",
"Big Dan's Bradenton 301 , 118 301 Blvd W , Bradenton , FL , 34205",27.4668065,-82.5638053,27.466798,-82.5638004,Big Dan's Car Wash,,Corner,Big Dan's Car Wash is located at the intersection of 301 Blvd West and S Tamiami Trail. These are both major roads, hence the car wash is situated on a Corner Lot according to the criteria.
"Big Dan's Columbia , 1027 Elmwood Ave , Columbia , SC , 29201",34.0130109,-81.0412645,34.0129735,-81.0413416,Big Dan's Car Wash,,Corner,"The car wash 'Big Dan's Car Wash' is located adjacent to a major road intersection involving Elmwood Ave and another connecting street. The lot has access from at least one main road, and the intersection of these roads forms a corner adjacent to the car wash. It is evident from the broader view (zoom level 18 image) and confirmed by the finer details in higher zoom levels that the lot meets the criteria for a Corner Lot.",
