full_site_address,new_latitude,new_longitude,carwash_name_in_image,manual_classification,4o_accuracy,4o_classification,04-mini_accuracy,o4-mini_classification,4o_justification,o4-mini_justification
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,All Washed Up Auto Spa,Corner,1,Corner,1,Corner,"The car wash is located at the intersection of two significant roads, Weavertown Road and Morganza Road. The lot is visibly adjacent to this intersection with prominent roads bordering at least two sides. Additionally, the presence of road markings, multiple lanes, and nearby commercial establishments confirm the roads' importance, supporting the classification as a Corner Lot.","All three zoom levels show the car wash lot sitting at the junction of two major roads (Morganza Road and Weavertown Road). At the broadest view (zoom 17) you can clearly see a multi-lane arterial (Morganza Rd) intersecting another wide, signed road (Weavertown Rd) immediately adjacent to the red-circled property. The mid-level zoom (18) shows curb cuts and driveways entering directly onto both roads, and multiple turn lanes and crosswalk markings at the intersection. The tightest zoom (19) confirms the lot faces both main streets at the corner of the ‘V’ they form — it is not mid-block nor simply bound by service drives. These features satisfy the Corner Lot criteria."
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.120558,-78.758646,All Washed Up Auto Spa,Inside,1,Inside,1,Inside,"The car wash facility marked in the images is situated adjacent to a single major roadway, Beaver Meadow Trail, and does not meet the criteria for a Corner Lot as it lacks proximity to intersections of two main roads. The neighboring areas are primarily parking lots and buildings, and the location is not situated at the corner of intersecting wide roads. Thus, it is classified as an Inside Lot.","The car wash sits along a single four-lane arterial and does not border a second major road at the red-circled lot. On one side it faces a high-capacity street (with multiple lanes and turn arrows), but the opposite edge abuts Beaver Meadow Trail, which is a narrow park/service path rather than a true public roadway of comparable importance. There is no intersection of two wide, signed roads directly adjacent to the lot. Thus, it is an inside lot—mid-block along one main road without forming a corner of two major thoroughfares."
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,All Washed Up Auto Spa,Inside,1,Inside,1,Inside,"The car wash is located along Freeport Road and adjacent to a larger nearby structure without being directly on the intersection where major roads meet. Furthermore, no other major roads intersect at the edges of the lot marked in red circle, classifying it as an Inside Lot.","The car wash sits mid-block along Freeport Road with only one true major‐road frontage. The lane to the north/west is a private service/exit ramp for the adjacent freeway, not a second arterial street. There is no intersection of two wide public roads at the circled lot, so it meets the definition of an inside lot."
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,All Washed Up Auto Spa,Inside,,Corner,1,Inside,"The car wash is located on a corner where Scalp Avenue intersects Mayluth Road, as observed in the imagery. These roads appear to be major thoroughfares due to their width and surrounding commercial properties, confirming its classification as a Corner Lot.","Across all zoom levels, the car wash sits mid‐block on Scalp Avenue and only abuts one major road. The only other streets touching the red-circled parcel – Chrysler Avenue to the north and Constable Avenue to the south – are narrow residential streets, not major thoroughfares. There is no intersection of two wide, high-volume roads immediately adjacent to the lot, so it does not occupy a corner of two main roads. Thus it is an inside lot."
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,All Washed Up Auto Spa,Inside,,Corner,1,Inside,"The car wash is located at the intersection of E 8th Ave and Martha Street, which are clearly visible in the images. These are wide roads with lane markings and named road signs, confirming that the lot is situated at the corner where two major roads meet. Thus, the lot is classified as a Corner Lot due to its position and its access to two main roads.","At all zoom levels the lot fronts only one clear major road (E 8th Avenue) and backs onto a narrow service drive (William Marks Drive) alongside the railroad. There is no intersection of two wide, heavily marked public roads at the red-circled site. The side streets (Martha Street/William Marks Drive) are minor or private access ways. Thus the car wash does not occupy a corner of two major roads and should be classified as an Inside Lot."
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,All Washed Up Auto Spa,Inside,,Corner,1,Inside,"Upon analysis of the provided satellite images, the red-circled lot is located at the intersection of New Salem Road and a clearly marked main road. Evidence from Zoom level 17 shows nearby traffic infrastructure consistent with major roads (e.g., Sheetz convenience store and other adjacent establishments). Moreover, Zoom level 18 and 19 images highlight the clear adjacency of the lot to the corner created by these intersecting roads. Therefore, this location qualifies as a Corner Lot based on its placement and proximity to intersecting major roads.","The red-circled parcel sits mid-block along New Salem Road (T-926) and does not directly occupy an intersection of two major highways. While U.S.-40 runs a short distance to the north, the lot itself only fronts New Salem Road. Its opposite boundary is Mall Run Road, a private/service drive rather than a second main thoroughfare. Because only one wide public road borders the site and it is not located at a true crossroad of two major streets, this qualifies as an Inside Lot."
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7441566,-96.7249173,Soapatopia Car Wash,Corner,1,Corner,,Inside,The car wash location marked within the red circle is adjacent to the intersection of two major roads: W Amaranth Ln and W Denton Rd. The images reveal this intersection involving multiple lanes and clearly defined roadways with visible traffic markings. These characteristics classify the lot as a Corner Lot under the provided definitions.,"At all three zoom levels the car wash sits mid-block along W Denton Rd rather than at the junction of two major public roads. The lot’s only street frontage is on the four-lane W Denton Rd; the access on its north and west sides is onto the site’s private/service drives (W Amaranth Ln loop and the convenience-shop driveway), not another primary highway or arterial. There is no visible intersection of two major roads abutting the red-circled parcel, so it is an Inside Lot."
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,American Pride Xpress Car Wash,Corner,1,Corner,1,Corner,"The car wash (American Pride Xpress Car Wash) is located at the intersection of two major roads: Booker Dairy Road and N Brightleaf Boulevard (US-301). The presence of wide roads with traffic features like lanes, businesses, and access points adjacent to the red-circled lot confirms that it sits at a noticeable corner position, qualifying it as a Corner Lot according to the criteria.","The car wash sits directly at the signalized junction of two major thoroughfares (US-301/N Brightleaf Blvd running east–west and Booker Dairy Road running north–south). In all three zoom levels you can clearly see multiple travel lanes, turn arrows, and marked crossings on both streets immediately adjacent to the red-circled lot. The building fronts onto both wide roads rather than mid-block, satisfying the Corner Lot criteria."
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,Aqua Breeze Car Wash,Inside,,Corner,1,Inside,"The provided images reveal that the car wash is positioned adjacent to an intersection of two major roads, E Felton Rd and Highway 41. This intersection is prominent due to its clear markings, road signage, and substantial traffic lanes visible in the satellite images. The red-circled lot directly interfaces with both roads, meeting the criteria for a corner lot.","Although the car wash sits adjacent to a highway ramp, it only fronts one true major road (E Felton Rd). On the other side it borders a private drive/ramp and a minor side street (Felton Pl), not a second major thoroughfare. There is no two-highway or two-main-road intersection directly at the red-circled lot and only a single curb cut onto E Felton Rd. Therefore it does not occupy a corner of two major roads and must be classified as an Inside Lot."
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,AutoSuds West Car Wash,Inside,,Corner,1,Inside,"The red-circled lot is located at the intersection of North 25th Street and a major road, Cumberland Street, which display multiple lanes and significant traffic infrastructure. Two major roads meet adjacent to the red-circled lot, forming a visible corner. This placement satisfies the criteria for classification as a Corner Lot.","The car wash sits mid-block along US-422 (Franklin Highway) with its only other street frontage on N. 25th Street, which is a two-lane local road rather than a second major thoroughfare. No intersection of two high-capacity roads abuts the lot—only one side faces the divided highway and the other borders a minor local street—so it does not meet the criteria for a Corner Lot."
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",36.3328772,-78.4411117,"AutoBrite Car Washes, Inc.",Inside,,Corner,1,Inside,"The car wash location is a Corner Lot. It is situated at the intersection of N Cooper Dr and another road that accesses the adjacent properties. This qualifies the location as adjacent to two roads. Additionally, the lot directly faces a major highway (I-85), further supporting its designation as a corner lot based on its adjacency to important roadways.","The car wash parcel only fronts a single main road (N Cooper Drive) and does not directly abut a second major street or highway intersection. Although Interstate 85 runs just to the east, it is separated by a wooded embankment and there is no direct curb cut or corner intersection. The lot sits mid-block along N Cooper Drive between a shopping center entrance and the highway, with access from one road only, making it an inside lot rather than a corner lot."
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",38.7887778,-94.9270292,Autosoak Car Wash,Inside,,Corner,1,Inside,"Upon examining the images, the car wash is located directly adjacent to the intersection of S Gardner Rd and W 187th Terrace, which are clearly marked as principal roads with multiple lanes and significant traffic infrastructure. This intersection qualifies the lot as a Corner Lot as per the criteria, given the accessibility and visibility from both these main roads.","The red-circled car wash fronts only one major road (S Gardner Rd). Although W 187th Terrace runs along its southern edge, that is a two-lane collector, and the eastern boundary is a local residential street (Vivian St) serving fast-food and housing. There is no intersection of two wide, high-capacity roads directly abutting the lot. Therefore it sits mid-block along Gardner rather than on the corner of two main roads, making it an Inside Lot."
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",32.549963,-84.9328761,Autosport Wash,Inside,,Corner,1,Inside,"The red-circled lot is directly adjacent to the intersection of two major roads, clearly marked with lane arrows, crosswalks, and multiple lanes. These features thoroughly establish the location as a Corner Lot, since it satisfies the criterion of being located at the intersection of significant roadways.","All three zoom levels show the wash sitting mid-block along Whittlesey Boulevard, with only a private driveway or parking aisles on its other side. There is no intersecting major street directly on its corner – the nearest cross-street and the highway off-ramp lie further down the block. Because the lot only fronts one wide, multi-lane road and is not at the junction of two main thoroughfares, it meets the definition of an Inside Lot."
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",28.2583112,-81.4856547,Waters Car Wash,Corner,1,Corner,1,Corner,"The car wash is located adjacent to the intersection of South Poinciana Boulevard and Old Tampa Highway, two clearly identified major roads. The setup forms a distinct corner lot with access from both main roads, fulfilling the criteria for a Corner Lot classification.","The red-circled car wash sits at the northeast corner of the intersection of two major multi-lane thoroughfares: S Poinciana Blvd (north–south) and Old Tampa Hwy (east–west). Both roads exhibit highway-style markings (multiple travel lanes, dedicated turn lanes with arrows, crosswalks) and clearly meet at a full signalized intersection immediately adjacent to the lot. The lot has direct frontage and drive-in access on both of these primary routes, satisfying the definition of a Corner Lot."
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",36.826274,-108.012072,Champion Xpress Carwash,Inside,,Corner,1,Inside,"The red-circled lot is positioned adjacent to the intersection of W Aztec Blvd and Simonds Rd. W Aztec Blvd is a major roadway with multiple lanes visible, reinforcing its status as a significant road. Simonds Rd intersects W Aztec Blvd near the lot, forming a corner configuration. This satisfies the criteria for the lot to be classified as a Corner Lot.","The red-circled car wash sits mid-block on the south side of W Aztec Blvd between two side streets (Frederick Ave to the west and Simonds Rd to the east) and only directly fronts one major road (W Aztec Blvd). It is not located at the corner intersection of two wide roads, but rather between them, so it meets the criteria for an Inside Lot."
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",31.8038127,-94.1867576,Express Car Wash,Inside,,Corner,1,Inside,"The car wash is located at the intersection of two notable roads, Tenaha St and Childs St, both of which appear to be primary roads with distinct roadway markings and adjacent commercial establishments. This intersection formation and its adjacency to both roads confirm the corner lot classification.","At all zoom levels the car wash sits mid-block on the east side of State Highway 87 (Tenaha St) and only fronts that one major road. The nearby east–west streets (Childs St to the north and local lanes to the south) are minor roads and do not form a two-major-road intersection at the lot. Because it does not occupy a corner of two primary thoroughfares, it is classified as an Inside Lot."
"BDP's Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",32.6101385,-114.6549997,B.D.P 's Kwapa Kar Wash,Inside,1,Inside,1,Inside,"The car wash is located adjacent to W County 15th Street, but there is no second major road forming a corner nearby. The car wash is situated in a commercial area surrounded by other facilities, and it does not meet the criteria of being at an intersection of two major roads.","The red-circled car wash only fronts W County 15th Street, with its other sides abutting a private truck-scale/gas station lot and internal driveways—not a second major public roadway. There is no intersection of two wide, labeled roads directly adjacent to the car wash; the access on the east side is a private driveway connecting into adjoining lots, not a public street. Therefore, the car wash lies mid-block along a single main road, making it an Inside Lot."
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",42.55114,-71.7638088,Big Steve's $5 Car Wash,Inside,1,Inside,1,Inside,"The provided images clearly show the car wash located along N Main St, with no intersections of two major roads adjacent to the lot. The lot is surrounded by properties on both sides along the same main road, hence it qualifies as an Inside Lot based on the criteria provided.","The car wash sits mid-block on the east side of N Main St (Route 12) with no intersecting major roadway directly adjacent to the red-circled lot. Higher zoom levels show that the only other bordering corridor is the Twin Cities Rail Trail (a bike/pedestrian path), and the nearest street intersections (Baxter St to the south and Moore/Monarch St to the north) are one or more parcels away. There are no two wide, officially named roads meeting at the site’s corner, so it does not fulfill the Corner Lot criteria and is therefore classified as an Inside Lot."
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",31.0378299,-97.3912928,Bella Stone Car Wash,Corner,1,Corner,1,Corner,"The car wash is situated at the intersection of South 31st Street and West Farm to Market 93, both of which are major roads according to the visible lane markings and their width. The lot's placement provides clear access to both adjoining roads and identifies it as a corner lot by the given criteria.","The car wash sits directly at the intersection of two major roads – W Farm to Market 93 (a multi-lane state highway) and S 31st St (a wide, multi-lane arterial). The red-circled parcel has street frontage and curb cuts on both of these main thoroughfares, and you can clearly see turn lanes and intersection markings where they meet. This meets the definition of a Corner Lot because two wide, important roads converge at the property’s boundary."
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",32.0285415,-81.222659,LUV Car Wash,Inside,,Corner,1,Inside,"The red-circled car wash location is situated directly at the intersection of two major roads as visible in the images, specifically zoomed out views revealing road markings and traffic features indicating their importance. The location has direct access to these routes on more than one side, establishing its positioning as a corner lot.","The car wash property only directly borders one major roadway (the multi‐lane US-17). Its opposite side abuts an internal service drive serving several businesses rather than a second main road. Although Cottonvale Road lies to the north, the lot is set back and connected by a private access drive, not a direct frontage. Because there is no intersection of two major roads at the red-circled lot, it does not meet the Corner Lot criteria and is therefore an Inside Lot."
"Big Dan's Crystal River , 517 NE 5th St , Crystal River , FL , 34429",28.8986687,-82.5859507,Big Dan's Car Wash,Corner,1,Corner,,Inside,"The provided satellite images clearly show the red-circled car wash lot located adjacent to a major intersection where NE 5th Street meets another significant road. The lot is bordered by two main roads that are visibly wide and marked with lane directions and turn lanes, confirming the importance of these thoroughfares. Therefore, this configuration meets the criteria for a Corner Lot.","At all zoom levels the car wash sits mid-block along the north side of NE 5th Street, with no second major road directly abutting the lot. Although the multi-lane US-98/Three Sisters Springs Trail interchange lies a short distance to the west, the red-circled lot itself is east of the ramps and only fronts NE 5th St. on one side. The other lot boundaries are private service drives and parking areas shared with the adjacent Wawa and fast-food pads, not true public arteries. There is no intersection of two major roads immediately adjacent to the car wash, so it meets the criteria for an Inside Lot."
"Big Dan's Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",33.5396551,-84.577599,Big Dan's Car Wash,Inside,,Corner,1,Inside,"The red-circled lot is positioned adjacent to an intersection formed by two major roads, Senoia Rd and Harris Rd, which display multiple lanes and traffic management features such as turn arrows. The lot is visibly a corner with one side directly accessible from the intersection.","Although the car wash sits alongside Senoia Road (a four-lane arterial), the only other street directly abutting the red-circled lot is Peachtree Landing Circle, which functions as a narrow, two-lane service road into the shopping center rather than a second major thoroughfare. The lot does not occupy the corner of two wide, high-traffic roads; instead it lies mid-block along Senoia Road with only one true arterial frontage. This meets the criteria for an Inside Lot."
"Big Dan's Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",33.9017261,-84.7769062,Big Dan's Car Wash,Inside,,Corner,,Corner,"The red-circled car wash lot is located at the intersection of two major roads: US Hwy 278 and the adjacent road connecting to other commercial establishments. These roads are wide with clear markings, and the intersection forms a distinct corner, meeting the criteria for a 'Corner Lot.' Several sides of the lot face these roads, verifying its corner location.","The car wash parcel directly adjoins the signalized intersection of two major multi‐lane thoroughfares (US Hwy 278 running east–west and Bill Carruth Parkway running north–south). At least two wide roads meet adjacent to the lot, with dedicated turn lanes and a cloverleaf‐style on/off ramp visible in all zoom levels. Because the red-circled property fronts on both of these primary roads at their corner junction, it clearly qualifies as a Corner Lot."
"Big Dan's Lady Lake , 135 US-441 , Lady Lake , FL , 32159",28.9187894,-81.9229058,Big Dan's Car Wash,Inside,,Corner,,Corner,"The car wash is situated at the intersection of W Guava St and US Hwy 441, both of which are major roads featuring multiple lanes and defined lane markings. This establishes the lot as being on a corner with significant road-facing boundaries.","The red-circled car wash site has direct frontage on two clearly defined, high-capacity public roads – the four-lane divided US Hwy 441 on its west side and W Guava St on its north side – and sits immediately at their intersection. Both roadways display multi-lane markings, turn lanes and route shields, and the lot has curb cuts opening onto each. Because two major roads meet adjacent to the property, it meets the criteria for a Corner Lot."
"Big Dan's Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",34.5655579,-83.297926,Big Dan's Car Wash,Inside,,Corner,1,Inside,"The red-circled lot is at the intersection of Terrell Drive and Highway 17A, which are both significant roads observable through the presence of marked lanes and commercial activity around the lot. This placement satisfies the criteria for a corner lot.","At all zoom levels the car wash sits mid-block along US 17A with no intersection of two major roads directly adjacent. In the 17 level view the nearest cross-road (Terrell/’Rose’ Lane) is one property to the west and is only a narrow two-lane service street with no turn lanes or highway markings. In the 18 and 19 views the red-circled lot is flanked by other businesses (fuel station and furniture store) along a single main corridor, with only one side facing the highway and no cornered junction of two primary roads. This fits the definition of an Inside Lot."
"Big Dan's Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",34.1198494,-84.5205176,Big Dan's Car Wash,Inside,,Corner,1,Inside,"The car wash is situated at the intersection of Ridgewalk Parkway and another major road, Bethany Creek, with both roads exhibiting wide lanes and clear infrastructural indicators of being major roads. The red-circled lot is adjacent to the visible corner formed by these roads, fulfilling the criteria for a Corner Lot based on proximity to intersection and adjacency to main roads.","The car wash sits mid-block along Ridgewalk Parkway and does not front an intersection of two major roads. On its north side is Ridgewalk Pkwy (a main road), but the other sides abut an internal service drive and neighboring commercial lots rather than a second major street. There is no visible corner formed by two wide, labeled roads adjacent to the red-circled site, so it meets the criteria for an Inside Lot."
"Big Dan's Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",34.086503,-84.466657,Big Dan's Car Wash,Corner,1,Corner,1,Corner,"The red-circled car wash lot is located at the intersection of Claremore Drive and Highway 92, a major roadway. The location directly fronts both these roads on two sides, forming a visible corner. These roads are major and accommodate significant traffic, satisfying the criteria for a Corner Lot.","The circled car wash sits directly at the signalized junction of SR-92 (a multi-lane state highway with median turn lanes and highway shields) and Claremore Drive (a wide, through arterial). Two major roads meet adjacent to the lot, and the site has curb cuts and frontage on both. These characteristics—multiple lanes, turn lanes, crosswalks, highway designation, and dual frontages—confirm it is a Corner Lot."
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",37.299364,-83.2012171,Big Kahuna Car Wash,Inside,,Corner,1,Inside,"The car wash is located at the intersection of Commodore St and a service road parallel to the highway, which can be considered an important junction due to the proximity to major traffic routes. Two main roads are adjacent to the lot, satisfying the criteria for a corner lot.","At all zoom levels the Big Kahuna car wash only fronts Commodore Street – a two-lane local access road – and is not located at the junction of two primary thoroughfares. The nearby four-lane Highway 80 runs parallel above the site with no direct curb cut or ramp intersection at the car wash. There is no second ‘main’ road intersecting the lot; it is situated mid-block between other commercial parcels along a single street, meeting the definition of an Inside Lot."
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",33.0404585,-83.9400952,Big Peach Car Wash - Forsyth,Inside,1,Inside,1,Inside,"Upon analyzing the provided satellite images across different zoom levels, the car wash marked within the red circle does not appear to be situated at the intersection of two major roads. It is instead located adjacent to a single road, surrounded by other properties as part of a shopping complex and does not exhibit characteristics of a corner lot. The adjacent major road (Route 42) does not directly form a corner intersection with any other major road near the property's boundaries.","At all zoom levels the red-circled car wash fronts only one major roadway (GA-42). Its western boundary abuts the private parking/service drive of the adjacent strip center rather than a second public arterial, and there is no intersection of two wide roads directly at the lot. Driveway cuts and curb access exist only on GA-42. Therefore this site sits mid-block along a single main road and qualifies as an Inside Lot."
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",33.2947224,-83.9602247,Big Peach Car Wash,Inside,,Corner,1,Inside,"The car wash is located at the intersection of E 3rd Street and Park Avenue, which are both recognizable as major roads from width, lane markings, and signage in the images. This corner positioning satisfies the criteria for a Corner Lot as it is directly adjacent to an intersection of two primary streets.","At all zoom levels the Big Peach Car Wash sits mid-block along E 3rd St (a major east–west corridor) but is only bordered otherwise by Park Avenue, a two-lane local street, and a private/service drive for the adjacent hotel. There is no intersection of two wide, heavily marked or highway-designated roads directly at its red-circled lot. Only one side of the lot fronts a major road, so it meets the definition of an Inside Lot rather than a Corner Lot."
"Big Peach Ola , 3479 Hwy 81 , McDonough , GA , 30252",33.4366472,-84.0385491,Big Peach Car Wash,Inside,,Corner,1,Inside,"The red-circled lot is located at the intersection of Highway 81 and another major road clearly visible in the images. These roads are wide, feature lane markings, and demonstrate traffic importance. This places the car wash on a corner lot as it meets the criteria of being at the intersection of two major roads.","The red-circled lot sits mid-block along Hwy 81 with no second major road intersecting immediately at its boundary. The nearest intersection (leading north to Publix and the Shoppes) lies to the west of the lot, while to the east there is only a minor service drive and undeveloped land. Because the car wash fronts only a single main road (Hwy 81) and is not positioned at the junction of two major thoroughfares, it meets the criteria for an Inside Lot."
