full_site_address,Latitude,Longitude,new_latitude,new_longitude,carwash_name_in_image,classification,justification
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,41.120558,-78.758646,All Washed Up Auto Spa,Inside,"The car wash sits along a single four-lane arterial and does not border a second major road at the red-circled lot. On one side it faces a high-capacity street (with multiple lanes and turn arrows), but the opposite edge abuts Beaver Meadow Trail, which is a narrow park/service path rather than a true public roadway of comparable importance. There is no intersection of two wide, signed roads directly adjacent to the lot. Thus, it is an inside lot—mid-block along one main road without forming a corner of two major thoroughfares."
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,40.5336038,-79.8458897,All Washed Up Auto Spa,Inside,"The car wash sits mid-block along Freeport Road with only one true major‐road frontage. The lane to the north/west is a private service/exit ramp for the adjacent freeway, not a second arterial street. There is no intersection of two wide public roads at the circled lot, so it meets the definition of an inside lot."
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,40.281186,-78.8627293,All Washed Up Auto Spa,Inside,"Across all zoom levels, the car wash sits mid‐block on Scalp Avenue and only abuts one major road. The only other streets touching the red-circled parcel – Chrysler Avenue to the north and Constable Avenue to the south – are narrow residential streets, not major thoroughfares. There is no intersection of two wide, high-volume roads immediately adjacent to the lot, so it does not occupy a corner of two main roads. Thus it is an inside lot."
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,40.4096318,-79.8993024,All Washed Up Auto Spa,Inside,"At all zoom levels the lot fronts only one clear major road (E 8th Avenue) and backs onto a narrow service drive (William Marks Drive) alongside the railroad. There is no intersection of two wide, heavily marked public roads at the red-circled site. The side streets (Martha Street/William Marks Drive) are minor or private access ways. Thus the car wash does not occupy a corner of two major roads and should be classified as an Inside Lot."
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,39.9105773,-79.7474519,All Washed Up Auto Spa,Inside,"The red-circled parcel sits mid-block along New Salem Road (T-926) and does not directly occupy an intersection of two major highways. While U.S.-40 runs a short distance to the north, the lot itself only fronts New Salem Road. Its opposite boundary is Mall Run Road, a private/service drive rather than a second main thoroughfare. Because only one wide public road borders the site and it is not located at a true crossroad of two major streets, this qualifies as an Inside Lot."
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,40.7441566,-96.7249173,Soapatopia Car Wash,Inside,"At all three zoom levels the car wash sits mid-block along W Denton Rd rather than at the junction of two major public roads. The lot’s only street frontage is on the four-lane W Denton Rd; the access on its north and west sides is onto the site’s private/service drives (W Amaranth Ln loop and the convenience-shop driveway), not another primary highway or arterial. There is no visible intersection of two major roads abutting the red-circled parcel, so it is an Inside Lot."
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,35.5195152,-78.3146416,American Pride Xpress Car Wash,Corner,"The car wash sits directly at the signalized junction of two major thoroughfares (US-301/N Brightleaf Blvd running east–west and Booker Dairy Road running north–south). In all three zoom levels you can clearly see multiple travel lanes, turn arrows, and marked crossings on both streets immediately adjacent to the red-circled lot. The building fronts onto both wide roads rather than mid-block, satisfying the Corner Lot criteria."
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,34.1971313,-84.7921299,Aqua Breeze Car Wash,Inside,"Although the car wash sits adjacent to a highway ramp, it only fronts one true major road (E Felton Rd). On the other side it borders a private drive/ramp and a minor side street (Felton Pl), not a second major thoroughfare. There is no two-highway or two-main-road intersection directly at the red-circled lot and only a single curb cut onto E Felton Rd. Therefore it does not occupy a corner of two major roads and must be classified as an Inside Lot."
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,40.3402231,-76.4568065,AutoSuds West Car Wash,Inside,"The car wash sits mid-block along US-422 (Franklin Highway) with its only other street frontage on N. 25th Street, which is a two-lane local road rather than a second major thoroughfare. No intersection of two high-capacity roads abuts the lot—only one side faces the divided highway and the other borders a minor local street—so it does not meet the criteria for a Corner Lot."
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",36.3328772,-78.4411117,36.3328772,-78.4411117,"AutoBrite Car Washes, Inc.",Inside,"The car wash parcel only fronts a single main road (N Cooper Drive) and does not directly abut a second major street or highway intersection. Although Interstate 85 runs just to the east, it is separated by a wooded embankment and there is no direct curb cut or corner intersection. The lot sits mid-block along N Cooper Drive between a shopping center entrance and the highway, with access from one road only, making it an inside lot rather than a corner lot."
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",38.7887778,-94.9270292,38.7887778,-94.9270292,Autosoak Car Wash,Inside,"The red-circled car wash fronts only one major road (S Gardner Rd). Although W 187th Terrace runs along its southern edge, that is a two-lane collector, and the eastern boundary is a local residential street (Vivian St) serving fast-food and housing. There is no intersection of two wide, high-capacity roads directly abutting the lot. Therefore it sits mid-block along Gardner rather than on the corner of two main roads, making it an Inside Lot."
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",32.549643,-84.9331716,32.549963,-84.9328761,Autosport Wash,Inside,"All three zoom levels show the wash sitting mid-block along Whittlesey Boulevard, with only a private driveway or parking aisles on its other side. There is no intersecting major street directly on its corner – the nearest cross-street and the highway off-ramp lie further down the block. Because the lot only fronts one wide, multi-lane road and is not at the junction of two main thoroughfares, it meets the definition of an Inside Lot."
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",28.257958,-81.485298,28.2583112,-81.4856547,Waters Car Wash,Corner,"The red-circled car wash sits at the northeast corner of the intersection of two major multi-lane thoroughfares: S Poinciana Blvd (north–south) and Old Tampa Hwy (east–west). Both roads exhibit highway-style markings (multiple travel lanes, dedicated turn lanes with arrows, crosswalks) and clearly meet at a full signalized intersection immediately adjacent to the lot. The lot has direct frontage and drive-in access on both of these primary routes, satisfying the definition of a Corner Lot."
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",36.8263159,-108.0119144,36.826274,-108.012072,Champion Xpress Carwash,Inside,"The red-circled car wash sits mid-block on the south side of W Aztec Blvd between two side streets (Frederick Ave to the west and Simonds Rd to the east) and only directly fronts one major road (W Aztec Blvd). It is not located at the corner intersection of two wide roads, but rather between them, so it meets the criteria for an Inside Lot."
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",31.8038311,-94.1867481,31.8038127,-94.1867576,Express Car Wash,Inside,"At all zoom levels the car wash sits mid-block on the east side of State Highway 87 (Tenaha St) and only fronts that one major road. The nearby east–west streets (Childs St to the north and local lanes to the south) are minor roads and do not form a two-major-road intersection at the lot. Because it does not occupy a corner of two primary thoroughfares, it is classified as an Inside Lot."
"BDP's Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",32.6101385,-114.6549997,32.6101385,-114.6549997,B.D.P 's Kwapa Kar Wash,Inside,"The red-circled car wash only fronts W County 15th Street, with its other sides abutting a private truck-scale/gas station lot and internal driveways—not a second major public roadway. There is no intersection of two wide, labeled roads directly adjacent to the car wash; the access on the east side is a private driveway connecting into adjoining lots, not a public street. Therefore, the car wash lies mid-block along a single main road, making it an Inside Lot."
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",42.55114,-71.7638088,42.55114,-71.7638088,Big Steve's $5 Car Wash,Inside,"The car wash sits mid-block on the east side of N Main St (Route 12) with no intersecting major roadway directly adjacent to the red-circled lot. Higher zoom levels show that the only other bordering corridor is the Twin Cities Rail Trail (a bike/pedestrian path), and the nearest street intersections (Baxter St to the south and Moore/Monarch St to the north) are one or more parcels away. There are no two wide, officially named roads meeting at the site’s corner, so it does not fulfill the Corner Lot criteria and is therefore classified as an Inside Lot."
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",31.0378299,-97.3912928,31.0378299,-97.3912928,Bella Stone Car Wash,Corner,"The car wash sits directly at the intersection of two major roads – W Farm to Market 93 (a multi-lane state highway) and S 31st St (a wide, multi-lane arterial). The red-circled parcel has street frontage and curb cuts on both of these main thoroughfares, and you can clearly see turn lanes and intersection markings where they meet. This meets the definition of a Corner Lot because two wide, important roads converge at the property’s boundary."
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",32.0285169,-81.2226747,32.0285415,-81.222659,LUV Car Wash,Inside,"The car wash property only directly borders one major roadway (the multi‐lane US-17). Its opposite side abuts an internal service drive serving several businesses rather than a second main road. Although Cottonvale Road lies to the north, the lot is set back and connected by a private access drive, not a direct frontage. Because there is no intersection of two major roads at the red-circled lot, it does not meet the Corner Lot criteria and is therefore an Inside Lot."
"Big Dan's Crystal River , 517 NE 5th St , Crystal River , FL , 34429",28.8986604,-82.5859672,28.8986687,-82.5859507,Big Dan's Car Wash,Inside,"At all zoom levels the car wash sits mid-block along the north side of NE 5th Street, with no second major road directly abutting the lot. Although the multi-lane US-98/Three Sisters Springs Trail interchange lies a short distance to the west, the red-circled lot itself is east of the ramps and only fronts NE 5th St. on one side. The other lot boundaries are private service drives and parking areas shared with the adjacent Wawa and fast-food pads, not true public arteries. There is no intersection of two major roads immediately adjacent to the car wash, so it meets the criteria for an Inside Lot."
"Big Dan's Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",33.5396761,-84.5776059,33.5396551,-84.577599,Big Dan's Car Wash,Inside,"Although the car wash sits alongside Senoia Road (a four-lane arterial), the only other street directly abutting the red-circled lot is Peachtree Landing Circle, which functions as a narrow, two-lane service road into the shopping center rather than a second major thoroughfare. The lot does not occupy the corner of two wide, high-traffic roads; instead it lies mid-block along Senoia Road with only one true arterial frontage. This meets the criteria for an Inside Lot."
"Big Dan's Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",33.9019157,-84.77816,33.9017261,-84.7769062,Big Dan's Car Wash,Corner,"The car wash parcel directly adjoins the signalized intersection of two major multi‐lane thoroughfares (US Hwy 278 running east–west and Bill Carruth Parkway running north–south). At least two wide roads meet adjacent to the lot, with dedicated turn lanes and a cloverleaf‐style on/off ramp visible in all zoom levels. Because the red-circled property fronts on both of these primary roads at their corner junction, it clearly qualifies as a Corner Lot."
"Big Dan's Lady Lake , 135 US-441 , Lady Lake , FL , 32159",28.9187793,-81.9229062,28.9187894,-81.9229058,Big Dan's Car Wash,Corner,"The red-circled car wash site has direct frontage on two clearly defined, high-capacity public roads – the four-lane divided US Hwy 441 on its west side and W Guava St on its north side – and sits immediately at their intersection. Both roadways display multi-lane markings, turn lanes and route shields, and the lot has curb cuts opening onto each. Because two major roads meet adjacent to the property, it meets the criteria for a Corner Lot."
"Big Dan's Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",34.5655692,-83.29788,34.5655579,-83.297926,Big Dan's Car Wash,Inside,"At all zoom levels the car wash sits mid-block along US 17A with no intersection of two major roads directly adjacent. In the 17 level view the nearest cross-road (Terrell/’Rose’ Lane) is one property to the west and is only a narrow two-lane service street with no turn lanes or highway markings. In the 18 and 19 views the red-circled lot is flanked by other businesses (fuel station and furniture store) along a single main corridor, with only one side facing the highway and no cornered junction of two primary roads. This fits the definition of an Inside Lot."
"Big Dan's Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",34.1195579,-84.5192049,34.1198494,-84.5205176,Big Dan's Car Wash,Inside,"The car wash sits mid-block along Ridgewalk Parkway and does not front an intersection of two major roads. On its north side is Ridgewalk Pkwy (a main road), but the other sides abut an internal service drive and neighboring commercial lots rather than a second major street. There is no visible corner formed by two wide, labeled roads adjacent to the red-circled site, so it meets the criteria for an Inside Lot."
"Big Dan's Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",34.086258,-84.466738,34.086503,-84.466657,Big Dan's Car Wash,Corner,"The circled car wash sits directly at the signalized junction of SR-92 (a multi-lane state highway with median turn lanes and highway shields) and Claremore Drive (a wide, through arterial). Two major roads meet adjacent to the lot, and the site has curb cuts and frontage on both. These characteristics—multiple lanes, turn lanes, crosswalks, highway designation, and dual frontages—confirm it is a Corner Lot."
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",37.299364,-83.2012171,37.299364,-83.2012171,Big Kahuna Car Wash,Inside,"At all zoom levels the Big Kahuna car wash only fronts Commodore Street – a two-lane local access road – and is not located at the junction of two primary thoroughfares. The nearby four-lane Highway 80 runs parallel above the site with no direct curb cut or ramp intersection at the car wash. There is no second ‘main’ road intersecting the lot; it is situated mid-block between other commercial parcels along a single street, meeting the definition of an Inside Lot."
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",33.0404585,-83.9400952,33.0404585,-83.9400952,Big Peach Car Wash - Forsyth,Inside,"At all zoom levels the red-circled car wash fronts only one major roadway (GA-42). Its western boundary abuts the private parking/service drive of the adjacent strip center rather than a second public arterial, and there is no intersection of two wide roads directly at the lot. Driveway cuts and curb access exist only on GA-42. Therefore this site sits mid-block along a single main road and qualifies as an Inside Lot."
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",33.2947224,-83.9602247,33.2947224,-83.9602247,Big Peach Car Wash,Inside,"At all zoom levels the Big Peach Car Wash sits mid-block along E 3rd St (a major east–west corridor) but is only bordered otherwise by Park Avenue, a two-lane local street, and a private/service drive for the adjacent hotel. There is no intersection of two wide, heavily marked or highway-designated roads directly at its red-circled lot. Only one side of the lot fronts a major road, so it meets the definition of an Inside Lot rather than a Corner Lot."
"Big Peach Ola , 3479 Hwy 81 , McDonough , GA , 30252",33.4366472,-84.0385491,33.4366472,-84.0385491,Big Peach Car Wash,Inside,"The red-circled lot sits mid-block along Hwy 81 with no second major road intersecting immediately at its boundary. The nearest intersection (leading north to Publix and the Shoppes) lies to the west of the lot, while to the east there is only a minor service drive and undeveloped land. Because the car wash fronts only a single main road (Hwy 81) and is not positioned at the junction of two major thoroughfares, it meets the criteria for an Inside Lot."
"Big River Selma , 2409 N Broad St , Selma , AL , 36701",32.4325392,-87.0249312,32.4325392,-87.0249312,Big River Car Wash,Inside,"At all zoom levels the car wash sits mid-block on North Broad Street between Highland Avenue to the south and Dawson Avenue to the north. It only fronts one major roadway (Broad Street) and does not occupy the corner of Broad with Highland, Dawson, or any other arterial. The western boundary is a minor local street (Lauderdale), not a second major road, so this is an inside lot."
"Big River Troy , 1221 US-231 , Troy , AL , 36081",31.7801113,-85.949913,31.7801113,-85.949913,Big River Car Wash,Inside,"The car wash sits in the middle of a large shopping-center parking lot and only directly faces one main road (the highway running along the lot’s northern edge). There is no intersection of two wide, major roads at the red-circled parcel — the east/west service drives and adjacent private lanes are narrow and secondary. On all other sides the site is bounded by the parking field or minor access drives, not by a second major thoroughfare. Therefore, it does not occupy a street corner and is classified as an Inside Lot."
"Blanding , 580 Blanding Blvd , Orange Park , FL , 32073",30.1522001,-81.7514299,30.1522171,-81.7510047,LUV Car Wash,Inside,"All three zoom levels show the car wash fronting only on Blanding Boulevard (State Road 21), with no intersecting major street directly at its lot boundary. The lot is set mid‐block between adjacent commercial parcels. Nearby roadways at the rear and side of the lot are internal drive aisles, service drives, or private parking access—not wide, two‐way public roads or intersecting arterials. Because only a single main road borders the property and there is no corner intersection of two major roads, this is an Inside Lot."
"Blu Wave Express Wash , 306 E Franklin St , Sylvester , GA , 31791",31.5301708,-83.8334232,31.5301708,-83.8334232,Blu Waye Express Wash,Corner,"The Blu Waye Express Wash lot is situated at the southwest corner of the signalized intersection between E Franklin St (US-82, a multi-lane highway with highway shields and turn lanes) and N Westberry St (a wide, marked city thoroughfare with crosswalks). The red circle abuts two major roads, has curb cuts on both frontages, and clearly occupies the corner of these two main streets, meeting all criteria for a Corner Lot."
"Blu's Flex Serve Car Wash , 420 S Main St , Lumberton , TX , 77657",30.2490469,-94.1977178,30.2491264,-94.1978149,Blu's Car Wash,Inside,"At all zoom levels the car wash only fronts one major road (S Main St/US-96) and does not sit at the junction of two wide, high-traffic streets. The lot’s other boundaries abut residential parcels, open land, or private drives rather than a second main road. Because it lies mid-block on a single arterial and is not on a visible corner intersection of two major streets, it meets the definition of an Inside Lot."
"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",33.2738091,-84.2918572,33.2738091,-84.2918572,Blue Penguin Car Wash,Corner,"The car wash sits directly at the signalized intersection of two multi-lane thoroughfares (US-41 running north–south and a wide state route running east–west). In all zoom levels you can see medians, dedicated turn lanes, crosswalk markings and highway shields on both adjacent roads. The lot has frontage on both major roads, meeting the criteria for a Corner Lot."
"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",34.0440574,-84.6949093,34.0440574,-84.6949093,Blue Rhino Carwash & Emmissions,Inside,"At all zoom levels the red-circled car wash only has direct frontage on Mars Hill Road and lies mid-block between minor access drives (Ballenger Road to the north and Ivey Lane to the south). The adjacent service drive to the west and the US-41 highway are not directly accessible and do not form a second major intersection. No two wide, named through-streets meet at the lot, and its other sides border parking lots, so it is an Inside Lot."
"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",29.4218032,-95.2267778,29.4218032,-95.2267778,BlueWave Express Car Wash,Inside,"At all zoom levels the BlueWave Express sits only along the Texas 35 Service Road (a frontage road) and an internal private access drive serving the adjacent retail parcels. It does not front onto two public arterials – the opposite side is a narrow shopping-center driveway, not a major street. No intersection of two wide, publicly maintained roads meets at the red-circled lot, so it is an inside lot rather than a corner lot."
"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",28.6989033,-100.484934,28.6988863,-100.4849123,BlueWave Express Car Wash,Inside,"The BlueWave car wash only fronts on one major road (Farm-to-Market Rd 375). The other side of the lot abuts an internal service drive within the retail center, not a second main thoroughfare. There is no intersection of two wide, clearly marked public roads immediately adjacent to the circled lot, so it does not meet the criteria for a corner lot."
"BlueWave Cibolo , 174 W Borgfeld Rd , Cibolo , TX , 78108",29.5725582,-98.2389545,29.5725582,-98.23895449999999,BlueWave Express Car Wash,Inside,"At all zoom levels the car wash parcel fronts only one major roadway (W Borgfeld Rd). While there is a secondary drive aisle on its east side, that drive serves the retail center and is not a public through‐road or state highway. The true public intersection of two main roads (W Borgfeld Rd and Cibolo Valley Dr) lies one parcel to the west (occupied by P. Terry’s Burger). Because the car wash is mid‐block on Borgfeld and does not touch two major intersecting streets, it is classified as an Inside Lot."
"BlueWave Conroe , 10345 Highway 242 , Conroe , TX , 77385",30.2091694,-95.4239756,30.209169399999997,-95.42397559999999,BlueWave Express Car Wash,Inside,"At all zoom levels the car wash sits mid-block along State Highway 242 rather than at a junction of two major roads. It is flanked by neighboring pad sites (Take 5 Oil Change to the west and Wendy’s to the east) and accessed by internal curb cuts on the highway and a narrow service drive to the north. No intersection of two wide, arterial roads abuts the red-circled lot—only minor drive aisles—so this is an Inside Lot."
"BlueWave Del Rio , 2201 Veterans Blvd , Del Rio , TX , 78840",29.3891844,-100.9047145,29.3891844,-100.9047145,BlueWave Express Car Wash,Inside,"Although the site sits at the cross-street of Garner Drive and the frontage road of Veterans Boulevard, the frontage road is merely a service drive and not a full major artery.  The car wash only directly faces one true through‐street (Garner Drive); on its remaining sides it abuts private driveways, parking lots, and the service road.  There is no intersection of two primary roads immediately bounding the red-circled lot, so it meets the definition of an Inside Lot."
"BlueWave Humble , 9719 N Sam Houston Pkwy E , Humble , TX , 77396",29.9355463,-95.2435561,29.9355463,-95.24355609999999,BlueWave Express Car Wash,Inside,"At all three zoom levels the BlueWave Express Car Wash sits mid-block within a small retail pad and only one true major road (Canyon Lake Trace Drive) runs alongside it. The frontage road to the south is a service drive for the Sam Houston Tollway, not a separate primary highway, and no second wide, multi-lane arterial meets the lot at its corner. There is no intersection of two major roads immediately adjacent to the red-circled parcel, so it does not meet the Corner Lot criteria and is therefore classified as an Inside Lot."
"BlueWave League City , 1740 W FM646 , League City , TX , 77573",29.4669391,-95.0874048,29.466939099999998,-95.0874048,BlueWave Express Car Wash,Inside,"All three zoom levels show that the BlueWave Express Car Wash fronts only one major road (FM 646) and the other adjacent roadway is a narrow private service drive for the shopping center, not a second arterial. There is no true intersection of two public highways or multi-lane roads immediately at the red-circled lot. Instead, the car wash sits mid-block on FM 646, with its secondary access coming off an internal loop road serving Michaels, Ulta Beauty, and other retail—qualifying it as an Inside Lot rather than a Corner Lot."
"BlueWave Livingston , 1829 US Highway 190 W , Livingston , TX , 77351",30.7176553,-94.9618149,30.7176553,-94.9618149,BlueWave Express Car Wash,Inside,"At all zoom levels the car wash sits mid-block along the south side of Hwy 190, fronting only the highway’s frontage (service) road. There is no intersection of two major public thoroughfares at the lot – the only other bordering roadway is a private access drive serving adjacent restaurants and retail. Because the lot touches only one major road (via a service lane) and does not occupy a true corner of two wide, labeled streets, it meets the criteria for an Inside Lot."
"BlueWave Lumberton , 710 S Main St , Lumberton , TX , 77657",30.2423772,-94.196705,30.2423772,-94.196705,BlueWave Express Car Wash,Corner,The red-circled car wash sits at the southwest quadrant of the clear intersection between Country Lane Drive (an east–west arterial with turn lanes) and US-96 (a multi-lane north–south highway). You can see from the mid- to high-zoom images that the lot has frontage and curb cuts on both of these major roads and occupies the corner of their junction. This meets the criteria for a Corner Lot.
"BlueWave Montgomery , 20210 Eva St Montgomery , Montgomery , TX , 77356",30.3886464,-95.6805365,30.3886464,-95.6805365,BlueWave Express Car Wash,Corner,"The car wash sits directly at the intersection of two major roads (Hwy 105 running east–west and Gardner Dr running north–south). In all zoom levels you can clearly see multiple travel lanes, turn arrows, and a signalized intersection right adjacent to the red-circled lot. The property fronts on both wide, high-traffic roads with curb cuts on each side, meeting the definition of a Corner Lot."
"BlueWave Penitas , 1807 Expressway 83 , Penitas , TX , 78576",26.2440893,-98.4418103,26.2440679,-98.44187099999999,BlueWave Express Car Wash,Corner,"The car wash (red-circled) sits directly at the signalized intersection of two major roads: E Expressway 83 to the south (multiple lanes, highway shields, turn arrows) and Liberty Blvd to the east (wide boulevard with marked turn lanes). The lot has curb cuts and direct access on both of these main roads, placing it on the southeast corner of the intersection, which meets the criteria for a Corner Lot."
"BlueWave Rio Grande , 4343 US-83 , Rio Grande City , TX , 78582",26.3442811,-98.7440723,26.343010999999997,-98.7432091,Bambam's Car Wash,Inside,"At all zoom levels the car wash parcel only fronts S Olmitos Road. While U.S. Hwy 83 appears just to the north, there is a grassy/rail-spur buffer between the highway and the building and no curb cut or driveway directly onto Hwy 83. The lot does not straddle a true intersection of two major roads—only a single wide road (S Olmitos) abuts the red-circled property and the adjacent roads are either service drives or narrower local streets. Therefore this site is an inside lot."
