place_id,Classification,Justification
ChIJ58gLJj2xToYRQvNoHBXrKU4,Competitor,"The provided images clearly display an operational Express Tunnel Car Wash model. Visible features include a recognizable tunnel structure, discernible entry and exit points, guiding equipment inside the tunnel, and relevant signage. Images show cars entering and exiting the tunnel without any manual cleaning staff involved in the washing process, confirming the automated exterior cleaning function. The site also features adjacent self-serve vacuum stations, which are typical for this type of business model. Branding emphasizes the express nature of the operation as indicated by the terminology and the layout. As such, all criteria for classification as a competitor are fulfilled."
ChIJHxQqHWSxToYR2lx_uOhD8Ro,Error,Classification failed or returned no result.
ChIJW2iDRyixToYRvTNatGyiYdU,Not a Competitor,"The provided image indicates a car wash location, but the structure visible does not appear to provide an express tunnel setup characteristic of a competitor. The building does not show typical tunnel entry and exit points or automated equipment associated with an Express Tunnel Car Wash. There are no visible guide rails, rollers, or conveyor systems, nor signage indicating the presence of express services. Based on the criteria, this location does not meet the standards to be classified as a Competitor."
ChIJd1weUWyxToYRcrEUtJ8OhKQ,Not a Competitor,"The provided image depicts a facility named 'Seagoville Express Lube & Auto Care.' From the visible features, it appears to be an automotive service center rather than an express tunnel car wash. There is no discernible car wash tunnel structure or automated equipment visible in the image. The parking layout and building do not match the common design criteria of an express tunnel car wash. Additionally, the name suggests an auto care and lubrication service rather than a dedicated car wash operation."
ChIJIeC83tSwToYRSK-jop82xCs,Not a Competitor,"The image shows a car wash location named 'Harris' Car Wash'; however, it lacks visible features of an Express Tunnel Car Wash such as a clearly identifiable long tunnel structure with entry and exit points, automated cleaning equipment inside the tunnel, or a conveyor system. Additionally, there is no indication of signage promoting express or automated exterior services. The available information suggests this is not a facility that meets the criteria for classification as a competitor."
ChIJZ9WmTtqwToYRB6ncbICIRfY,Not a Competitor,"The images depict a self-service car wash with individual bays where customers manually wash their vehicles using provided equipment such as hoses and vacuums. There is no evidence of an automated tunnel structure, conveyor system, or equipment typical of express tunnel car washes. The emphasis is on self-service manual washing rather than automated exterior cleaning."
ChIJXSJdrXBzIocRXJpVibfFOKk,Not a Competitor,"The provided images do not depict clear evidence of an express tunnel car wash. While the facility includes a gas station setup with branding and amenities like fuel pumps, no images show a long, narrow tunnel structure characteristic of an express tunnel car wash. There is no visible automated equipment, conveyor system, entry/exit points for cars in a tunnel, or signage indicating such services. Thus, this location does not meet the criteria to be classified as a competitor."
ChIJ-bu6s3BzIocR_HzQGX2Mcjc,Not a Competitor,"The provided image depicts a car wash adjacent to a convenience store, but there are no distinct features that identify it as an express tunnel. The structure appears short and doesn't clearly show a conveyor system or entrance/exit points typical of automated tunnels. Additionally, no signage indicating express tunnel services is visible. Therefore, it does not meet the criteria for a competitor."
ChIJ7XBLam9zIocRM0j8dSA3Nsg,Competitor,"The image reveals a clear tunnel-like structure typical of Express Tunnel Car Washes. The building shows an entrance and exit design, characteristic of a drive-through automated car wash system. The visible equipment within the structure indicates automation, supporting the classification as an Express Tunnel Car Wash competitor. There are no evident signs that suggest manual cleaning as the primary method, nor is there signage indicating otherwise."
ChIJW4DHaW9zIocRdAg8HxawdA4,Not a Competitor,"The satellite image provided depicts a car wash labeled ""Century Car Wash."" The structure visible in the image does not exhibit the characteristics of an express tunnel car wash, as there is no clear indication of a long, narrow automated tunnel with visible entrance and exit points. Instead, the structure appears to be more suited for manual or self-serve operation. Additionally, there do not appear to be conveyor tracks or significant automated equipment visible in this view. Based on the provided criteria, this location does not meet the definition of an express tunnel car wash and hence is not classified as a competitor."
ChIJl7GbXxJzIocRQ5wc3wnCQ0A,Not a Competitor,"The images provided depict various automobiles and their condition, as well as an aerial view of what appears to be a collision center with signage and surrounding parking area. No structure resembling an automated express tunnel car wash is visible. There are no discernible tunnel features, guide rails, automated wash equipment, or conveyors present in the imagery. The provided images and the location context strongly suggest this is a collision repair facility rather than a car wash, and thus it does not meet the criteria for classification as a competitor Express Tunnel Car Wash."
ChIJX4-ByxLeAocRqqSEko_0Xus,Not a Competitor,"The location, A-Key Car Wash, does not appear to have a dedicated express tunnel structure that meets the criteria for automated exterior car washes. While the satellite and images imply some form of car wash service, it seems to include manual cleaning operations as evidenced by attendants working on cars. There is no clearly identifiable long tunnel with automated equipment, guide rails, or drive-through experience shown. The setup reflects a full-service or manual wash model rather than an express tunnel system."
ChIJ11Nj23PeAocRyeFoFPPO-hU,Not a Competitor,"The image shows a car wash location named 'Hole In The Wall Car Wash.' While a covered structure is visible, indicative of a car wash functionality, it does not display clear features of an express tunnel car wash. The structure lacks distinct tunnel entry and exit points or equipment suggesting automated washing. Furthermore, no conveyor system or specific signage indicating express tunnel car wash services is evident. Hence, it does not meet the criteria to be classified as a competitor."
ChIJ2SKbOQveAocRMH0CthvV8Ic,Competitor,"The location in question features a tunnel structure with discernible entry and exit points, as evident from the images. The tunnel has guide tracks at the entrance indicative of a conveyorized system, which is typical for express tunnel car washes. Additionally, the branding mentions 'Auto Wash,' and the pricing board lists exterior cleaning services consistent with automated systems. There are no visible signs of manual cleaning within the facility. These factors meet the criteria for classification as an express tunnel car wash competitor."
ChIJk3T2CRrfAocRgoyGz0zRIM4,Competitor,"This location has a recognizable tunnel structure, visible in the provided site image, which is typical for automated express car washes. It displays a long building with clear entry and exit points. Additionally, self-serve vacuum stations are present, indicating it aligns with the express model often seen in competitor setups. Other images include car exteriors and do not contradict the automated express tunnel criteria."
ChIJAwha3XbeAocR4QYEwyS6k1g,Competitor,"The images show a facility with tunnel-like structures that appear to accommodate vehicles moving through them, fitting the typical design of an express tunnel car wash. The location seems automated with clear entry and exit points, suggesting a conveyorized system for washing cars as part of a continuous drive-through experience, characteristic of competitors in the express tunnel car wash category."
ChIJAbdAcT_eAocRq6k0JOVUTmw,Not a Competitor,"The images provided show that Soapy Springs Car Wash does not appear to have an automated express tunnel system. While the building has an appropriate design, the visual cues such as the self-serve bays, lack of conveyor system, and signage indicating manual cleaning options contradict the criteria for express tunnel automation. Additionally, vending machines and vacuum stations, although present, are features that support self-service operations rather than automated drive-through experiences characteristic of express tunnels."
ChIJQY5pufSERoYRhS0k3s1SwUM,Competitor,"The image shows a long, narrow structure consistent with the features of an express tunnel car wash, including distinct entry and exit points. The layout of the car wash building and surrounding areas suggests automation and a drive-through experience. Although no equipment is visible, the overall design meets the criteria for classification as a competitor."
ChIJr8jrFmOERoYRfKsq2iskXFs,Competitor,"The provided images clearly indicate an Express Tunnel Car Wash. The first image shows a long, narrow building structure, typical of express tunnels with a distinct entrance and exit. The interior images show automated equipment such as brushes and sprayers, which confirm the presence of a conveyorized automated cleaning system. The branding and signage prominently display the name of the car wash with no mention of full-service or detailing as the primary offering, and the interior equipment is consistent with express tunnel setups. Despite the availability of vacuuming stations and manual touch-up services visible in some images, the primary wash process occurs via automated equipment, aligning with express tunnel features decisively."
ChIJ_aGWhnmERoYRJOz674big58,Not a Competitor,"The images provided depict an H-E-B fuel station facility with a compact car wash unit. The car wash structure appears to be a small building conducive to only one car cleaning area rather than a long, tunnel-like automated wash system suitable for sequential vehicle processing. No signage or structural indications of a conveyor belt system or express tunnel design are visible. Additionally, the overall setup lacks features typical of an express tunnel car wash, such as extended vacuum stations or multiple automated equipment. Therefore, this location does not meet the criteria for an express tunnel car wash."
ChIJ34AM1XuERoYR5N_qPl_9qtI,Competitor,"The images indicate the presence of an express tunnel car wash at the location. The first image shows a structure consistent with a drive-through car wash tunnel, featuring entry and exit points aligned for cars to pass through. The second image confirms this as a car wash tunnel, with signage specifically including 'Wash' and a marked entrance suggesting automated equipment inside. The observable features and branding align with the criteria for an 'Express Tunnel Car Wash.'"
ChIJWWmKr8CbRoYRjVtGuhQytx8,Competitor,"The images show a car wash facility with a clear tunnel structure, featuring an entrance and exit labeled and visible automated equipment inside the tunnel (e.g., brushes, rollers, dryers). The presence of a conveyor system is confirmed by the guide rails on the ground, and vehicles appear to undergo an automated wash cycle while customers remain inside them. Adjacent vacuum stations provide further evidence of an express tunnel model. The facility branding includes 'Car Wash,' supporting this classification as an express tunnel car wash competitor."
ChIJUxPx-cqaRoYRx89LcJcrvlQ,Not a Competitor,"The images provided depict a location primarily associated with H-E-B Fuel, which appears to be a gas station. There is a structure resembling a car wash tunnel visible in the aerial imagery, but it lacks clear features indicative of a full-fledged express tunnel car wash—such as visible conveyor systems, significant automation equipment, or entry/exit signage specific to car wash operations. No self-serve vacuums or branding indicating express car wash services are evident. The emphasis of the signage, branding, and visible facilities is on fuel services, not automated car washing."
ChIJeYvxkMqaRoYRbe0UU8hVqx0,Not a Competitor,"The provided images depict a lube center named 'Wolf Creek Lube Center' and associated signage indicating oil change services rather than car wash operations. There is no evidence of an express tunnel structure, guide rails, automated washing equipment, or dedicated vacuum stations. This location specializes in vehicle maintenance services rather than automated exterior car washing. Thus, it does not meet the criteria for classification as an Express Tunnel Car Wash competitor."
ChIJTUNHYzOFRoYRDvt9X8k7JGs,Competitor,"The provided satellite image shows a facility marked as 'Simoniz Car Wash.' The structure includes an elongated building with visible entry and exit points characteristic of an express tunnel design. There appears to be a defined pathway for cars to enter and exit the car wash, which supports the presence of an automated tunnel system. The prominent main building does not suggest manual washing areas or self-service bays. Although additional elements like conveyor systems and detailed signage aren't visible in this aerial image, the layout and structure strongly align with the express tunnel model. This classification assumes this is an automated car wash facility based on visual evidence and typical industry setups."
ChIJ6VpqvmuZ9YgRTAdmmatebB8,Competitor,"The location clearly displays attributes characteristic of an Express Tunnel Car Wash. The aerial view reveals a long, narrow building with designated entry and exit points for vehicles, consistent with the tunnel design. Interior images of the tunnel show automated cleaning equipment such as brushes and sprayers, confirming the presence of an automated exterior cleaning system. The cars are traveling through the tunnel independently rather than being manually cleaned, matching the drive-through experience standard. Additional photographs show a vacuum station nearby and signage with express car wash-related branding, further supporting the classification."
ChIJjQ2fDk8q9ocR5lPeGIUtKWw,Not a Competitor,"The provided images do not show the key features defining an Express Tunnel Car Wash. The location appears to be primarily a gas station with convenience store and service bays visible. There is no evident tunnel structure suitable for automated exterior cleaning as required by the classification criteria. There are no conveyor systems or specific signage related to Express Tunnel Car Wash services. Thus, this location does not meet the criteria for classification as a competitor."
ChIJ3Q6wrVor9ocRk9jDXKBt8kA,Not a Competitor,"The provided images do not show an express tunnel car wash structure. The facility appears to feature multiple independent bays rather than a continuous, automated tunnel system. Although the signage and branding suggest a car wash operation, the core criteria such as conveyor systems, drive-through experience within a tunnel, and automated equipment visible inside a substantial tunnel are not evident. Additionally, interior images indicate a wash setup more consistent with self-service or manual approaches. Therefore, this location does not qualify as an Express Tunnel Car Wash competitor."
ChIJ9b0637NE04kRZF3HrjK3X7Y,Not a Competitor,"The provided images depict a gas station connected with Canadian Tire, featuring a small car wash structure nearby. While there is a recognizable car wash building, it lacks visible features of an express tunnel car wash such as a substantial tunnel structure with defined entry and exit points, automated cleaning equipment visible either externally or internally, or conveyor systems. Additionally, there is no branding suggesting 'express,' 'automatic,' or 'tunnel wash' services prominently displayed, nor are any associated self-serve vacuum stations noted. This setup does not meet the criteria for classification as a competitor express tunnel car wash."
ChIJ149-ar1F04kRpiMxmjlO4bo,Not a Competitor,"The images suggest that the location operates primarily as an automotive customization and detailing service rather than an express tunnel car wash. There is no evidence of a tunnel structure, automated washing equipment, or branding indicating an express wash system. The focus appears to be on manual detailing and specialty services for high-end vehicles, which do not meet the criteria for classification as an Express Tunnel Car Wash competitor."
ChIJa9jdlVBD04kR5vbS0x-LcrI,Not a Competitor,"The provided images do not depict features characteristic of an Express Tunnel Car Wash. The first image shows a residential or small-scale business setting without an identifiable automated car wash tunnel. The second image is unrelated to a car wash location as it depicts a car in an urban setting. No visible evidence of a car wash tunnel, automated equipment, conveyor system, or pertinent signage is present."
ChIJ__8zSadE04kRLQqI88vBOmo,Competitor,"The presented images depict an automated car wash facility featuring a tunnel structure clearly visible from both aerial and ground-level perspectives. The tunnel has distinct entry and exit points, with vehicles proceeding into the tunnel in a single file. Interior visuals suggest the presence of automated cleaning equipment suitable for express exterior cleaning, consistent with express tunnel operations. Additionally, branding indicates standard car wash services with no evidence of manual detailing or self-service bays."
ChIJHXFFOKdE04kRhogf8laBMVc,Not a Competitor,"The car wash location analyzed does not meet the criteria for an express tunnel car wash competitor. The images provided show a smaller facility associated with a Shell gas station, which appears to contain a single washing bay. There is no presence of an extended tunnel structure, automated conveyor system, or visible signage indicating a full express tunnel operation. Instead, the location seems to operate as a basic self-service or standalone automatic wash bay, typical of gas station setups. Therefore, it is classified as 'Not a Competitor'."
ChIJn_qV7KZ1-4gRdou2fb9-UHU,Not a Competitor,"The provided images do not depict an express tunnel car wash. There is no evidence of a long, narrow automated tunnel structure with entrance and exit points suitable for continuous car washing, nor is there signage indicating such services. Additionally, the visible use of manual cleaning techniques within the facility and the absence of automated equipment or conveyor systems suggests that the location offers detailing or handwash services instead of express automated exterior car washes."
ChIJUdevGft0-4gRI1iHsNpHgxU,Competitor,"The provided images depict a facility named Zips Car Wash, which matches the criteria for an Express Tunnel Car Wash. Observations include a long, narrow building consistent with a tunnel structure, cars shown with exterior cleaning processes involving automated equipment (e.g., overhead sprayers and brushes), entry and exit points, and clear branding indicating 'express service.' Additionally, self-serve vacuum stations are visible near the facility, which supports the quick, exterior-focused service model characteristic of express tunnels. Based on these factors, this location qualifies as a competitor."
ChIJIUW_Rntr1GoRePjdozrj7nU,Competitor,"The provided images indicate an express tunnel car wash setup, fitting the mandatory criteria. A tunnel structure is clearly visible with entry points marked 'Entry' and automated equipment inside, as demonstrated by images showing brushes and sprayers for exterior cleaning. The presence of a conveyor system is confirmed by visible guide rails in the tunnel and sequential car alignment during operations. The branding prominently includes 'Adore The Car Wash,' suggesting express services. Furthermore, self-serve vacuum stations are visibly available nearby, supporting evidence of an express tunnel model. All criteria have been met, confirming this location as a competitor."
ChIJhwoEOwYliYgRd83W7lLbmwE,Competitor,"The provided images clearly depict an express tunnel car wash operation. The establishment features a long tunnel structure with marked entry and exit points, visible automated equipment like brushes and sprayers in the tunnel interior, confirming its nature as an automated exterior cleaning car wash. The signage prominently displays services such as 'Express Polish' and 'Hot Wax & Polish,' which align with express exterior car wash offerings. Additionally, conveyor tracks are noticeable inside the tunnel, supporting the automated system. The presence of self-service vacuum stations further corroborates the classification as an express tunnel car wash and thus a competitor."
ChIJSVRizA1rRYYRT8p3d0nVflU,Competitor,"The images present clear evidence that the location is equipped with an Express Tunnel Car Wash setup. Specifically, the images show a long and narrow tunnel structure with entry and exit points visible. The interior views of the tunnel demonstrate automated equipment for cleaning vehicles, including brushes, sprayers, and a drying system, along with a conveyor system visible in some images. The branding mentions ""Aladdin Car Wash,"" which supports its purpose aligning with automated exterior car washes. Furthermore, the presence of self-service vacuum stations adjacent to the facility is a common feature for express car wash locations. The criteria for identifying an Express Tunnel Car Wash are fully met, confirming the classification as a competitor."
ChIJFSw4OQBrRYYRCGCOgeXZAqw,Not a Competitor,"The provided image shows a location named 'Ragin' Cajun' with a green roof structure, but there is no visible tunnel structure indicative of an express tunnel car wash. Instead, the premises appear to consist of a large, open parking or working area. There are no clear entry and exit points for a tunnel, nor any additional signs of automated equipment or facilities typical for an express car wash. Consequently, based on the absence of necessary features such as an automated tunnel or conveyor system, it is classified as 'Not a Competitor'."
ChIJrXoDZPR7FocRQX7t5Cao-k8,Not a Competitor,"The provided image does not depict an express tunnel car wash facility. It displays a convenience store and adjacent parking or utility structures. No evidence of a tunnel structure, automated systems, signage indicating an express car wash, vacuum stations, or conveyor systems is visible."
ChIJ4UVStVMi-YYRIu_S4x5m98s,Competitor,"The location exhibits key features of an Express Tunnel Car Wash. The building includes a tunnel structure with a clearly marked 'Entrance' and 'Exit,' which are indicative of a drive-through automated system. Visual observation shows an elongated design suitable for a conveyor-based car wash. The signage refers to automatic cleaning services. Additional vacuum stations adjacent to the tunnel exit align with standard express tunnel operations. Images depicting nearby vehicles do not contradict these defining criteria. Thus, the location meets the criteria for classification as a competitor."
ChIJMeGaIfYi-YYR4D9yWqrkAGU,Not a Competitor,"The provided image shows a location labeled as 'Flores Auto Wash / Repair', which does not appear to feature the tunnel-style structure required for an express tunnel car wash. The building visible in the image does not resemble a long, narrow tunnel with entry and exit points designed for automated exterior car cleaning. Furthermore, there are no visible conveyor systems, signage indicating express or automated services, or vacuum stations typical of express tunnel models. Thus, based on the criteria, this facility does not qualify as an Express Tunnel Car Wash competitor."
ChIJL8A4TXcj-YYRX1OkyKaxi8c,Not a Competitor,"The images depict a self-service car wash setup with individual bays where customers wash their own vehicles using provided equipment. There is no evidence of a tunnel structure, automated cleaning systems, conveyor mechanisms, or branding indicative of an express tunnel car wash. As per the classification criteria, self-service car washes do not qualify as competitors."
ChIJacTqZLR2XIYRJim9_o3j6mA,Not a Competitor,"The provided images show a car wash named 'Water Street Car Wash' consisting of multiple open self-service wash bays and vacuum stations. There are no visible signs of a distinct, long tunnel building or automated equipment typical of an express tunnel car wash. Manual washing is being conducted by individuals, which further confirms it does not qualify as an express tunnel model. While the location does offer self-service options and vacuum stations, these do not meet the criteria for classification as a competitor under the express tunnel requirements."
ChIJO_25tLN2XIYRQxTC4LN8R2Y,Not a Competitor,"The images depict a location associated with H-E-B Fuel and H-E-B branding, prominently featuring fuel stations and convenience services such as ice and water vending machines. The identified 'H-E-B Car Wash' building does not display characteristics of an Express Tunnel Car Wash, as it lacks visible tunnel structures with entry and exit points, automated conveyor systems, or equipment typical of an Express Tunnel. The car wash appears small and does not suggest an automated, drive-through express system. Hence, it does not align with the criteria for an Express Tunnel Car Wash competitor."
ChIJBfzxYbJ2XIYRdcgbg5CP_Is,Not a Competitor,"The provided image depicts a small structure labeled 'H-E-B Car Wash' which lacks visible features of a typical express tunnel car wash. The building does not appear lengthy enough to accommodate an automated tunnel structure (minimum 34 feet), nor are entrance and exit points with signage or tunnel automation equipment visible. Based on these observations, this location does not meet the criteria for an express tunnel car wash competitor."
ChIJ-cik9bJ2XIYRgMQyUxZyGJ4,Not a Competitor,"Based on the images provided, the location appears to be a Shell gas station with a small adjacent structure labeled 'Car Wash.' However, there are no visible signs of a tunnel structure with clearly marked entry and exit points suitable for automated car washing. Also, there are no discernible features such as guide rails, tracks, or automated equipment indicative of an Express Tunnel Car Wash setup. The car wash seems to cater to individual vehicles and lacks the characteristics of handling a continuous sequence of cars in a conveyorized manner. Therefore, this location does not meet the criteria for classification as an Express Tunnel Car Wash competitor."
ChIJm7VrViz_bYgR7KdQZHRymS0,Not a Competitor,"The images depict a car wash location with self-service bays rather than an express tunnel system. There is no visible long tunnel structure with entry and exit points, nor any indications of automated external cleaning equipment or a conveyor system. Instead, the facility appears to cater to self-service washing with individual bays where customers manually wash their vehicles. Hence, this location does not meet the criteria for an 'Express Tunnel Car Wash.'"
ChIJ511Nshb_bYgRqp5ByWI_C3U,Competitor,"The images confirm the presence of an express tunnel car wash. The sign indicates 'Soft Touch Automatic' and 'Touchless Automatic' services, which suggest exterior automated washing. There is a clear tunnel-like structure visible in the images, with entry and exit points confirming the automated tunnel setup. The interior image of the tunnel displays automated equipment such as spray systems and drying mechanisms, corroborating the classification. The business does not seem to be primarily focused on manual or self-service washing, nor does it offer services exclusively for full-service interior detailing, thus meeting the criteria for a competitor."
ChIJazek1p__bYgRnDd05PzqAuk,Not a Competitor,"The provided image does not explicitly display any features resembling an express tunnel car wash structure. There is no visible long or narrow building characteristic of a car wash tunnel, nor are there discernible entry and exit points. No conveyor system or automated washing equipment is apparent, and no signage indicating express tunnel services is visible. Based on these observations, the location does not meet the criteria for classification as an express tunnel car wash competitor."
ChIJA13FaQr_bYgRtTrcIZwgEwg,Competitor,"The location features a long tunnel-like structure with clearly identifiable entry and exit points, suggesting an automated wash process typical of express tunnel car washes. Additionally, the nearby vacuum stations support the classification as an Express Tunnel Car Wash competitor based on common industry practices."
ChIJD3tcN81mXIYRE7hnmLQPjg0,Not a Competitor,"The provided images showcase a Circle K convenience store with a parking area visible nearby. There is no evidence of an automated tunnel structure suitable for an express car wash. The images focused on the store interior, exterior branding, and an air/water station, none of which indicate the presence of car wash facilities. Absent are tunnel specifics such as entry and exit points, conveyor systems, or relevant signage promoting express tunnel car wash services. Based on this lack of qualifying features, the location does not meet the criteria for classification as an Express Tunnel Car Wash competitor."
ChIJRQhvCHtnXIYReMoMuQehkT4,Not a Competitor,"The image shows a convenience store setup with a gas station, possibly Circle K. There is an adjacent structure that might be for washing vehicles but lacks visible features of an express tunnel car wash such as a defined, automated tunnel system, clear enter and exit signage, or conveyor tracks. It does not demonstrate the criteria for being an express tunnel car wash."
ChIJ5_augSZhXIYRZEGRdLb6h0Q,Not a Competitor,"Based on the images provided, this location does not appear to include an automated express tunnel car wash. The satellite view shows a building adjacent to a Shell gas station, but there is no clear evidence of a tunnel structure suitable for an express car wash service. Additionally, the visible signage and facilities indicate a focus on fueling and convenience store services rather than a specialized automated car wash operation. Thus, this location does not meet the criteria for classification as a competitor."
ChIJE7o5Hm-NXIYR_B5IMiWXQXY,Competitor,"The images indicate a car wash facility with a prominent tunnel structure visible in the third image. The tunnel entrance and exit are clearly marked on the building. Furthermore, the signage prominently includes 'Express Car Wash' which is a strong indicator of an automated express tunnel facility. There are no visible indicators of manual service in the tunnel area, suggesting the use of a conveyor system for automated exterior cleaning. The first image shows adjacent vacuum stations, which support the classification as an express tunnel car wash. Based on these observations, this location adheres to the criteria of being an Express Tunnel Car Wash."
