full_site_address,Latitude,Longitude,new_latitude,new_longitude,carwash_name_in_image,classification,justification
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,40.2614149,-80.17475019999999,All Washed Up Auto Spa,Less than 15 cars,"At zoom-20 we can see only a single entry queue that wraps around the southeast corner of the building from Old Pike St.  Measuring roughly 5 m per car: the straight run from the property line to the start of the curve is ~10 m (≈2 cars), the curved section around the building is ~25 m (≈5 cars), and there’s room for one more car immediately in front of the tunnel door.  All other lanes on site are exit lanes or vacuum stalls (not counted).  Total continuous queuing capacity is about 8 cars maximum, well under the 15-car threshold."
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,41.120557999999996,-78.758646,All Washed Up Auto Spa,Less than 15 cars,"At zoom-20 resolution the only queuing area is the single drive-through entrance on the west side of the building. Measuring that approach from the public roadway to the wash bay door yields roughly 20–25 m of usable stacking length – about four to five standard (5 m) cars bumper-to-bumper. There is no parallel or overflow bay; no secondary spur lanes; and no extended waiting apron behind the building entrance. In total the entire facility can only accommodate fewer than 15 cars in the queue, so it falls into the “Less than 15 cars” category."
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,40.5336038,-79.8458897,All Washed Up Auto Spa,Less than 15 cars,"At zoom 20 you can clearly see only two dedicated, channelized queue lanes feeding the wash bays on the building’s front façade. I measured each lane at roughly 25 m long (about 5 car-lengths) on the right lane and about 20 m (4 car-lengths) on the left lane – for a total of ≈9 cars. The curved drive approach from Freeport Road is only about 2–3 car-lengths long per side and is not striped as a waiting lane, so it isn’t counted as part of the official stack-up. There are no overflow bays or additional parallel spurs beyond these two front lanes. Therefore the visible, intended queuing area accommodates fewer than 15 cars."
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,40.281186,-78.8627293,All Washed Up Auto Spa,Less than 15 cars,"At high‐resolution (zoom 20) there is only a single short apron from Scalp Ave into the wash bay. Measuring in the image, that paved approach is about 8–10 m long (roughly 1.5–2 car-lengths @ ~5 m each) with no secondary or overflow lanes and no parallel stacking area. The surrounding areas are grass or customer parking, not dedicated queuing lanes. Therefore the off-street stack-up capacity is well under fifteen cars."
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,40.4096318,-79.8993024,All Washed Up Auto Spa,Less than 15 cars,"At zoom-20 resolution we can clearly make out two green-roofed pay booths feeding into a single automated tunnel.  Measuring by car-lengths (~5 m each):
• Each of the two parallel concrete pay-lanes is about 25 m long from the property line to the tunnel entrance, so roughly 5 car-lengths per lane.  
• After the two lanes merge, there is only another 10 m (≈2 car-lengths) of queuing before the wash door.  
Summing those gives 2 lanes ×5 cars +2 cars ≈12 cars total.  There are no additional overflow or bypass bays, so the maximum on-site stack-up is under 15 cars."
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,39.9105773,-79.7474519,All Washed Up Auto Spa,Less than 15 cars,"Both the zoom-19 and zoom-20 images show that the red-circled ‘All Washed Up Auto Spa’ site is nothing more than an open grass lot with no paved or delineated queuing lanes. There are no visible ingress lanes, bay spurs, or overflow areas where cars could line up. Even if you assume a single informal lane along the adjacent roadway, there is space for only a handful of cars – certainly well under the 15-car threshold."
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,40.7441566,-96.7249173,Soapatopia Car Wash,Less than 15 cars,"At Zoom-20 the car wash only has a single narrow queuing lane that comes around the west end of the blue-roofed wash building, plus a very short stub by the exit at the east end.  Using the six-lane roadway at the bottom of the image (≈21–25 m wide) as a reference, one full-sized car length is roughly 5 m.  The curved approach lane on the west measures only about 20 m in total (≈4 car-lengths), and the stub on the east side another ≈10 m (≈2 car-lengths).  There are no parallel queuing bays or overflow lanes visible.  Combined capacity is therefore on the order of 6 cars, well under the 15-car threshold."
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,35.5195152,-78.3146416,American Pride Xpress Car Wash,Less than 15 cars,"At zoom-20 we can see there is only one continuous queuing lane (the white-lined channel on the east side of the tunnel building) with no parallel or overflow spurs.  Breaking it into three straight-away segments and converting each segment to ~5 m per car:  • From the bay throat to the first 90° bend is ~15 m (≈3 cars)  • From that bend down to the second curve is ~25 m (≈5 cars)  • From the second curve back toward the entry point is ~20 m (≈4 cars) Total theoretical capacity ≈3+5+4=12 cars.  Even allowing a couple of cars in the corner radii, it does not reach 15 full-sized vehicles.  Therefore this stack-up is “Less than 15 cars.”"
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,34.197131299999995,-84.79212989999999,Aqua Breeze Car Wash,Less than 15 cars,"At zoom-20 resolution we can clearly see only a single S-shaped queue lane hugging the east side of the wash building (the blue-shaded roof).  Starting from the curb cut on E Felton Rd to the beginning of the first curve is only about 3 car lengths (≈15 m), then the lane runs straight up the side of the building for another ≈25 m (≈5 car lengths) before you reach the wash tunnel entrance.  There is a short 2–car-length stub just before the bay door, but no parallel queue or overflow bay.  In total this single lane only holds about 9–10 full-size vehicles bumper-to-bumper, well under the 15-car threshold."
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,40.340223099999996,-76.4568065,AutoSuds West Car Wash,Less than 15 cars,"At zoom-20 resolution the car wash has only a single curved entry lane wrapping around the north and west sides of the building.  Measuring by standard car lengths (~5 m each):
• On the north side of the building you can fit roughly 4 vehicles bumper-to-bumper in the straight portion leading up to the wash bay.  
• As that lane curves around the west end it adds another ~5 car lengths of queue.
• Even if you include the very short stub just inside the gate, you reach only about 9–10 cars in a continuous line.  There are no parallel overflow lanes or additional spur bays feeding the tunnel.  Therefore total stack-up capacity is under the 15-car threshold."
