full_site_address,Latitude,Longitude,new_latitude,new_longitude,carwash_name_in_image,classification,justification
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,40.2614149,-80.17475019999999,All Washed Up Auto Spa,Less than 10 cars,"At zoom-20 detail the car‐wash has only a single serpentine drive-through lane wrapping around one side of the building.  I estimate the waiting lane length at roughly 35–40 meters total (about 7–8 car lengths at ~5 m per car).  There are no additional parallel or overflow bays beyond the single narrow loop.  Even if you include the 10–15 m approach on Old Pike Street, the combined queue capacity is under 10 full-sized vehicles.  Therefore this location qualifies as “Less than 10 cars.”"
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,41.120557999999996,-78.758646,All Washed Up Auto Spa,Less than 10 cars,"At zoom-20 resolution the wash has only a single inbound queue from the public drive into the bay. That lane measures roughly 25–30 m from the public entry to the conveyor door, which at ~5 m per car equals about 5–6 cars bumper-to-bumper. There are no parallel overflow lanes or secondary spurs visible; the adjacent stalls are customer parking, not queue space. Total stack-up capacity is therefore well under 10 vehicles."
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,40.5336038,-79.8458897,All Washed Up Auto Spa,Less than 10 cars,"When measured at zoom-20 scale (≈5 m per car length), the two parallel entrance lanes on the south side each only stretch about 15–20 m from curb to wash entry.  The western queue holds roughly 3 cars end-to-end, the eastern queue about 4–5 cars, for a combined total under 10 cars.  There are no additional overflow bays or extended lanes elsewhere, so the stack-up capacity is less than 10 cars."
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,40.281186,-78.8627293,All Washed Up Auto Spa,Less than 10 cars,"At Zoom 20, the car-wash has only a single narrow inbound lane in front of the building.  From the bay door to the street curb is roughly 8–10 m of clear queuing space – about 1.5 to 2 full-sized cars end-to-end.  There are no parallel or overflow lanes alongside the building, nor any extended apron behind or beside the wash bay.  In total, the site can accommodate only 1–2 waiting vehicles, which is well below the 10-car threshold."
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,40.4096318,-79.8993024,All Washed Up Auto Spa,Less than 10 cars,"At zoom level 20 you can clearly see the car-wash has only a single narrow queue lane that wraps around the building’s west and north sides before the tunnel entrance.  Measuring in 5 m car-lengths, the straight run behind the building is only about 6 lengths (≈30 m) and the side leg down toward the tunnel adds another 3–4 lengths (≈15–20 m).  Even if every inch were used perfectly, this lane only accommodates around 9–10 cars bumper-to-bumper – well under the 15-car (10-car) threshold, so it classifies as “Less than 10 cars.”"
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,39.9105773,-79.7474519,All Washed Up Auto Spa,Less than 10 cars,"At both zoom levels there are no dedicated queuing lanes or overflow bays drawn out – the red-circled area is simply an open grassy pad with no pavement markings or curb cuts for a car‐wash lineup. The only nearby paved area belongs to the adjacent Sheetz, and even if you treated those fueling lanes as a queue they hold only 1–2 cars per pump (max 6–8 cars) before blocking circulation. There is no single continuous lane or parallel lanes adding up to ten 5 m car lengths, so the stack-up capacity here is well under 10 cars."
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,40.7441566,-96.7249173,Soapatopia Car Wash,Less than 10 cars,"At zoom 20 we can see only a single narrow drive-through lane wrapping one side of the wash building, with no parallel ­overflow or holding bays.  Measuring the curb-to-curb approach from the lot edge to the tunnel entrance is roughly 25 m – about 5 full‐sized cars bumper-to-bumper – and then another ~15 m around the corner (≈3 cars).  There are no additional lanes to sum, so the total continuous queuing space is under 10 car-lengths."
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,35.5195152,-78.3146416,American Pride Xpress Car Wash,Less than 10 cars,"At zoom-20, the only dedicated stack-up is on the building’s east side.  Measuring against a ~5 m car‐length, the single entrance lane from the parking-lot drive is about 30 m long (≈6 cars) before it splits into two pay lanes.  Each pay lane is roughly 10–12 m (≈2–3 cars), or about 4–5 cars total across both lanes, and then merges into the tunnel with room for only one more car ahead of the belt.  In practice you can stage about 8–9 vehicles bumper-to-bumper before blocking the lot; there is no overflow bay or additional parallel queue.  That falls under the 10-car threshold."
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,34.197131299999995,-84.79212989999999,Aqua Breeze Car Wash,Less than 10 cars,"At zoom 20 the only dedicated queue is the single drive-thru lane wrapping around the east side of the building. From the entrance at E Felton Rd to the service window is only about three to four 5-m car-lengths, with another one or two lengths possible in the small runoff immediately behind the window before the lane exits. There are no parallel or overflow bays to add capacity. In total this single narrow loop holds roughly five cars end-to-end, well under the ten-car threshold."
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,40.340223099999996,-76.4568065,AutoSuds West Car Wash,Less than 10 cars,"At zoom-20 the car wash clearly uses a single serpentine queue lane wrapping around the east and north sides of the building.  Measuring roughly 5 m per car, I count about 4 car-lengths from the entrance driveway up to the wash tunnel door, plus another 3–4 car-lengths around the curve on the building’s north side before the lane rejoins the exit.  There are no parallel overflow bays or extra spur lanes.  The total visible queuing distance would accommodate only about 7–8 full-size vehicles bumper-to-bumper, which is under the 10-car threshold."
