folderName,fileName,model response,model Identification
,ChIJl7GbXxJzIocRQ5wc3wnCQ0A.png,"No, this image shows a collision center and a towing business, not a car wash with a tunnel facility.",No
,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
Champion Xpress Carwash

Competitors not found in CSV:
Phillips 66
Circle K | Car Wash
CARWASH
Century Car Wash
DISCOUNT COLLISION CENTER LLC",
A-KEY_CAR_WASH__2210_N_Prince_St__Clovis__NM__88101,ChIJ11Nj23PeAocRyeFoFPPO-hU.png,"Yes, the car wash shown in the image appears to have a tunnel wash facility, which is the long rectangular building with clear entry and exit points.",Yes
,ChIJ2SKbOQveAocRMH0CthvV8Ic.png,"Yes, there appears to be a tunnel wash facility.",Yes
,ChIJAbdAcT_eAocRq6k0JOVUTmw.png,"Yes, based on the satellite image, the main building of the car wash appears to be a long, rectangular structure with clear entry and exit points consistent with a tunnel wash facility.",Yes
,ChIJAwha3XbeAocR4QYEwyS6k1g.png,"Yes, the image shows a car wash with two tunnel wash facilities.",Yes
,ChIJX4-ByxLeAocRqqSEko_0Xus.png,"Yes, based on the satellite image, there appears to be a structure consistent with a tunnel car wash facility attached to the main building, featuring a drive-through path.",Yes
,ChIJXR8sMAveAocRgfPhOv2KPas.png,"Yes, the image shows a tunnel wash facility at the Washpointe Auto Wash.",Yes
,ChIJXzF1TYvhAocRnIYitlbniF0.png,"No, there is no visible tunnel car wash facility in the image. The business labeled near that area is ""Jags Detail & Tint"", which suggests detailing and tinting services, not a tunnel car wash.",No
,ChIJk3T2CRrfAocRgoyGz0zRIM4.png,"Yes, it appears to have a tunnel wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
A-Key Car Wash
Jags Detail & Tint
Hole In The Wall Car Wash
Washpointe Auto Wash
Grease Monkey
Zips Car Wash
Soapy Springs
Soapy Springs Car Wash",
AGGIELAND_EXPRESS_2__2526_Texas_Ave__College_Station__TX__77840,ChIJ34AM1XuERoYR5N_qPl_9qtI.png,"Yes, the image shows a rectangular building labeled ""H-E-B Car Wash"" which appears to be a tunnel wash facility with clear entry and exit points for vehicles.",Yes
,ChIJQY5pufSERoYRhS0k3s1SwUM.png,"Yes, the image shows a tunnel wash facility.",Yes
,ChIJ_aGWhnmERoYRJOz674big58.png,"Yes, the car wash appears to have a tunnel wash facility based on the rectangular building structure with visible entry and exit driveways.",Yes
,ChIJmwI1hOaERoYRAqlEyoDGm0I.png,"No,",No
,ChIJq48tsASFRoYROeGddvlYrCU.png,"Yes, the image shows a long, rectangular structure with a track or guide system, which is characteristic of a tunnel wash facility.",Yes
,ChIJr8jrFmOERoYRfKsq2iskXFs.png,"Yes, the image shows a car wash with a tunnel wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Aggieland Express Car Wash
Car Wash
Drew's Car Wash - Texas Avenue
H-E-B Fuel
H-E-B Car Wash
Pitt Stop Detail & Auto Sales",
AGGIELAND_EXPRESS__1900_GREENS_PRAIRIE_RD__COLLEGE_STATION__TX__77845,ChIJTUNHYzOFRoYRDvt9X8k7JGs.png,"Yes, the image shows a rectangular structure with clear entry and exit points designed for vehicles to drive through, which indicates a tunnel wash facility.",Yes
,ChIJUxPx-cqaRoYRx89LcJcrvlQ.png,"Yes, the image shows a long, rectangular structure which appears to be a tunnel wash facility.",Yes
,ChIJWWmKr8CbRoYRjVtGuhQytx8.png,"Yes, there is a tunnel wash facility visible in the image. The long rectangular building marked with ""4442"" appears to be the tunnel.",Yes
,ChIJeYvxkMqaRoYRbe0UU8hVqx0.png,"Yes, the image shows a car wash facility with a long, rectangular structure that appears to be a tunnel wash.",Yes
,ChIJnckqpM-aRoYRO3N6dLHzdOg.png,"Yes, the image shows a long, rectangular building with clear entry and exit points, characteristic of a tunnel car wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Aggieland Express Car Wash
Drew's Car Wash - Tower Point
H-E-B Fuel
Wolf Creek Lube Center
Simoniz Car Wash",
ALL_STAR_CAR_WASH__5835_N_Market_St__Shreveport__LA__71107,,,
ALOHA_CAR_WASH__5360_Laurel_Springs_Pkwy__Suwanee__GA__30024,ChIJ-R46nXWZ9YgROV5oWqF9-kM.png,"Yes, based on the structure of the main building which appears to be a drive-through facility for cars with clear entry and exit points, it is likely a tunnel wash facility.",Yes
,ChIJ6VpqvmuZ9YgRTAdmmatebB8.png,"Yes, the image shows a long, rectangular building with clear drive-through lanes, which is characteristic of a tunnel wash facility.",Yes
,ChIJj10yvmuZ9YgRTqkF4C7Ym7w.png,"Yes, the image shows a long, rectangular building with apparent drive-through lanes, consistent with a tunnel wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Aloha Car Wash
Express Car Wash
California Hand Wash - Johns Creek",
AMERICAN_CAR_WASH__1340_7th_St_W__Saint_Paul__MN__55102,ChIJ3Q6wrVor9ocRk9jDXKBt8kA.png,"No,",No
,ChIJjQ2fDk8q9ocR5lPeGIUtKWw.png,"No,",No
,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
Soapy Joe's Car Wash

Competitors not found in CSV:
bp
The Car Wash Co.",
AUTO_WASH_EXPRESS__4060_MONTROSE_ROAD__NIAGARA_FALLS__ON__L2H1J9,ChIJ149-ar1F04kRpiMxmjlO4bo.png,"No, there is no visible tunnel wash facility in the image.",No
,ChIJ6ag4crFE04kRI-ueNArfwSw.png,"Yes, the rectangular shape of the building with apparent entry and exit points suggests it has a tunnel wash facility.",Yes
,ChIJ9b0637NE04kRZF3HrjK3X7Y.png,"No, based on the satellite image, there is no visible structure that appears to be a tunnel car wash facility. The image shows a gas station and associated buildings, but not a distinct, long, rectangular building with clear entry and exit points characteristic of a tunnel wash.",No
,ChIJHXFFOKdE04kRhogf8laBMVc.png,"No,",No
,ChIJJ2xcR2ZD04kRet-MOqvqV5Y.png,"No,",No
,ChIJ__8zSadE04kRLQqI88vBOmo.png,"No, I do not see a tunnel wash facility in the image.",No
,ChIJa9jdlVBD04kR5vbS0x-LcrI.png,"No, there is no tunnel wash facility visible in the provided satellite image. The facility labeled ""Auto MK Car Cleaning"" appears to be located in a residential or small commercial building, not a dedicated car wash tunnel structure.",No
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Valet Car Wash (Niagara Falls North)
Canadian Tire Gas+
SHOP 22 INC.
1 Stop Hand Car Wash
Auto MK Car Cleaning
Washworx
Shell",
Abercorn__10509_Abercorn_St__Savannah__GA__31419,ChIJUdevGft0-4gRI1iHsNpHgxU.png,"Yes, the image shows a long, rectangular structure attached to the Zips Car Wash building, which appears to be a tunnel wash facility with a drive-through path.",Yes
,ChIJXbH8B_t0-4gRUmyqGOf7gh0.png,"No, the image shows a self-serve car wash with multiple bays, not a tunnel wash facility.",No
,ChIJn_qV7KZ1-4gRdou2fb9-UHU.png,"No, I do not see a tunnel wash facility in the satellite image at the location labeled ""Pro-Shine"". The area appears to be an open lot with some vehicles, not a rectangular drive-through structure.",No
,ChIJz6GuPN_4uiMRsxLsdwTLmHg.png,"No, there is no visible tunnel wash facility in the satellite image. The location marked ""SmartCleans Mobile Detailing"" appears to be in a parking lot, and no structure resembling a car wash tunnel is present.",No
,matching_results.txt,"Total competitors found in CSV: 3

Competitors found in CSV:
LUV Car Wash
Tidal Wave Auto Spa | Car Wash
LUV Car Wash

Competitors not found in CSV:
SmartCleans Mobile Detailing
Pro-Shine
Zips Car Wash
Self Car Wash",
Adore_Car_Wash__771-789_Barwon_Heads_Rd__Armstrong_Creek__VIC__3217,ChIJIUW_Rntr1GoRePjdozrj7nU.png,"Yes, the satellite image shows a structure that appears to be a tunnel wash facility.",Yes
,ChIJceIdo3tr1GoRf_YbiSCkmAQ.png,"No, there is no visible tunnel wash facility in the provided satellite image. The marker indicates a mobile car wash service, and there is no structure resembling a tunnel wash in the depicted area.",No
,ChIJm7YoNBpr1GoR4AX5f0iC220.png,"No, there is no visible tunnel wash facility in the provided satellite image. The location marked ""Warralily Detailing"" appears to be a residential property without the typical structure of a car wash tunnel.",No
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Adore The Car Wash
Warralily Detailing
Brilliant Mobile Car Wash",
Alabaster_Wash_and_Wax__916_1st_St_S__Alabaster__AL__35007,ChIJe_BD6L0liYgRNs1M6oMAzMU.png,"No,",No
,ChIJhwoEOwYliYgRd83W7lLbmwE.png,"Yes, the satellite image shows a car wash facility with a long building structure and clear entry and exit points, indicating a tunnel wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Alabaster Car Wash
McGuireEliteDetailing",
Aladdin_Car_Wash__1616_S_57th_St__Temple__TX__76504,ChIJFSw4OQBrRYYRCGCOgeXZAqw.png,"Yes, the image shows long, rectangular structures which are typical of a tunnel wash facility.",Yes
,ChIJSVRizA1rRYYRT8p3d0nVflU.png,"No, I do not see a tunnel wash facility depicted in the image. The visible structures appear to be self-service bays, vacuum stalls, and possibly detailing areas, but not a dedicated drive-through tunnel.",No
,ChIJyYnr5Abd2ocRokhOlHPpTFQ.png,"No, there is no visible tunnel wash facility in this satellite image. The labeled businesses are ""Jay's Shop"" and ""Back to Life Detailing,"" neither of which clearly indicates a tunnel wash, and no such structure is visible on the property.",No
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Aladdin Car Wash
Ragin' Cajun
Back to Life Detailing",
Alameda__395_Alameda_Blvd_NW__Albuquerque__NM__87114,matching_results.txt,"Total competitors found in CSV: 2

Competitors found in CSV:
Champion Xpress Carwash
Mike's Car Wash",
Alamosa__51_Craft_Dr__Alamosa__CO__81101,ChIJrXoDZPR7FocRQX7t5Cao-k8.png,"Yes, there is a tunnel wash facility visible in the image. The long, rectangular structures located below the Phillips 66 label appear to be a car wash tunnel with lanes for vehicles to drive through.",Yes
,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
Champion Xpress Carwash

Competitors not found in CSV:
Pester Marketing Co",
All_American_Big_Spring__513_W_Marcy_Dr__Big_Spring__TX__79720,ChIJ4UVStVMi-YYRIu_S4x5m98s.png,"No, the image does not show a tunnel wash facility. The building labeled ""Turtle Hole Auto Bath"" appears to be a standard car wash building, not a long tunnel structure.",No
,ChIJHQmiHAAj-YYRIC1qJZTH6xw.png,"No, the satellite image does not clearly show a distinct tunnel wash facility. The building appears to have multiple bays, suggesting potentially self-service or in-bay automatic washes, rather than a long, drive-through tunnel structure.",No
,ChIJL8A4TXcj-YYRX1OkyKaxi8c.png,"No, the car wash in the image appears to have individual wash bays, not a tunnel wash facility.",No
,ChIJMeGaIfYi-YYR4D9yWqrkAGU.png,"Yes, the building labeled ""Flores Auto Wash / Repair"" appears to have a rectangular structure with clear entry and exit points, which is characteristic of a tunnel wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
All American Car Wash

Competitors not found in CSV:
Turtle Hole Auto Bath
Flores Auto Wash / Repair
Carwash
Texpress Carwash",
All_American_Boerne__1376_S_Main_St__Boerne__TX__78006,ChIJ-cik9bJ2XIYRgMQyUxZyGJ4.png,"Yes, the image shows a tunnel wash facility located to the left of the Circle K convenience store building. It is a rectangular structure with paved areas leading to and from it, indicating a drive-through car wash.",Yes
,ChIJBfzxYbJ2XIYRdcgbg5CP_Is.png,"Yes, the facility appears to have a tunnel wash. The building labeled ""H.E.B. Car Wash"" is a rectangular structure with apparent entry and exit points, consistent with a drive-through tunnel wash design.",Yes
,ChIJO_25tLN2XIYRQxTC4LN8R2Y.png,"Yes, the image shows a rectangular structure labeled ""H-E-B Car Wash"" with apparent entry and exit points, which is consistent with a tunnel wash facility.",Yes
,ChIJacTqZLR2XIYRJim9_o3j6mA.png,"Yes, the image appears to show a long, rectangular structure that is consistent with a tunnel wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 2

Competitors found in CSV:
All American Car Wash
Club Car Wash

Competitors not found in CSV:
Water Street Car Wash
H-E-B Fuel
H-E-B Car Wash
Circle K",
All_American_Bulverde__22247_Bulverde_Rd__San_Antonio__TX__78259,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
All American Car Wash",
All_American_Car_Wash__917_N_7th_St__Vincennes__IN__47591,ChIJ1fxWOW3_bYgR5zQsbvQZ16g.png,"Yes, the satellite image shows a long, rectangular structure with clear entry points, consistent with a tunnel wash facility.",Yes
,ChIJ511Nshb_bYgRqp5ByWI_C3U.png,"No,",No
,ChIJA13FaQr_bYgRtTrcIZwgEwg.png,"Yes, it appears to have a tunnel wash facility.",Yes
,ChIJazek1p__bYgRnDd05PzqAuk.png,"No, I do not see a tunnel wash facility in the provided satellite image. The building associated with ""Grime Rides"" does not resemble a typical car wash tunnel structure.",No
,ChIJm7VrViz_bYgR7KdQZHRymS0.png,"Yes, the car wash facility shown in the image appears to be a tunnel wash facility based on its long, rectangular shape with visible entry and exit points.",Yes
,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
Ducky's

Competitors not found in CSV:
All American Car Wash and Express Lube
Car Wash
Dirtbuster Car Wash
Grime Rides
UNCLE SAM'S CAR WASH",
All_American_Dezavala__4242_De_Zavala_Rd__San_Antonio__TX__78249,ChIJ5_augSZhXIYRZEGRdLb6h0Q.png,"No,",No
,ChIJD3tcN81mXIYRE7hnmLQPjg0.png,"Yes, the rectangular structure next to the gas pumps appears to be a tunnel wash facility.",Yes
,ChIJMfwFLtBmXIYRXQj1E7BCj2g.png,"Yes, the image shows a structure that appears to be a tunnel wash facility. The building labeled 4840 is a long, covered structure with visible entry and exit points, consistent with the description of a car wash tunnel.",Yes
,ChIJRQhvCHtnXIYReMoMuQehkT4.png,"No, there is no visible tunnel wash facility in the image. The large covered area appears to be the gas station canopy covering the pumps.",No
,ChIJhepBe81mXIYR_86GlQUTA_k.png,"No,",No
,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
All American Car Wash

Competitors not found in CSV:
Circle K
Circle K | Car Wash
Zip-In Car Wash
Shell
The Hand Car Wash and Auto Detailing",
All_American_Kitty_Hawk__1024_Kitty_Hawk_Rd__Universal_City__TX__78148,ChIJE7o5Hm-NXIYR_B5IMiWXQXY.png,"Yes, the satellite image shows a long, rectangular building labeled ""Zips Car Wash"" that appears to be a tunnel wash facility with clear entry and exit points for vehicles to drive through.",Yes
,ChIJK1fycA6LXIYRDC_zBAPeBNw.png,"No, based on the satellite image, there is no discernible tunnel wash facility. The image shows a building and parking area, but not a separate, long, rectangular structure typical of a drive-through car wash tunnel.",No
,matching_results.txt,"Total competitors found in CSV: 2

Competitors found in CSV:
All American Car Wash
Watershed Carwash

Competitors not found in CSV:
Zips Car Wash
Washing Equipment of Texas - San Antonio",
All_American_Ou0027Connor__11331_Ou0027Connor_Rd__San_Antonio__TX__78233,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
Club Car Wash",
All_American_Vance_Jackson__4343_Vance_Jackson_Rd__San_Antonio__TX__78230,ChIJYc2fECleXIYR0UkTvjq7fnM.png,"Yes, there is a structure that appears to be a tunnel wash facility visible in the image, located near the ""Car Wash Temporarily closed"" label.",Yes
,ChIJaY1q5dJfXIYR-CM90J7hZ_U.png,"No,",No
,ChIJxUNJGileXIYRCYAYcZYTKAA.png,"No,",No
,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
All American Car Wash

Competitors not found in CSV:
Shell
Car Wash
The WASH CORRAL",
All_Washed_Up_Canonsburg__405_Old_Pike_St__Canonsburg__PA__15317,ChIJH72PCoBUNIgRXEHBLByv-Lo.png,"No,",No
,ChIJf15zE1hVNIgR8mh_aR7pIIg.png,"No,",No
,ChIJz5uvV4lUNIgR-RzbS_OI6UM.png,"Yes, the car wash shown in the image appears to have a tunnel wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
All Washed Up Auto Spa
Central Car Wash
Sheetz",
All_Washed_Up_Dubois__306_Liberty_Blvd__DuBois__PA__15801,ChIJJ5EO6u_zzIkRmJAw1I8la10.png,"No,",No
,ChIJk547_wLzzIkRrlixNCQcpUg.png,"No,",No
,ChIJsUiGqfrzzIkRlEx4ajv72so.png,"Yes, the facility appears to have a tunnel wash based on the elongated, rectangular building structure with apparent drive-through bays.",Yes
,ChIJwyJUQeLzzIkRr4gQ2EUk9gs.png,"Yes, the image appears to show a tunnel wash facility. The long, rectangular building is consistent with the structure of a drive-through tunnel car wash.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
All Washed Up Auto Spa
Sheetz
Shiny Rides Mobile Detailing
Your Favorite Car Wash
Sheetz",
All_Washed_Up_Harmar__2404_Freeport_Rd__Pittsburgh__PA__15238,ChIJ7ykKwGKTNIgR_g_9UGfg2_U.png,"Yes, the image shows a long, rectangular structure next to the Sheetz convenience store with what appears to be cars entering and exiting, indicating a tunnel wash facility.",Yes
,ChIJpRpFqeKTNIgR5PJTuoc9bRU.png,"Yes, the car wash facility appears to have a tunnel wash structure, visible as the elongated building with the blue roof.",Yes
,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
ModWash

Competitors not found in CSV:
All Washed Up Auto Spa
Sheetz",
All_Washed_Up_Johnstown__1119_Scalp_Ave__Johnstown__PA__15904,ChIJE-31X6URy4kReDc5QyV1K_U.png,"No, based on the satellite image, there is no visible structure that appears to be a tunnel wash facility at or near the location marked as ""All Washed Up Auto Spa"".",No
,ChIJfWxWTk4Qy4kR01A5ylpewjg.png,"Yes, the car wash has a tunnel wash facility.",Yes
,ChIJgRSGCBMQy4kRK_SxDYFAt9s.png,"Yes, the image shows a long, narrow structure highlighted in red, which is typical of a tunnel wash facility with apparent entry and exit points for vehicles.",Yes
,ChIJp7nnyEYQy4kR86FOs6lARX4.png,"Yes, the large rectangular building with a red roof appears to be a tunnel wash facility, designed for cars to drive through for cleaning.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
All Washed Up Auto Spa
Clean Water Car Wash
Sheetz
Follow Charlie Car Wash
Sheetz",
All_Washed_Up_Munhall__630_William_Marks_Dr__Homestead__PA__15120,ChIJsR6TUAXvNIgR0UZ9khwfc14.png,"Yes, the image shows a large rectangular structure labeled ""Sweet Pea's Wash Works"" that appears to be a tunnel wash facility.",Yes
,ChIJvRbg2TjuNIgRavR0ZpcAtTc.png,"Yes, the image shows a car wash facility that includes a large rectangular building with clear entry and exit paths, which is characteristic of a tunnel wash.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
All Washed Up Auto Spa
Sweet Pea's Wash Works",
All_Washed_Up_Uniontown__15_New_Salem_Rd__Uniontown__PA__15401,ChIJ9YTaCEoTNYgR6s2cVBg43NU.png,"No, there is no visible tunnel wash facility in this satellite image. The marked location appears to be in a grassy area without any building or structure indicative of a car wash tunnel.",No
,ChIJP8K8IlwVNYgRTI7lohEx-Mc.png,"Yes, the building labeled ""Mr. Quick Car Wash"" appears to be a tunnel car wash facility with a rectangular shape and clear entry and exit points for vehicles to drive through.",Yes
,ChIJZQNuR4wVNYgR9STXh9N6J9s.png,"Yes, the image shows a rectangular structure on the left side of the main building which appears to be a tunnel car wash with clear entry and exit points.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
All Washed Up Auto Spa
Sheetz
Mr. Quick Car Wash",
Aloha_Car_Wash_Bothell__17818_Bothell_Everett_Hwy__Bothell__WA__98012,ChIJB3O0jvoFkFQRyut0rxNZAME.png,"Yes, the image shows a long, rectangular building with vehicles entering and exiting, which is consistent with a tunnel wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
Waterway

Competitors not found in CSV:
Aloha Car Wash Company",
Aloha_Car_Wash_Woodinville__13001_NE_177th_Pl__Woodinville__WA__98072,ChIJW2HJuGMDkFQR76aEabvrELk.png,"No, there is no visible tunnel wash facility in this satellite image. The location labeled ""Burdys Auto Detail"" appears to be a building with service bays, suggesting hand detailing or other services rather than a drive-through tunnel.",No
,ChIJc87kJoAOkFQRzxxKlB5-i7k.png,"No,",No
,ChIJteeGJYAOkFQRtaiB1auvKZw.png,"No,",No
,ChIJwb6z5-EPkFQRH6ETT2X0KCw.png,"Yes, the car wash facility has a tunnel wash. The long, covered structure extending from the main building with clear entry and exit lanes is a tunnel wash.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Aloha Car Wash Company
Jacksons Food Stores
Shell
Burdys Auto Detail",
Alpine_Express__2235_Alpine_Blvd__Alpine__CA__91901,ChIJzeK9WO5g2YAR66O2jEv65Zc.png,"No, there is no visible structure in the satellite image that appears to be a tunnel car wash. The buildings present seem to be individual wash bays or other related facilities.",No
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Shell",
Alpine_Wash__250_S_Denton_Tap_Rd__Coppell__TX__75019,ChIJ1bORfdcpTIYRFZRCaZ80dYw.png,"Yes, the image shows a rectangular building with clear entry and exit points, consistent with a tunnel car wash facility.",Yes
