original_name_address,original_latitude,original_longitude,found_car_wash_name,distance_miles,google_rating,google_user_rating_count,found_in_competitor_list,keyword_classification,keyword_classification_explanation,place_images_count,satellite_image_filename,image_classification,image_classification_justification,is_competitor
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,Macie's Auto Spa,0.66707388343908,3,2,False,Can't say,"The input contains the keyword ""Auto"", which is a criterion for ""Can't say"" classification.",,ChIJm8RtztAxeogRfLwarWRU18g.jpg,Not a Competitor,"The provided image does not display any visible features of a car wash, such as a tunnel structure, entrance/exit arches, cleaning equipment, signage indicating an express tunnel system, conveyor system, or vacuum stations. There is insufficient data to classify this location as an express tunnel car wash competitor.",False
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,Auto Works Window Tinting,0.788835209206762,3.7,3,False,Not a Competitor,"The input contains 'Window Tinting', which classifies it as 'Not a Competitor'. '.",,,,,False
"1287 DEER PARK CAR WASH , 1287 Deer Park Ave , North Babylon , NY , 11703",40.7407849,-73.3208867,Bubble Brush Self Service Car Wash,0.484600922293699,4.2,199,False,Not a Competitor,The business is classified as 'Not a Competitor' because it contains the keyword 'Self Service'.,,,,,False
"1287 DEER PARK CAR WASH , 1287 Deer Park Ave , North Babylon , NY , 11703",40.7407849,-73.3208867,Deer Park Car Wash Inc,0.905761417626959,3.3,235,False,Can't say,"The business name ""Deer Park Car Wash Inc"" is generic and does not contain specific keywords like ""Express"", ""Hand Wash"", ""Self Serve"", ""Detailing"", ""Lube"", or ""Auto"" to classify it as a Competitor or Not a Competitor based on the provided criteria.",10,ChIJLUX-hkws6IkRK_ZDw-74JmI.jpg,Not a Competitor,"The provided images show manual cleaning operations inside a roofed space and not a fully automated express tunnel system. There is no visible indication of a conveyorized wash system, no overhead automated sprayers, or brushes inside a dedicated tunnel. Instead, individuals are seen manually cleaning the vehicles, which excludes the car wash from being classified as an automated express tunnel competitor.",False
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",42.6891396,-71.1578531,Jay's car wash services,0.26923761199684,,,False,Can't say,"The input ""Jay's car wash services"" is generic and does not contain specific keywords to classify it as 'Competitor' or 'Not a Competitor'.",10,ChIJf8SztH4H44kR_7NAYBDwy_0.jpg,Not a Competitor,"No express tunnel car wash indicators are visible in the images provided. The location lacks a long tunnel structure with entry and exit points, automated washing equipment, or a conveyor system. Images show manual washing and cleaning services being conducted on cars, which do not align with the automated express tunnel car wash model. The surroundings suggest a mobile or manual car wash setup in a residential area. Therefore, this location cannot be classified as a competitor.",False
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",42.6891396,-71.1578531,NR PRESTIGE AUTO DETAILING CO.,0.342985722158962,5,2,False,Not a Competitor,"The business is classified as 'Not a Competitor' because it includes the keyword 'DETAILING', which indicates a traditional or niche service provider.",,,,,False
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",42.6891396,-71.1578531,Haffner's Car Wash,0.652765751225311,1,1,True,,,,,,,True
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",42.6891396,-71.1578531,Haffner's Gas Station and Car Wash,0.65284214039445,4.1,114,False,Can't say,"The input 'Haffner's Gas Station and Car Wash' is generic and does not contain specific keywords like 'Express', 'Tunnel' (for Competitor) or 'Self Serve', 'Hand Wash' (for Not a Competitor).",10,ChIJpyUbV7oH44kRxQ-fLec-FlA.jpg,Competitor,"The provided images show a dedicated car wash structure with indications of an express tunnel system. Features include entrace/exit arches and signage reading 'Gentle Touch Exterior Car Wash.' The tunnel area appears elongated, suitable for a conveyor system. Although explicit interior views of equipment are not visible, external branding strongly indicates an express tunnel system.",True
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,Gonzalez Hand Car Wash,0.125994084868147,4.7,22,False,Not a Competitor,"The business is classified as 'Not a Competitor' because it contains the keyword 'Hand Wash', which indicates a manual or niche service.",,,,,False
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,Chato's carwash,0.184246336203215,,,False,Can't say,"The input ""Chato's carwash"" is generic and does not contain specific keywords to classify it as 'Competitor' or 'Not a Competitor'.",,ChIJHxQqHWSxToYR2lx_uOhD8Ro.jpg,Competitor,"The images show a tunnel structure with clear entry and exit points, meeting the criteria for an express tunnel car wash. The building is long enough to house automated equipment for vehicle cleaning, and its design suggests a conveyor system for cars to move through the cleaning process. There are no visible signs of manual cleaning or interior services. Additionally, the proximity to a gas station reinforces the possibility of an express exterior-focused model.",True
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,Car Wash,0.208886169732065,,,False,Can't say,The input '{{Car Wash}}' is a generic placeholder with no specific keywords found to determine its classification.,,ChIJW2iDRyixToYRvTNatGyiYdU.jpg,Not a Competitor,"The provided image shows a very narrow structure labeled as 'Car Wash,' but does not provide definitive visual evidence of an express tunnel system. There is no visible entrance, exit arches, conveyor system, or cleaning equipment typically associated with an automated tunnel. Additionally, there is no indication of branding that suggests an express tunnel car wash. Lack of clarity about the tunnel length and the presence of automated systems further confirms the classification.",False
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,Extreme Lava Wash,0.341171217584227,4.1,40,False,Competitor,"The term ""Lava Wash"" suggests an automated, full-service car wash feature, which aligns with the criteria for a Competitor business.",,,,,True
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,Hartis' Car Wash,0.699208363598228,4.4,50,False,Can't say,"The business name ""Hartis' Car Wash"" is generic and does not contain any specific keywords to classify it as a Competitor or Not a Competitor.",,ChIJIeC83tSwToYRSK-jop82xCs.jpg,Not a Competitor,"The image shows a small car wash location without visible indicators of an express tunnel system. There is no evidence of a long tunnel structure with entry and exit points, automated cleaning equipment, a conveyor system, or branding suggesting 'Express Tunnel Car Wash.' It appears to be a manual or self-service car wash rather than a competitor in the express tunnel category.",False
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,Bryan mobile detailing,0.75112822376354,5,1,False,Not a Competitor,"The business is classified as 'Not a Competitor' because it contains the keywords 'mobile' and 'detailing', which indicate a manual or niche service.",,,,,False
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,G Wash Seagoville,0.768488484345548,4.1,81,False,Can't say,"The name ""G Wash Seagoville"" is generic and does not contain keywords to classify it as a Competitor or Not a Competitor.",10,ChIJZ9WmTtqwToYRB6ncbICIRfY.jpg,Not a Competitor,"The images depict a self-service car wash setup with individual bays where users can manually clean their vehicles using provided equipment. There are no automated tunnel structures visible with equipment for automated exterior cleaning, nor signs of a conveyorized system where cars enter and exit in a straight line. Additionally, there is no branding or signage indicating an 'Express Tunnel Wash.' Vacuum stations are present, but these are supplementary to the manual wash bays, not indicative of an express tunnel model.",False
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",35.1361115,-106.6422295,Phillips 66,0.200161214632972,4,258,False,Can't say,"The input ""Phillips 66"" is a generic brand name and does not contain any specific keywords to classify it as a Competitor or Not a Competitor car wash business.",3,ChIJXSJdrXBzIocRXJpVibfFOKk.jpg,Not a Competitor,"The images provided show a Phillips 66 gas station and the surrounding area. While one of the structures near the station resembles a tunnel-like building, it doesn't clearly show an express car wash tunnel system. There are no visible entry and exit arches or doors marked 'Enter' and 'Exit,' nor any automated cleaning equipment visible inside. The gas station branding is apparent, but there are no signs or references to 'express,' 'exterior,' or 'tunnel wash.' Additionally, the provided images do not include any evidence of a conveyor system or cars going through a drive-through tunnel. This location does not meet the criteria for an express tunnel car wash competitor.",False
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",35.1361115,-106.6422295,Circle K | Car Wash,0.205403825037215,3.6,40,False,Can't say,"The input ""Circle K | Car Wash"" is too generic. No specific keywords for 'Competitor' or 'Not a Competitor' were found to make a definitive classification.",,ChIJ-bu6s3BzIocR_HzQGX2Mcjc.jpg,Competitor,"The image visibly shows a long, narrow building consistent with a tunnel structure typical of express car washes. Cars can enter and exit in a straight line. The setup aligns with the criteria for an express tunnel system, indicating automated equipment is likely used within, although interior details are not clear. No visible signs of manual cleaning or other disqualifying features were noted. This location qualifies as a competitor.",True
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",35.1361115,-106.6422295,CARWASH,0.433514040606807,2,2,False,Can't say,The input '{{CARWASH}}' is a generic placeholder and does not contain specific keywords for classification.,,ChIJ7XBLam9zIocRM0j8dSA3Nsg.jpg,Competitor,"The image shows a long, narrow tunnel structure with a clearly defined entry and exit. The tunnel appears to have automated cleaning equipment as evidenced by the visible setup inside the structure. The length seems sufficient for an express operation, and the layout aligns with a drive-through experience where customers remain in their vehicles. The business name 'Century Car Wash' is visible, but the lack of signage explicitly mentioning 'express' or additional operational details does not detract from the visible structural evidence of a tunnel-based setup meeting competitor criteria.",True
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",35.1361115,-106.6422295,Century Car Wash,0.436765864802418,5,1,False,Can't say,"The input ""Century Car Wash"" is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor.",,ChIJW4DHaW9zIocRdAg8HxawdA4.jpg,Not a Competitor,"The image shows a structure that might have a tunnel-like appearance, but the length of the tunnel is ambiguous and seems short. There is no visible signage indicating 'Express' or 'Tunnel Wash', nor clear indicators such as entry/exit arches or automated cleaning equipment visible inside. Without evidence of a conveyor system or automated washing equipment, the location does not meet the criteria for an Express Tunnel Car Wash competitor.",False
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",35.1361115,-106.6422295,Discount Collision Pro’s,0.93666471856928,4.5,103,False,Can't say,"The input 'Discount Collision Pro’s' does not contain keywords explicitly indicating it is a car wash competitor or not a competitor, and it does not contain 'Lube' or 'Auto'. The term 'Collision' does not fit any car wash classification criteria.",10,ChIJl7GbXxJzIocRQ5wc3wnCQ0A.jpg,Not a Competitor,"The provided images do not indicate the presence of an express tunnel car wash. There is no visible tunnel structure, entry or exit arches, automated cleaning equipment, conveyor system, or signage related to express tunnel washes. The images predominantly feature vehicles and their condition, with no evidence of a drive-through washing setup or associated vacuum stations.",False
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,Jags Detail & Tint,0.242463465946051,4.3,24,False,Not a Competitor,"The business name 'Jags Detail & Tint' contains keywords 'Detail' and 'Tint', which indicate services like detailing and window tinting, classifying it as 'Not a Competitor'.",,,,,False
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,Hole In The Wall Car Wash,0.513618496608942,2,1,False,Can't say,"The business name ""Hole In The Wall Car Wash"" is generic and does not contain specific keywords like ""Express"", ""Tunnel"", ""Hand Wash"", or ""Self Serve"" to classify it as a Competitor or Not a Competitor. Therefore, it falls under ""Can't say"".",,ChIJ11Nj23PeAocRyeFoFPPO-hU.jpg,Competitor,"The image shows a long, narrow structure resembling a tunnel system at the car wash location. There appears to be an entrance and exit archway, with cars entering the building in a straight line. This fits the criteria for a tunnel structure used in express car wash systems. While the equipment inside and conveyor system are not visible in this image, the overall layout and the structure suggest it is likely an express tunnel car wash. Additional points like clear branding were not visible, but the physical characteristics support the classification.",True
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,Washpointe Auto Wash,0.601399059552287,4,68,False,Can't say,"The term ""Auto"" is present in the business name, which falls under the criteria for ""Can't Say"" as it is a generic term not indicating automated or manual wash types specifically.",4,ChIJ2SKbOQveAocRMH0CthvV8Ic.jpg,Competitor,"The images show a tunnel structure with a clearly visible entrance and exit, indicative signs of an express tunnel car wash. Equipment such as brushes and rollers are visible inside the tunnel, supporting automated exterior cleaning. The business name 'Washpointe Auto Wash' aligns with typical express tunnel branding. The ground shows tracks potentially related to a conveyor system, suggesting drive-through service where customers stay in their vehicles during the wash. The tunnel length appears sufficient for the operations described. These features meet the criteria for classification as a competitor.",True
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,Grease Monkey,0.618710846089655,4.6,833,False,Can't say,"The business name ""Grease Monkey"" implies general automotive services (like oil changes, similar to ""Lube"" or ""Auto"" services), which falls outside the specific car wash criteria and is not a direct competitor.",10,ChIJXR8sMAveAocRgfPhOv2KPas.jpg,Not a Competitor,"The depicted location appears to be a 'Grease Monkey' facility, primarily providing oil change services as indicated by signage ('Cambio de Aceite') and the setup inside the garage. The facility does not show the characteristics of an express tunnel car wash, such as a tunnel structure with automated cleaning equipment, conveyor systems, or cars entering and exiting in a sequence exclusively for exterior cleaning. Furthermore, no visible indications of a car wash tunnel of at least 34 feet in length are present. Consequently, it does not match the criteria for classification as an Express Tunnel Car Wash competitor.",False
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,Zips Car Wash,0.618880728991891,4.3,1138,True,,,,,,,True
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,Soapy Springs,0.795479492742875,,,False,Can't say,The input 'Soapy Springs' is a generic name and does not contain specific keywords to classify it as 'Competitor' or 'Not a Competitor'.,,ChIJAwha3XbeAocR4QYEwyS6k1g.jpg,Competitor,"The image shows a long, narrow tunnel structure, indicative of an express car wash with a tunnel system. Both entrance and exit arches are visible, supporting the identification of a tunnel setup. While no internal equipment is explicitly visible, the overall setup strongly suggests an automated express washing process rather than manual cleaning. The presence of clear infrastructure aligns with criteria for an express tunnel car wash competitor.",True
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,Soapy Springs Car Wash,0.860239368827138,3.6,145,False,Can't say,"The input ""Soapy Springs Car Wash"" is generic and does not contain specific keywords to classify it as 'Competitor' or 'Not a Competitor'.",8,ChIJAbdAcT_eAocRq6k0JOVUTmw.jpg,Not a Competitor,"While the location features cleaning services and vacuum stations, it does not display a clear express tunnel structure meeting the specified criteria. The visible car wash bays appear to accommodate manual cleaning instead of an automated tunnel cleaning system. Additionally, no conveyor system or branding indicators like 'Express' or 'Tunnel Wash' were identified. Therefore, this location does not classify as an Express Tunnel Car Wash competitor.",False
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",30.6045298,-96.3058552,Car Wash,0.401333418485992,3,3,False,Can't say,The name is generic and does not contain specific keywords to classify it as Competitor or Not a Competitor.,,ChIJQY5pufSERoYRhS0k3s1SwUM.jpg,Competitor,"The image clearly shows a long, narrow tunnel structure with entrance and exit points visible on the building design. The layout is consistent with an Express Tunnel Car Wash model, as cars enter and exit in a straight line. There appear to be covered areas outside that may serve as vacuum stations nearby, further suggesting this location is equipped for express tunnel operations.",True
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",30.6045298,-96.3058552,Drew's Car Wash - Texas Avenue,0.410572748226295,4.3,444,False,Can't say,The business name 'Drew's Car Wash - Texas Avenue' is generic and does not contain specific keywords to classify it as 'Competitor' or 'Not a Competitor'.,10,ChIJr8jrFmOERoYRfKsq2iskXFs.jpg,Competitor,"The location has a visible tunnel structure with automated equipment including rollers, brushes, and overhead sprayers. Images show cars undergoing exterior cleaning in the tunnel via automated systems, with visible guide rails for the car alignment—a conveyor system commonly associated with express tunnel car washes. The signage clearly indicates 'Drew's Car Wash,' and the setup aligns with express tunnel functionality, including signs such as 'Enter.' Although some manual cleaning is shown outside the tunnel, the presence of the automated tunnel system qualifies it as an express tunnel car wash competitor.",True
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",30.6045298,-96.3058552,H-E-B Fuel,0.897882507638808,4.5,149,False,Can't say,"The input ""H-E-B Fuel"" is generic and does not contain keywords to classify it as a Competitor or Not a Competitor. It simply indicates a fuel station, not a specific car wash type.",10,ChIJ_aGWhnmERoYRJOz674big58.jpg,Not a Competitor,"The provided images primarily show an HEB Fuel station with gas pumps and a Tesla charging station nearby. While there is a small building associated with HEB, there is no evidence of a tunnel structure with entry and exit points that would indicate an express tunnel car wash. Additionally, there are no visible automated cleaning equipment, signage indicating 'Express' or 'Tunnel Wash,' or conveyor systems that align with the criteria for classification as a competitor. The absence of a tunnel makes this location not an express tunnel car wash competitor.",False
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",30.6045298,-96.3058552,H-E-B Car Wash,0.906200523592991,3,37,False,Can't say,The name 'H-E-B Car Wash' is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor.,2,ChIJ34AM1XuERoYR5N_qPl_9qtI.jpg,Competitor,"The images show a tunnel structure, particularly visible in the third image labeled ""H-E-B Wash,"" with an entrance arch and labeled ""Enter"". This setup indicates automated washing equipment inside the tunnel. The aerial view (first image) confirms a drive-through setup and tunnel presence. No manual equipment or signs of manual washing are visible, and cleaning appears automated. While internal tunnel details such as conveyor systems aren't distinctly visible, the general setup strongly aligns with express tunnel characteristics.",True
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",30.6045298,-96.3058552,Pitt Stop Detail & Auto Sales,0.949223361490891,4.6,90,False,Not a Competitor,"The business name includes the keyword ""Detail"", which indicates a focus on manual or niche services, classifying it as 'Not a Competitor'.",,,,,False
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",30.55192,-96.267142,Drew's Car Wash - Tower Point,0.62396007500531,4.2,239,False,Can't say,The input 'Drew's Car Wash - Tower Point' is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor.,10,ChIJWWmKr8CbRoYRjVtGuhQytx8.jpg,Competitor,"The provided images show a car wash facility with an express tunnel structure visible in the penultimate photo. The tunnel includes automated cleaning equipment such as rollers, brushes, and overhead sprayers. Cars are lined up in sequence with a conveyor system guiding them through the tunnel. There is no manual cleaning observed inside during the wash phase, and customers stay in their vehicles during the wash process. Nearby self-serve vacuum stations are also evident, further reinforcing this as an express car wash competitor.",True
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",30.55192,-96.267142,H-E-B Fuel,0.685471577467644,4.5,219,False,Can't say,"The input ""H-E-B Fuel"" does not contain any keywords related to car wash services, either competitor or not a competitor. It refers to a fuel service, so it cannot be classified within the scope of car wash businesses.",4,ChIJUxPx-cqaRoYRx89LcJcrvlQ.jpg,Competitor,"The aerial image reveals a long, narrow tunnel structure consistent with an express tunnel car wash. The entrance and exit arches are visible, and cars are seen driving through the structure. No manual cleaning is apparent inside the tunnel, and the tunnel's length is substantial, allowing for automated washing machinery. The presence of H-E-B branding nearby and well-organized vehicle paths further corroborates that this location belongs to an express tunnel model. While there are fuel stations nearby, they are separate from the car wash facility, which meets all criteria for classification as a competitor.",True
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",30.55192,-96.267142,Wolf Creek Lube Center,0.798867236607593,4.6,32,False,Can't say,"The business name contains the keyword ""Lube"", which falls under the 'Can't Say' criteria.",10,ChIJeYvxkMqaRoYRbe0UU8hVqx0.jpg,Not a Competitor,"The location appears to be a lube center based on the branding 'Wolf Creek Lube Center' and 'Mobil 1 Lube Express', which suggests oil change services rather than an express tunnel car wash. Images show equipment for oil services rather than car wash equipment. There is no visible tunnel structure, entry/exit for a car wash system, or automated cleaning equipment typically found in express tunnel car washes. Therefore, this location does not meet the criteria for being categorized as an express tunnel car wash competitor.",False
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",30.55192,-96.267142,Simoniz Car Wash,0.825691964830039,,,False,Can't say,"The input ""Simoniz Car Wash"" is generic and does not contain specific keywords to classify it as 'Competitor' or 'Not a Competitor'.",,ChIJTUNHYzOFRoYRDvt9X8k7JGs.jpg,Competitor,"Visible features include a long structure resembling a tunnel with distinct entry and exit arches. The building layout indicates a straight-line path through the wash, likely supported by automated equipment. Branding identifies the location as Simoniz Car Wash, which aligns with express tunnel car wash models. No signs of manual washing or interior cleaning are visible, aligning well with the criteria for express tunnel systems.",True
"ALOHA CAR WASH , 5360 Laurel Springs Pkwy , Suwanee , GA , 30024",34.0855409,-84.16081,Express Car Wash,0.00987919809670176,4.6,12,False,Competitor,"The business is classified as a Competitor because it contains the keyword ""Express"".",,,,,True
"ALOHA CAR WASH , 5360 Laurel Springs Pkwy , Suwanee , GA , 30024",34.0855409,-84.16081,California Hand Wash - Johns Creek,0.969811592367101,4.5,1052,False,Not a Competitor,"The business is classified as 'Not a Competitor' because it contains the keyword 'Hand Wash', indicating a manual or value-added service.",,,,,False
"AMERICAN CAR WASH , 1340 7th St W , Saint Paul , MN , 55102",44.9209521,-93.1360538,bp,0.835917995100727,4.5,37,False,Can't say,"The input ""{{bp}}"" is a generic placeholder and does not contain specific keywords for classification.",9,ChIJjQ2fDk8q9ocR5lPeGIUtKWw.jpg,Not a Competitor,"The provided images show a structure associated with a gas station (BP) and service area but do not include an express car wash tunnel with entry and exit points, automated equipment visible inside, or a conveyor system for vehicles. There is no evidence of an express tunnel or branding that indicates a tunnel wash operation, nor are there visible vacuum stations adjacent to a car wash tunnel. Therefore, it does not meet the criteria for an express tunnel car wash competitor.",False
"AMERICAN CAR WASH , 1340 7th St W , Saint Paul , MN , 55102",44.9209521,-93.1360538,The Car Wash Co.,0.984903121746092,4.3,126,False,Can't say,"The business name ""The Car Wash Co."" is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor.",4,ChIJ3Q6wrVor9ocRk9jDXKBt8kA.jpg,Not a Competitor,"The images show a location identified as 'The Car Wash Co.', which consists of multiple open bays that appear to be self-service stations rather than an express tunnel setup. There is no evidence of a long tunnel structure with automated washing equipment or a conveyor system. The washing process appears to be either manual or self-service based rather than automated. The branding also does not indicate express tunnel services. Furthermore, the interior image shows equipment suited for manual wash rather than an automated tunnel system. This does not meet the criteria for classification as an express tunnel car wash competitor.",False
